Aiguelongue (Jussieu);Antoine-Laurent de Jussieu;René Bougnol;Moulin de Gasconnet;Pioch de Boutonnet;Chantecler;Alpilles;Clolus;Aiguelongue;Pierre Rouge;Nazareth;Marie Caizergues;Sainte-Odile;Henri Dunant;Saint-Éloi;Pierre d'Adhémar;Hippolyte Rech;Charles Flahault;Paladilhe;Glycines;Avenue de l'Agriculture;Louvain;Érables;Las Sorbes;Saint-Gabriel;Espérance;Las Cazes;Saint-Clément;Belvédère;Tonnelles;Petit Bard;Marie Curie;Renaudel;Celleneuve
7:35;7:35;7:37;7:38;7:39;7:39;7:40;7:40;7:41;7:41;7:42;7:43;7:44;7:48;7:48;7:50;7:50;7:51;7:54;7:55;7:55;7:55;7:55;7:56;7:56;7:57;7:58;7:58;7:58;8:01;8:01;8:02;8:04;8:04
8:15;8:15;8:17;8:18;8:19;8:19;8:20;8:20;8:21;8:21;8:22;8:23;8:24;8:27;8:27;8:29;8:30;8:31;8:33;8:35;8:35;8:35;8:35;8:36;8:36;8:37;8:38;8:38;8:39;8:42;8:42;8:43;8:45;8:45
8:55;8:55;8:57;8:58;8:59;8:59;9:00;9:00;9:01;9:01;9:02;9:03;9:04;9:07;9:07;9:09;9:10;9:11;9:13;9:15;9:15;9:15;9:16;9:16;9:17;9:18;9:19;9:19;9:20;9:23;9:23;9:24;9:26;9:26
9:35;9:35;9:37;9:38;9:39;9:39;9:40;9:40;9:41;9:41;9:42;9:43;9:44;9:47;9:47;9:49;9:50;9:51;9:53;9:55;9:55;9:55;9:56;9:56;9:57;9:58;9:59;9:59;10:00;10:03;10:03;10:04;10:06;10:06
10:15;10:15;10:17;10:18;10:19;10:19;10:20;10:20;10:21;10:21;10:22;10:23;10:24;10:27;10:27;10:29;10:30;10:31;10:33;10:35;10:35;10:35;10:36;10:36;10:37;10:38;10:39;10:39;10:40;10:43;10:43;10:44;10:46;10:46
10:55;10:55;10:57;10:58;10:59;10:59;11:00;11:00;11:01;11:01;11:02;11:03;11:04;11:07;11:07;11:09;11:10;11:11;11:13;11:15;11:15;11:15;11:16;11:16;11:17;11:18;11:19;11:19;11:20;11:23;11:23;11:24;11:26;11:26
11:35;11:35;11:37;11:38;11:39;11:39;11:40;11:40;11:41;11:41;11:42;11:43;11:44;11:47;11:47;11:49;11:50;11:51;11:53;11:55;11:55;11:55;11:56;11:56;11:57;11:58;11:59;11:59;12:00;12:03;12:03;12:04;12:06;12:06
12:15;12:15;12:17;12:18;12:19;12:19;12:20;12:20;12:21;12:21;12:22;12:23;12:24;12:27;12:27;12:29;12:30;12:31;12:33;12:35;12:35;12:35;12:36;12:36;12:37;12:38;12:39;12:39;12:40;12:43;12:43;12:44;12:46;12:46
12:55;12:55;12:57;12:58;12:59;12:59;13:00;13:00;13:01;13:01;13:02;13:03;13:04;13:07;13:07;13:09;13:10;13:11;13:13;13:15;13:15;13:15;13:16;13:16;13:17;13:18;13:19;13:19;13:20;13:23;13:23;13:24;13:26;13:26
13:35;13:35;13:37;13:38;13:39;13:39;13:40;13:40;13:41;13:41;13:42;13:43;13:44;13:47;13:47;13:49;13:50;13:51;13:53;13:55;13:55;13:55;13:56;13:56;13:57;13:58;13:59;13:59;14:00;14:03;14:03;14:04;14:06;14:06
14:15;14:15;14:17;14:18;14:19;14:19;14:20;14:20;14:21;14:21;14:22;14:23;14:24;14:27;14:27;14:29;14:30;14:31;14:33;14:35;14:35;14:35;14:36;14:36;14:37;14:38;14:39;14:39;14:40;14:43;14:43;14:44;14:46;14:46
14:55;14:55;14:57;14:58;14:59;14:59;15:00;15:00;15:01;15:02;15:02;15:04;15:05;15:08;15:08;15:10;15:11;15:12;15:14;15:16;15:16;15:16;15:17;15:17;15:18;15:19;15:20;15:20;15:21;15:24;15:24;15:25;15:27;15:27
15:35;15:35;15:37;15:38;15:39;15:39;15:40;15:40;15:41;15:42;15:42;15:44;15:45;15:48;15:48;15:50;15:51;15:52;15:54;15:56;15:56;15:56;15:57;15:57;15:58;15:59;16:00;16:00;16:01;16:04;16:04;16:05;16:07;16:07
16:15;16:15;16:17;16:18;16:19;16:19;16:20;16:20;16:21;16:22;16:22;16:24;16:25;16:28;16:28;16:30;16:31;16:32;16:34;16:36;16:36;16:36;16:37;16:37;16:38;16:39;16:40;16:40;16:41;16:44;16:44;16:45;16:47;16:47
16:55;16:55;16:57;16:58;16:59;16:59;17:00;17:00;17:01;17:02;17:02;17:04;17:05;17:08;17:08;17:10;17:11;17:12;17:14;17:16;17:16;17:16;17:17;17:17;17:18;17:19;17:20;17:20;17:21;17:24;17:24;17:25;17:27;17:27
17:35;17:35;17:37;17:38;17:39;17:39;17:40;17:40;17:41;17:42;17:42;17:44;17:45;17:48;17:48;17:50;17:51;17:52;17:54;17:56;17:56;17:56;17:57;17:57;17:58;17:59;18:00;18:00;18:01;18:04;18:04;18:06;18:08;18:08
18:15;18:15;18:17;18:18;18:19;18:19;18:20;18:20;18:21;18:22;18:22;18:24;18:25;18:28;18:28;18:30;18:31;18:32;18:34;18:36;18:36;18:36;18:37;18:37;18:38;18:39;18:40;18:40;18:41;18:44;18:44;18:46;18:48;18:48
19:00;19:00;19:02;19:03;19:04;19:04;19:05;19:05;19:06;19:07;19:07;19:09;19:10;19:13;19:13;19:15;19:16;19:17;19:19;19:21;19:21;19:21;19:21;19:22;19:22;19:23;19:24;19:24;19:25;19:28;19:28;19:29;19:31;19:31
19:40;19:40;19:42;19:43;19:44;19:44;19:45;19:45;19:46;19:46;19:47;19:48;19:49;19:52;19:52;19:54;19:55;19:56;19:58;20:00;20:00;20:00;20:00;20:01;20:01;20:02;20:03;20:03;20:03;20:06;20:06;20:08;20:10;20:10
