Aiguelongue (Jussieu);Antoine-Laurent de Jussieu;René Bougnol;Moulin de Gasconnet;Pioch de Boutonnet;Chantecler;Alpilles;Clolus;Aiguelongue;Pierre Rouge;Nazareth;Marie Caizergues;Sainte-Odile;Henri Dunant;Saint-Éloi;Pierre d'Adhémar;Hippolyte Rech;Charles Flahault;Paladilhe;Glycines;Avenue de l'Agriculture;Louvain;Érables;Las Sorbes;Saint-Gabriel;Espérance;Las Cazes;Saint-Clément;Belvédère;Tonnelles;Petit Bard;Marie Curie;Renaudel;Celleneuve
6:30;6:30;6:31;6:32;6:33;6:33;6:34;6:34;6:35;6:35;6:36;6:37;6:38;6:43;6:43;6:44;6:45;6:46;6:48;6:49;6:49;6:49;6:49;6:50;6:50;6:51;6:52;6:52;6:52;6:55;6:55;6:57;6:59;6:59
6:50;6:50;6:51;6:52;6:53;6:53;6:54;6:54;6:55;6:56;6:56;6:58;6:59;7:03;7:03;7:04;7:05;7:06;7:08;7:09;7:09;7:09;7:10;7:10;7:11;7:12;7:13;7:13;7:13;7:16;7:16;7:18;7:20;7:20
7:10;7:10;7:11;7:12;7:13;7:13;7:14;7:14;7:15;7:16;7:16;7:18;7:19;7:23;7:23;7:24;7:25;7:26;7:28;7:29;7:29;7:29;7:30;7:30;7:31;7:32;7:33;7:33;7:33;7:36;7:36;7:38;7:41;7:41
7:30;7:30;7:31;7:32;7:33;7:33;7:34;7:34;7:35;7:36;7:36;7:38;7:39;7:43;7:43;7:45;7:45;7:46;7:49;7:50;7:50;7:50;7:51;7:51;7:52;7:53;7:54;7:54;7:55;7:58;7:58;8:00;8:03;8:03
7:50;7:50;7:51;7:52;7:53;7:53;7:54;7:54;7:55;7:56;7:56;7:58;7:59;8:04;8:04;8:06;8:07;8:08;8:10;8:12;8:12;8:12;8:13;8:14;8:15;8:15;8:17;8:17;8:18;8:21;8:21;8:23;8:26;8:26
8:10;8:10;8:11;8:12;8:14;8:14;8:15;8:15;8:16;8:17;8:17;8:19;8:20;8:25;8:25;8:27;8:28;8:29;8:32;8:34;8:34;8:34;8:35;8:36;8:37;8:37;8:39;8:39;8:40;8:43;8:43;8:45;8:48;8:48
8:30;8:30;8:31;8:32;8:34;8:34;8:35;8:35;8:36;8:37;8:37;8:39;8:40;8:45;8:45;8:47;8:48;8:49;8:52;8:54;8:54;8:54;8:55;8:56;8:57;8:57;8:59;8:59;9:00;9:03;9:03;9:05;9:08;9:08
8:50;8:50;8:51;8:52;8:54;8:54;8:55;8:55;8:56;8:57;8:57;8:59;9:00;9:05;9:05;9:07;9:08;9:09;9:12;9:14;9:14;9:14;9:15;9:16;9:17;9:17;9:19;9:19;9:20;9:23;9:23;9:25;9:28;9:28
9:10;9:10;9:11;9:12;9:14;9:14;9:15;9:15;9:16;9:17;9:17;9:19;9:20;9:25;9:25;9:27;9:28;9:29;9:32;9:34;9:34;9:34;9:35;9:36;9:37;9:37;9:39;9:39;9:40;9:43;9:43;9:45;9:48;9:48
9:30;9:30;9:31;9:32;9:34;9:34;9:35;9:35;9:36;9:37;9:37;9:39;9:40;9:45;9:45;9:47;9:48;9:49;9:51;9:53;9:53;9:53;9:54;9:55;9:56;9:56;9:58;9:58;9:59;10:02;10:02;10:04;10:07;10:07
9:50;9:50;9:51;9:52;9:54;9:54;9:55;9:55;9:56;9:57;9:57;9:59;10:00;10:05;10:05;10:07;10:08;10:09;10:11;10:13;10:13;10:13;10:14;10:15;10:16;10:16;10:18;10:18;10:19;10:22;10:22;10:24;10:27;10:27
