Tournezy;Mas Saint-Pierre;Industrie;Marché Gare;Saporta;Mas Argelliers;Garcia Lorca;Cité de l'Arme;Lucullus;Frédéric Fabrège;Iris;Cité Mion;Place Carnot;Henri René;Gare Saint-Roch (Pont de Sète);Gare Saint-Roch;Gare Saint-Roch;Observatoire;Gambetta;Palissade;Craponne;Figuerolles;Claret;Cité Gély;Chasseurs;Les Roses;Cité Valette;Pas du Loup;Collège Marcel Pagnol;Bagatelle;Cheng-Du;Rouget de Lisle;Paul Fajon;Les Bouisses
6:50;6:52;6:52;6:54;6:55;6:56;6:56;6:56;6:57;6:58;6:59;6:59;7:00;7:00;7:01;7:02;;7:05;7:07;7:07;7:08;7:09;7:10;7:11;7:11;7:12;7:12;7:13;7:15;7:15;7:16;7:17;7:18;7:19
7:20;7:22;7:22;7:24;7:25;7:26;7:26;7:26;7:27;7:28;7:29;7:29;7:30;7:30;7:31;7:32;;7:35;7:37;7:37;7:38;7:39;7:40;7:41;7:41;7:42;7:42;7:43;7:45;7:45;7:46;7:47;7:48;7:49
7:50;7:52;7:52;7:54;7:55;7:56;7:56;7:56;7:57;7:58;7:59;7:59;8:00;8:00;8:01;8:02;;8:06;8:08;8:08;8:09;8:10;8:11;8:12;8:12;8:13;8:13;8:14;8:16;8:16;8:17;8:18;8:19;8:20
8:20;8:22;8:22;8:24;8:25;8:26;8:26;8:26;8:27;8:28;8:29;8:29;8:30;8:30;8:31;8:32;;8:36;8:38;8:38;8:39;8:41;8:41;8:43;8:43;8:44;8:44;8:45;8:47;8:47;8:48;8:49;8:50;8:51
8:50;8:52;8:52;8:54;8:55;8:56;8:56;8:56;8:57;8:58;8:59;8:59;9:00;9:00;9:01;9:02;;9:05;9:07;9:07;9:08;9:10;9:10;9:12;9:12;9:13;9:13;9:14;9:16;9:16;9:17;9:18;9:19;9:20
9:20;9:22;9:22;9:24;9:25;9:26;9:26;9:27;9:27;9:29;9:30;9:30;9:31;9:31;9:32;9:33;;9:36;9:38;9:38;9:39;9:41;9:41;9:43;9:43;9:44;9:44;9:45;9:47;9:47;9:48;9:49;9:50;9:51
9:50;9:52;9:52;9:54;9:55;9:56;9:56;9:57;9:57;9:59;10:00;10:00;10:01;10:01;10:02;10:03;;10:06;10:08;10:08;10:09;10:11;10:11;10:13;10:13;10:14;10:14;10:15;10:17;10:17;10:18;10:19;10:20;10:21
10:20;10:22;10:22;10:24;10:25;10:26;10:26;10:27;10:27;10:29;10:30;10:30;10:31;10:31;10:32;10:33;;10:36;10:38;10:39;10:40;10:41;10:42;10:44;10:44;10:45;10:46;10:47;10:49;10:49;10:50;10:51;10:52;10:53
10:50;10:52;10:53;10:54;10:55;10:57;10:57;10:58;10:58;11:00;11:01;11:01;11:02;11:02;11:03;11:04;;11:07;11:09;11:10;11:11;11:12;11:13;11:15;11:15;11:16;11:17;11:18;11:20;11:20;11:21;11:22;11:23;11:24
11:20;11:22;11:23;11:24;11:25;11:27;11:27;11:28;11:28;11:30;11:31;11:31;11:32;11:32;11:33;11:34;;11:37;11:39;11:40;11:41;11:42;11:43;11:45;11:45;11:46;11:47;11:48;11:50;11:50;11:51;11:52;11:53;11:54
11:50;11:52;11:53;11:54;11:55;11:57;11:57;11:58;11:58;12:00;12:01;12:01;12:02;12:02;12:03;12:04;;12:07;12:09;12:10;12:11;12:12;12:13;12:15;12:15;12:16;12:17;12:18;12:20;12:20;12:21;12:22;12:23;12:24
12:20;12:22;12:23;12:24;12:25;12:27;12:27;12:27;12:28;12:29;12:30;12:30;12:31;12:31;12:32;12:33;;12:36;12:38;12:39;12:40;12:41;12:42;12:44;12:44;12:45;12:46;12:47;12:49;12:49;12:50;12:52;12:53;12:54
12:50;12:52;12:53;12:54;12:55;12:57;12:57;12:57;12:58;12:59;13:00;13:00;13:01;13:01;13:02;13:03;;13:06;13:08;13:09;13:10;13:11;13:12;13:14;13:14;13:15;13:16;13:17;13:19;13:19;13:20;13:22;13:23;13:24
