Gare Saint-Roch (Pont de Sète);Frédéric Peyson;Porto;Pâquerettes;Coquelicots;Centrayrargues;Descartes;Razeteurs;Maréchal Leclerc;Jean Vachet;Catalpas
7:10;7:11;7:12;7:12;7:13;7:14;7:14;7:15;7:16;7:16;7:18
7:40;7:41;7:42;7:42;7:43;7:44;7:44;7:45;7:46;7:46;7:48
8:10;8:11;8:12;8:12;8:14;8:15;8:15;8:16;8:17;8:17;8:19
8:40;8:42;8:43;8:43;8:45;8:46;8:46;8:47;8:48;8:48;8:50
9:10;9:12;9:13;9:13;9:15;9:16;9:16;9:17;9:18;9:18;9:20
9:40;9:42;9:43;9:43;9:45;9:46;9:46;9:47;9:48;9:48;9:50
10:10;10:12;10:13;10:13;10:14;10:15;10:15;10:16;10:17;10:17;10:19
10:40;10:42;10:43;10:43;10:44;10:45;10:45;10:46;10:47;10:47;10:49
11:10;11:12;11:13;11:13;11:14;11:15;11:15;11:16;11:17;11:17;11:20
11:40;11:42;11:43;11:43;11:45;11:46;11:46;11:47;11:48;11:48;11:51
12:10;12:12;12:13;12:13;12:15;12:16;12:16;12:17;12:18;12:18;12:21
12:40;12:42;12:43;12:43;12:44;12:45;12:45;12:46;12:47;12:47;12:49
13:10;13:12;13:13;13:13;13:14;13:15;13:15;13:16;13:17;13:17;13:19
13:40;13:42;13:43;13:43;13:45;13:46;13:46;13:47;13:48;13:48;13:51
14:10;14:12;14:13;14:13;14:14;14:15;14:15;14:16;14:17;14:17;14:20
14:40;14:42;14:43;14:43;14:44;14:45;14:45;14:46;14:47;14:47;14:50
15:10;15:12;15:13;15:13;15:14;15:15;15:15;15:16;15:17;15:17;15:20
15:40;15:42;15:43;15:43;15:44;15:45;15:45;15:46;15:47;15:47;15:50
16:10;16:12;16:13;16:13;16:15;16:16;16:16;16:17;16:18;16:18;16:21
16:40;16:42;16:43;16:43;16:45;16:46;16:47;16:47;16:49;16:49;16:52
17:15;17:17;17:18;17:18;17:20;17:21;17:22;17:22;17:24;17:24;17:27
17:45;17:47;17:48;17:48;17:50;17:51;17:52;17:52;17:54;17:54;17:57
18:15;18:17;18:18;18:18;18:20;18:21;18:21;18:22;18:23;18:23;18:26
18:45;18:47;18:48;18:48;18:50;18:51;18:51;18:52;18:53;18:53;18:56
19:15;19:17;19:18;19:18;19:19;19:20;19:20;19:21;19:22;19:22;19:24
19:45;19:47;19:48;19:48;19:49;19:50;19:50;19:51;19:52;19:52;19:54
20:15;20:16;20:17;20:17;20:18;20:19;20:19;20:20;20:21;20:21;20:23
