Catalpas;Jean Vachet;Maréchal Leclerc;Bellevue;Primevères;Pâquerettes;Porto;Léon Cordès;Place Carnot;Henri René;Gare Saint-Roch (Pont de Sète);Gare Saint-Roch
6:30;6:30;6:31;6:33;6:34;6:34;6:35;6:35;6:37;6:37;6:38;6:39
7:00;7:00;7:01;7:03;7:04;7:04;7:05;7:05;7:07;7:07;7:08;7:09
7:30;7:30;7:31;7:33;7:34;7:34;7:35;7:35;7:37;7:37;7:38;7:39
8:00;8:00;8:01;8:03;8:04;8:04;8:05;8:06;8:08;8:08;8:09;8:10
8:30;8:30;8:31;8:33;8:35;8:35;8:36;8:37;8:39;8:39;8:40;8:41
9:00;9:00;9:01;9:03;9:05;9:05;9:06;9:07;9:09;9:09;9:10;9:11
9:30;9:30;9:31;9:33;9:35;9:35;9:36;9:37;9:39;9:39;9:40;9:41
10:00;10:00;10:01;10:03;10:05;10:05;10:06;10:07;10:09;10:09;10:10;10:11
10:30;10:30;10:31;10:33;10:34;10:34;10:35;10:36;10:38;10:38;10:39;10:40
11:00;11:00;11:01;11:03;11:04;11:04;11:05;11:06;11:08;11:08;11:09;11:10
11:30;11:30;11:31;11:33;11:34;11:34;11:35;11:36;11:38;11:38;11:39;11:40
12:00;12:00;12:01;12:03;12:04;12:04;12:05;12:06;12:08;12:08;12:09;12:10
12:30;12:30;12:31;12:33;12:35;12:35;12:36;12:37;12:39;12:39;12:40;12:41
13:00;13:00;13:01;13:03;13:05;13:05;13:06;13:07;13:09;13:09;13:10;13:11
13:30;13:30;13:31;13:33;13:35;13:35;13:36;13:37;13:39;13:39;13:40;13:41
14:00;14:00;14:01;14:03;14:05;14:05;14:06;14:07;14:09;14:09;14:10;14:11
14:30;14:30;14:31;14:33;14:35;14:35;14:36;14:37;14:39;14:39;14:40;14:41
15:00;15:00;15:01;15:03;15:05;15:05;15:06;15:07;15:09;15:09;15:11;15:12
15:30;15:30;15:31;15:33;15:35;15:35;15:36;15:37;15:39;15:39;15:41;15:42
16:00;16:00;16:01;16:03;16:05;16:05;16:06;16:07;16:09;16:09;16:11;16:12
16:30;16:30;16:31;16:33;16:35;16:35;16:36;16:37;16:39;16:39;16:41;16:42
17:00;17:00;17:01;17:03;17:05;17:05;17:06;17:07;17:09;17:09;17:11;17:12
17:35;17:35;17:36;17:38;17:40;17:40;17:41;17:42;17:44;17:44;17:46;17:47
18:05;18:05;18:06;18:08;18:10;18:10;18:11;18:12;18:14;18:14;18:16;18:17
18:35;18:35;18:36;18:38;18:39;18:39;18:40;18:41;18:43;18:43;18:44;18:45
19:05;19:05;19:06;19:08;19:09;19:09;19:10;19:11;19:13;19:13;19:14;19:15
19:35;19:35;19:36;19:38;19:39;19:39;19:40;19:40;19:42;19:42;19:43;19:44
