Universités Sciences et Lettres;Eugène Bataillon;Gascogne;École d'Architecture;Maurice Chauvet;Pic Saint-Loup;Plan des 4 Seigneurs;Hortus;Lycée Frédéric Bazille;Campus Agropolis;Agropolis;Campus Agropolis;Zoo;Lavalette;Vert Bois;Fac de Lettres;Henri Dunant;Saint-Éloi
6:10;6:10;6:11;6:12;6:13;6:14;6:14;6:14;6:15;6:16;6:17;6:18;6:19;6:21;6:22;6:23;6:24;6:25
6:50;6:50;6:51;6:52;6:53;6:54;6:54;6:54;6:55;6:56;6:57;6:58;6:59;7:01;7:02;7:03;7:04;7:05
7:20;7:20;7:21;7:22;7:23;7:24;7:24;7:25;7:26;7:27;7:28;7:29;7:30;7:32;7:33;7:34;7:35;7:36
7:50;7:50;7:51;7:52;7:53;7:54;7:54;7:55;7:56;7:57;7:58;7:59;8:00;8:02;8:03;8:04;8:05;8:06
8:20;8:20;8:21;8:22;8:23;8:24;8:24;8:25;8:26;8:27;8:28;8:29;8:30;8:32;8:33;8:34;8:35;8:37
8:45;8:45;8:46;8:47;8:48;8:49;8:49;8:50;8:51;8:52;8:53;8:54;8:55;8:57;8:58;8:59;9:00;9:02
9:10;9:10;9:11;9:12;9:13;9:14;9:14;9:15;9:16;9:17;9:18;9:19;9:20;9:22;9:23;9:24;9:25;9:27
9:35;9:35;9:36;9:37;9:38;9:39;9:39;9:40;9:41;9:42;9:43;9:44;9:45;9:47;9:48;9:49;9:50;9:52
10:00;10:00;10:01;10:02;10:03;10:04;10:04;10:05;10:06;10:07;10:08;10:09;10:10;10:12;10:13;10:14;10:15;10:17
10:25;10:25;10:26;10:27;10:28;10:29;10:29;10:30;10:31;10:32;10:33;10:34;10:35;10:37;10:38;10:39;10:41;10:43
10:50;10:50;10:51;10:52;10:53;10:54;10:54;10:55;10:56;10:57;10:58;10:59;11:00;11:02;11:03;11:04;11:06;11:08
11:15;11:15;11:16;11:17;11:18;11:19;11:19;11:20;11:21;11:22;11:23;11:24;11:25;11:27;11:28;11:29;11:31;11:33
11:40;11:40;11:41;11:42;11:43;11:44;11:44;11:45;11:46;11:47;11:48;11:49;11:50;11:52;11:53;11:54;11:56;11:58
12:05;12:05;12:06;12:07;12:08;12:09;12:09;12:10;12:11;12:12;12:13;12:14;12:15;12:17;12:18;12:19;12:21;12:23
12:30;12:30;12:31;12:32;12:33;12:34;12:34;12:35;12:36;12:37;12:38;12:39;12:40;12:42;12:43;12:44;12:45;12:47
12:55;12:55;12:56;12:57;12:58;12:59;12:59;13:00;13:01;13:02;13:03;13:04;13:06;13:07;13:09;13:10;13:11;13:13
13:20;13:20;13:21;13:22;13:23;13:24;13:24;13:25;13:26;13:27;13:28;13:29;13:31;13:32;13:34;13:35;13:36;13:38
13:45;13:45;13:46;13:47;13:48;13:49;13:49;13:50;13:51;13:52;13:53;13:54;13:56;13:57;13:59;14:00;14:01;14:03
14:10;14:10;14:11;14:13;14:14;14:15;14:15;14:16;14:17;14:18;14:19;14:20;14:22;14:23;14:25;14:26;14:27;14:29
14:35;14:35;14:36;14:38;14:39;14:40;14:40;14:41;14:42;14:43;14:44;14:45;14:47;14:48;14:50;14:51;14:52;14:54
15:00;15:00;15:01;15:03;15:04;15:05;15:05;15:06;15:07;15:08;15:09;15:10;15:12;15:13;15:15;15:16;15:17;15:19
15:25;15:25;15:26;15:28;15:29;15:30;15:30;15:31;15:32;15:33;15:34;15:35;15:37;15:38;15:40;15:41;15:42;15:44
15:50;15:50;15:51;15:53;15:54;15:55;15:55;15:56;15:57;15:58;15:59;16:00;16:02;16:04;16:06;16:07;16:08;16:10
16:15;16:15;16:16;16:18;16:19;16:20;16:20;16:21;16:22;16:23;16:24;16:25;16:27;16:29;16:31;16:32;16:33;16:35
16:40;16:40;16:41;16:43;16:44;16:45;16:45;16:46;16:47;16:48;16:49;16:50;16:52;16:54;16:56;16:57;16:58;17:00
17:05;17:05;17:06;17:08;17:09;17:10;17:10;17:11;17:12;17:13;17:14;17:15;17:17;17:19;17:21;17:22;17:24;17:26
17:30;17:30;17:31;17:33;17:34;17:35;17:35;17:36;17:37;17:38;17:39;17:40;17:42;17:44;17:46;17:47;17:49;17:51
17:55;17:55;17:56;17:58;17:59;18:00;18:00;18:01;18:02;18:03;18:04;18:05;18:07;18:08;18:10;18:11;18:13;18:15
18:20;18:20;18:21;18:23;18:24;18:25;18:25;18:26;18:27;18:28;18:29;18:30;18:32;18:33;18:35;18:36;18:37;18:39
