Léon Blum;Jean Mermoz;Les Aubes;Ernest Renan;Pinsons;Estragon;Boulevard des Sports;Françoise;Saint-Maur;Palombes;Foyer des Aubes;Garigliano;Salaison;La Pompignane (Les Lacs)
6:45;6:46;6:47;6:48;6:48;6:49;6:49;6:50;6:51;6:52;6:52;6:54;6:55;6:56
7:05;7:06;7:07;7:08;7:08;7:09;7:09;7:10;7:11;7:12;7:12;7:14;7:15;7:16
7:25;7:26;7:27;7:28;7:28;7:29;7:29;7:30;7:31;7:32;7:32;7:34;7:35;7:36
7:45;7:46;7:47;7:48;7:48;7:49;7:49;7:50;7:51;7:52;7:52;7:54;7:55;7:56
8:05;8:06;8:07;8:08;8:08;8:09;8:09;8:10;8:11;8:12;8:12;8:14;8:15;8:16
8:25;8:26;8:27;8:28;8:28;8:29;8:29;8:30;8:31;8:32;8:32;8:34;8:35;8:36
8:45;8:46;8:47;8:48;8:48;8:49;8:49;8:50;8:51;8:52;8:52;8:54;8:55;8:56
9:05;9:06;9:07;9:08;9:08;9:09;9:09;9:10;9:11;9:12;9:12;9:14;9:15;9:16
9:25;9:26;9:27;9:28;9:28;9:29;9:29;9:30;9:31;9:32;9:32;9:34;9:35;9:36
9:45;9:46;9:47;9:48;9:48;9:49;9:49;9:50;9:51;9:52;9:52;9:54;9:55;9:56
10:05;10:06;10:07;10:08;10:08;10:09;10:09;10:10;10:11;10:12;10:12;10:14;10:15;10:16
10:25;10:26;10:27;10:28;10:28;10:29;10:29;10:30;10:31;10:32;10:32;10:34;10:35;10:36
10:45;10:47;10:48;10:49;10:49;10:50;10:50;10:51;10:52;10:53;10:53;10:55;10:56;10:57
11:05;11:07;11:08;11:09;11:09;11:10;11:10;11:11;11:12;11:13;11:13;11:15;11:16;11:17
11:25;11:27;11:28;11:29;11:29;11:30;11:30;11:31;11:32;11:33;11:33;11:35;11:36;11:37
11:45;11:47;11:48;11:49;11:49;11:50;11:50;11:51;11:52;11:53;11:53;11:55;11:56;11:57
12:10;12:12;12:13;12:14;12:14;12:15;12:15;12:16;12:17;12:18;12:18;12:20;12:21;12:22
12:25;12:27;12:28;12:29;12:29;12:30;12:30;12:31;12:32;12:33;12:33;12:35;12:36;12:37
12:45;12:47;12:48;12:49;12:49;12:50;12:50;12:51;12:52;12:53;12:53;12:55;12:56;12:57
13:05;13:07;13:08;13:09;13:09;13:10;13:10;13:11;13:12;13:13;13:13;13:15;13:16;13:17
13:25;13:27;13:28;13:29;13:29;13:30;13:30;13:31;13:32;13:33;13:33;13:35;13:36;13:37
13:55;13:57;13:58;13:59;13:59;14:00;14:00;14:01;14:02;14:03;14:03;14:05;14:06;14:07
14:05;14:07;14:08;14:09;14:09;14:10;14:10;14:11;14:12;14:13;14:13;14:15;14:16;14:17
14:25;14:27;14:28;14:29;14:29;14:30;14:30;14:31;14:32;14:33;14:33;14:35;14:36;14:37
14:55;14:57;14:58;14:59;14:59;15:00;15:00;15:01;15:02;15:03;15:03;15:05;15:06;15:07
15:05;15:07;15:08;15:09;15:10;15:11;15:11;15:12;15:13;15:14;15:14;15:16;15:17;15:18
15:25;15:27;15:28;15:29;15:30;15:31;15:31;15:32;15:33;15:34;15:34;15:36;15:37;15:38
15:55;15:57;15:58;15:59;16:00;16:01;16:01;16:02;16:03;16:04;16:04;16:06;16:07;16:08
16:05;16:07;16:08;16:09;16:10;16:11;16:11;16:12;16:13;16:14;16:14;16:16;16:17;16:18
16:25;16:27;16:28;16:29;16:30;16:31;16:31;16:32;16:33;16:34;16:34;16:36;16:37;16:38
16:45;16:47;16:48;16:49;16:50;16:51;16:51;16:52;16:53;16:54;16:54;16:56;16:57;16:58
17:05;17:07;17:08;17:09;17:10;17:11;17:11;17:12;17:13;17:14;17:14;17:16;17:17;17:18
17:25;17:27;17:28;17:29;17:30;17:31;17:31;17:32;17:33;17:34;17:34;17:36;17:37;17:38
17:45;17:47;17:48;17:49;17:50;17:51;17:51;17:52;17:53;17:54;17:54;17:56;17:57;17:58
18:05;18:07;18:08;18:09;18:10;18:11;18:11;18:12;18:13;18:14;18:14;18:16;18:17;18:18
18:25;18:27;18:28;18:29;18:30;18:31;18:31;18:32;18:33;18:34;18:34;18:36;18:37;18:38
18:45;18:47;18:48;18:49;18:49;18:50;18:50;18:51;18:52;18:53;18:53;18:55;18:56;18:57
19:05;19:07;19:08;19:09;19:09;19:10;19:10;19:11;19:12;19:13;19:13;19:15;19:16;19:17
19:25;19:27;19:28;19:29;19:29;19:30;19:30;19:31;19:32;19:33;19:33;19:35;19:36;19:37
19:45;19:47;19:48;19:49;19:49;19:50;19:50;19:51;19:52;19:53;19:53;19:55;19:56;19:57
20:00;20:02;20:03;20:04;20:04;20:05;20:05;20:06;20:07;20:07;20:08;20:09;20:10;20:11
