La Pompignane (Les Lacs);Salaison;Garigliano;Foyer des Aubes;Palombes;Saint-Maur;Françoise;Boulevard des Sports;Estragon;Pinsons;Ernest Renan;Les Aubes;Léon Blum
6:45;6:45;6:47;6:47;6:48;6:49;6:49;6:50;6:50;6:51;6:51;6:53;6:55
7:05;7:05;7:07;7:07;7:08;7:09;7:09;7:10;7:11;7:11;7:12;7:14;7:16
7:25;7:25;7:27;7:27;7:28;7:29;7:29;7:30;7:31;7:31;7:32;7:34;7:36
7:40;7:40;7:42;7:42;7:43;7:45;7:46;7:46;7:47;7:48;7:49;7:51;7:53
8:05;8:05;8:07;8:07;8:08;8:10;8:11;8:11;8:12;8:13;8:14;8:16;8:18
8:25;8:25;8:27;8:27;8:28;8:30;8:31;8:31;8:32;8:33;8:34;8:36;8:38
8:40;8:40;8:42;8:42;8:43;8:45;8:46;8:46;8:47;8:48;8:49;8:51;8:53
9:05;9:05;9:07;9:07;9:08;9:10;9:11;9:11;9:12;9:13;9:14;9:16;9:18
9:25;9:25;9:27;9:27;9:28;9:30;9:30;9:31;9:32;9:32;9:33;9:35;9:37
9:45;9:45;9:47;9:47;9:48;9:50;9:50;9:51;9:52;9:52;9:53;9:55;9:57
10:05;10:05;10:07;10:07;10:08;10:10;10:10;10:11;10:12;10:12;10:13;10:15;10:17
10:25;10:25;10:27;10:27;10:28;10:30;10:30;10:31;10:32;10:32;10:33;10:35;10:37
10:45;10:45;10:47;10:47;10:48;10:50;10:50;10:51;10:52;10:52;10:53;10:55;10:57
11:05;11:05;11:07;11:07;11:08;11:10;11:10;11:11;11:12;11:12;11:13;11:15;11:17
11:25;11:25;11:27;11:27;11:28;11:30;11:30;11:31;11:32;11:32;11:33;11:35;11:37
11:45;11:45;11:47;11:47;11:48;11:50;11:50;11:51;11:52;11:52;11:53;11:55;11:57
12:05;12:05;12:07;12:07;12:08;12:10;12:10;12:11;12:12;12:12;12:13;12:15;12:17
12:25;12:25;12:27;12:27;12:28;12:30;12:30;12:31;12:32;12:32;12:33;12:35;12:37
12:45;12:45;12:47;12:47;12:48;12:50;12:50;12:51;12:52;12:52;12:53;12:55;12:57
13:05;13:05;13:07;13:07;13:08;13:10;13:10;13:11;13:12;13:12;13:13;13:15;13:17
13:25;13:25;13:27;13:27;13:28;13:30;13:30;13:31;13:32;13:32;13:33;13:35;13:37
13:45;13:45;13:47;13:47;13:48;13:50;13:50;13:51;13:52;13:52;13:53;13:55;13:57
14:10;14:10;14:12;14:12;14:13;14:15;14:15;14:16;14:17;14:17;14:18;14:20;14:22
14:25;14:25;14:27;14:27;14:28;14:30;14:30;14:31;14:32;14:32;14:33;14:35;14:37
14:45;14:45;14:47;14:47;14:48;14:50;14:50;14:51;14:52;14:52;14:53;14:55;14:57
15:10;15:10;15:12;15:12;15:13;15:15;15:15;15:16;15:17;15:17;15:18;15:20;15:22
15:25;15:25;15:27;15:27;15:28;15:30;15:30;15:31;15:32;15:32;15:33;15:35;15:38
15:45;15:45;15:47;15:47;15:48;15:50;15:50;15:51;15:52;15:52;15:53;15:55;15:58
16:10;16:10;16:12;16:12;16:13;16:15;16:15;16:16;16:17;16:17;16:18;16:20;16:23
16:25;16:25;16:27;16:27;16:28;16:30;16:30;16:31;16:32;16:32;16:33;16:35;16:38
16:45;16:45;16:47;16:47;16:48;16:50;16:50;16:51;16:52;16:52;16:53;16:55;16:58
17:05;17:05;17:07;17:07;17:08;17:10;17:10;17:11;17:12;17:12;17:13;17:15;17:18
17:25;17:25;17:27;17:27;17:28;17:30;17:31;17:31;17:32;17:33;17:34;17:36;17:39
17:45;17:45;17:47;17:47;17:48;17:50;17:51;17:51;17:52;17:53;17:54;17:56;17:59
18:05;18:05;18:07;18:07;18:08;18:10;18:11;18:11;18:12;18:13;18:14;18:16;18:19
18:25;18:25;18:27;18:27;18:28;18:30;18:31;18:31;18:32;18:33;18:34;18:36;18:38
18:45;18:45;18:47;18:47;18:48;18:50;18:51;18:51;18:52;18:53;18:54;18:56;18:58
19:05;19:05;19:07;19:07;19:08;19:10;19:11;19:11;19:12;19:13;19:14;19:16;19:18
19:25;19:25;19:27;19:27;19:28;19:29;19:29;19:30;19:31;19:31;19:32;19:34;19:36
19:45;19:45;19:47;19:47;19:48;19:49;19:49;19:50;19:51;19:51;19:52;19:54;19:56
