Hôtel du Département;Parc Malbosc;Lycée Léonard de Vinci;Oxford;Halles de la Paillade;Uppsala;Gémeaux;Hauts de Massane;Raimbaud d'Orange;Comté de Toulouse;Pierre Cardenal;Carriéra;Place d'Italie;Jacques Prévert;Corse;Comté de Nice;Mas de Bellevue;Pierre de Coubertin
5:35;5:36;5:38;5:39;5:40;5:43;5:43;5:44;5:44;5:44;5:45;5:45;5:46;5:47;5:48;5:48;5:50;5:50
6:00;6:01;6:03;6:04;6:05;6:07;6:07;6:08;6:08;6:09;6:09;6:10;6:11;6:12;6:14;6:14;6:16;6:16
6:22;6:23;6:25;6:26;6:27;6:29;6:29;6:30;6:30;6:31;6:31;6:32;6:33;6:34;6:36;6:36;6:38;6:38
6:35;6:36;6:38;6:39;6:40;6:42;6:42;6:43;6:43;6:44;6:44;6:45;6:46;6:47;6:49;6:49;6:51;6:51
6:46;6:47;6:50;6:51;6:52;6:55;6:55;6:56;6:56;6:57;6:57;6:58;6:59;7:00;7:02;7:02;7:04;7:04
6:56;6:57;7:00;7:01;7:02;7:05;7:05;7:06;7:06;7:07;7:08;7:09;7:09;7:11;7:13;7:13;7:15;7:15
7:07;7:08;7:11;7:12;7:13;7:16;7:16;7:17;7:17;7:18;7:19;7:20;7:20;7:22;7:24;7:24;7:26;7:26
7:18;7:19;7:22;7:23;7:24;7:27;7:27;7:28;7:28;7:29;7:30;7:31;7:31;7:33;7:35;7:35;7:37;7:37
7:26;7:28;7:30;7:32;7:33;7:37;7:37;7:39;7:39;7:40;7:41;7:42;7:42;7:44;7:46;7:46;7:48;7:48
7:37;7:39;7:41;7:43;7:44;7:48;7:48;7:50;7:50;7:51;7:52;7:53;7:53;7:55;7:57;7:57;7:59;7:59
7:46;7:48;7:50;7:52;7:53;7:57;7:57;7:59;7:59;8:00;8:01;8:02;8:02;8:04;8:06;8:06;8:08;8:08
7:56;7:58;8:00;8:02;8:03;8:07;8:07;8:09;8:10;8:10;8:11;8:12;8:13;8:15;8:17;8:17;8:19;8:19
8:04;8:06;8:09;8:11;8:13;8:17;8:17;8:19;8:20;8:20;8:21;8:22;8:23;8:25;8:27;8:27;8:29;8:29
