Hôtel du Département;Parc Malbosc;Lycée Léonard de Vinci;Oxford;Halles de la Paillade;Uppsala;Gémeaux;Hauts de Massane;Raimbaud d'Orange;Comté de Toulouse;Pierre Cardenal;Carriéra;Place d'Italie;Jacques Prévert;Corse;Comté de Nice;Mas de Bellevue;Pierre de Coubertin
5:35;5:36;5:38;5:39;5:40;5:42;5:42;5:43;5:43;5:44;5:44;5:45;5:45;5:47;5:48;5:48;5:50;5:50
6:00;6:01;6:03;6:04;6:05;6:07;6:07;6:08;6:08;6:09;6:09;6:10;6:10;6:12;6:13;6:13;6:15;6:15
6:22;6:23;6:25;6:26;6:27;6:29;6:29;6:30;6:30;6:31;6:31;6:32;6:32;6:34;6:35;6:35;6:37;6:37
6:40;6:41;6:43;6:44;6:45;6:47;6:47;6:48;6:48;6:49;6:49;6:50;6:50;6:52;6:53;6:53;6:55;6:55
6:55;6:56;6:58;6:59;7:00;7:02;7:02;7:03;7:03;7:04;7:04;7:05;7:05;7:07;7:08;7:08;7:10;7:10
7:10;7:11;7:13;7:14;7:15;7:17;7:17;7:18;7:18;7:19;7:19;7:20;7:20;7:22;7:23;7:23;7:25;7:25
7:28;7:29;7:31;7:32;7:33;7:35;7:35;7:36;7:36;7:37;7:37;7:38;7:38;7:40;7:41;7:41;7:43;7:43
7:45;7:46;7:48;7:49;7:50;7:52;7:52;7:53;7:53;7:54;7:54;7:55;7:56;7:57;7:59;7:59;8:01;8:01
8:05;8:06;8:09;8:10;8:11;8:14;8:14;8:15;8:15;8:16;8:16;8:17;8:18;8:19;8:21;8:21;8:23;8:23
8:20;8:21;8:24;8:25;8:26;8:29;8:29;8:30;8:30;8:31;8:31;8:32;8:33;8:34;8:36;8:36;8:38;8:38
8:35;8:36;8:39;8:40;8:41;8:44;8:44;8:45;8:45;8:46;8:46;8:47;8:48;8:49;8:51;8:51;8:53;8:53
8:50;8:51;8:54;8:55;8:56;8:59;8:59;9:00;9:00;9:01;9:02;9:03;9:03;9:05;9:07;9:07;9:09;9:09
9:05;9:06;9:09;9:10;9:11;9:14;9:14;9:15;9:15;9:16;9:17;9:18;9:18;9:20;9:22;9:22;9:24;9:24
