Place Albert 1er;Louis Blanc;Corum;Les Aubes;Pompignane;Place de l'Europe;Rives du Lez;Georges Frêche - Hôtel de Ville;La Rauze;Garcia Lorca;Restanque;Saint-Martin;Nouveau Saint-Roch;Rondelet;Gare Saint-Roch;Observatoire;Saint-Denis
5:40;5:41;5:43;5:46;5:48;5:50;5:52;5:55;5:58;6:00;6:01;6:03;6:06;6:08;6:10;6:11;6:14
6:10;6:11;6:13;6:15;6:17;6:19;6:21;6:23;6:25;6:27;6:28;6:30;6:33;6:35;6:37;6:38;6:41
6:25;6:26;6:28;6:30;6:32;6:34;6:36;6:38;6:40;6:42;6:43;6:45;6:48;6:50;6:52;6:53;6:56
6:40;6:41;6:43;6:45;6:47;6:49;6:51;6:53;6:55;6:57;6:58;7:00;7:03;7:05;7:07;7:08;7:11
6:55;6:56;6:58;7:00;7:02;7:04;7:06;7:08;7:10;7:12;7:13;7:15;7:18;7:20;7:22;7:23;7:26
7:10;7:11;7:13;7:15;7:17;7:19;7:21;7:23;7:25;7:27;7:28;7:30;7:33;7:35;7:37;7:38;7:41
7:25;7:26;7:28;7:30;7:32;7:34;7:36;7:38;7:40;7:42;7:43;7:45;7:48;7:50;7:52;7:53;7:56
7:40;7:41;7:43;7:45;7:47;7:49;7:51;7:53;7:55;7:57;7:58;8:00;8:03;8:05;8:07;8:08;8:11
7:55;7:56;7:58;8:00;8:02;8:04;8:06;8:08;8:10;8:12;8:13;8:15;8:18;8:20;8:22;8:23;8:26
8:10;8:11;8:13;8:15;8:17;8:19;8:21;8:23;8:25;8:27;8:28;8:30;8:33;8:35;8:37;8:38;8:41
8:25;8:26;8:28;8:30;8:32;8:34;8:36;8:38;8:40;8:42;8:43;8:45;8:48;8:50;8:52;8:53;8:56
8:40;8:41;8:43;8:45;8:47;8:49;8:51;8:53;8:55;8:57;8:58;9:00;9:03;9:05;9:07;9:08;9:11
8:55;8:56;8:58;9:00;9:02;9:04;9:06;9:08;9:10;9:12;9:13;9:15;9:18;9:20;9:22;9:23;9:26
9:10;9:11;9:13;9:15;9:17;9:19;9:21;9:23;9:25;9:27;9:28;9:30;9:33;9:35;9:37;9:38;9:41
9:25;9:26;9:28;9:30;9:32;9:34;9:36;9:38;9:40;9:42;9:43;9:45;9:48;9:50;9:52;9:53;9:56
9:40;9:41;9:43;9:45;9:47;9:49;9:51;9:53;9:55;9:57;9:58;10:00;10:03;10:05;10:07;10:08;10:11
9:55;9:56;9:58;10:00;10:02;10:04;10:06;10:08;10:10;10:12;10:13;10:15;10:18;10:20;10:22;10:23;10:26
10:10;10:11;10:13;10:15;10:17;10:19;10:21;10:23;10:25;10:27;10:28;10:30;10:33;10:35;10:37;10:38;10:41
10:25;10:26;10:28;10:30;10:32;10:34;10:36;10:38;10:40;10:42;10:43;10:45;10:48;10:50;10:52;10:53;10:56
10:40;10:41;10:43;10:45;10:47;10:49;10:51;10:53;10:55;10:57;10:58;11:00;11:03;11:05;11:07;11:08;11:11
10:55;10:56;10:58;11:00;11:02;11:04;11:06;11:08;11:10;11:12;11:13;11:15;11:18;11:20;11:22;11:23;11:26
11:10;11:11;11:13;11:15;11:17;11:19;11:21;11:23;11:25;11:27;11:28;11:30;11:33;11:35;11:37;11:38;11:41
11:25;11:26;11:28;11:30;11:32;11:34;11:36;11:38;11:40;11:42;11:43;11:45;11:48;11:50;11:52;11:53;11:56
11:40;11:41;11:43;11:45;11:47;11:49;11:51;11:53;11:55;11:57;11:58;12:00;12:03;12:05;12:07;12:08;12:11
11:55;11:56;11:58;12:00;12:02;12:04;12:06;12:08;12:10;12:12;12:13;12:15;12:18;12:20;12:22;12:23;12:26
12:10;12:11;12:13;12:15;12:17;12:19;12:21;12:23;12:25;12:27;12:28;12:30;12:33;12:35;12:37;12:38;12:41
12:25;12:26;12:28;12:30;12:32;12:34;12:36;12:38;12:40;12:42;12:43;12:45;12:48;12:50;12:52;12:53;12:56
12:40;12:41;12:43;12:45;12:47;12:49;12:51;12:53;12:55;12:57;12:58;13:00;13:03;13:05;13:07;13:08;13:11
12:55;12:56;12:58;13:00;13:02;13:04;13:06;13:08;13:10;13:12;13:13;13:15;13:18;13:20;13:22;13:23;13:26
13:10;13:11;13:13;13:15;13:17;13:19;13:21;13:23;13:25;13:27;13:28;13:30;13:33;13:35;13:37;13:38;13:41
13:25;13:26;13:28;13:30;13:32;13:34;13:36;13:38;13:40;13:42;13:43;13:45;13:48;13:50;13:52;13:53;13:56
13:40;13:41;13:43;13:45;13:47;13:49;13:51;13:53;13:55;13:57;13:58;14:00;14:03;14:05;14:07;14:08;14:11
13:55;13:56;13:58;14:00;14:02;14:04;14:06;14:08;14:10;14:12;14:13;14:15;14:18;14:20;14:22;14:23;14:26
14:10;14:11;14:13;14:15;14:17;14:19;14:21;14:23;14:25;14:27;14:28;14:30;14:33;14:35;14:37;14:38;14:41
14:25;14:26;14:28;14:30;14:32;14:34;14:36;14:38;14:40;14:42;14:43;14:45;14:48;14:50;14:52;14:53;14:56
14:40;14:41;14:43;14:45;14:47;14:49;14:51;14:53;14:55;14:57;14:58;15:00;15:03;15:05;15:07;15:08;15:11
14:55;14:56;14:58;15:00;15:02;15:04;15:06;15:08;15:10;15:12;15:13;15:15;15:18;15:20;15:22;15:23;15:26
15:10;15:11;15:13;15:15;15:17;15:19;15:21;15:23;15:25;15:27;15:28;15:30;15:33;15:35;15:37;15:38;15:41
15:25;15:26;15:28;15:30;15:32;15:34;15:36;15:38;15:40;15:42;15:43;15:45;15:48;15:50;15:52;15:53;15:56
15:40;15:41;15:43;15:45;15:47;15:49;15:51;15:53;15:55;15:57;15:58;16:00;16:03;16:05;16:07;16:08;16:11
15:55;15:56;15:58;16:00;16:02;16:04;16:06;16:08;16:10;16:12;16:13;16:15;16:18;16:20;16:22;16:23;16:26
16:10;16:11;16:13;16:15;16:17;16:19;16:21;16:23;16:25;16:27;16:28;16:30;16:33;16:35;16:37;16:38;16:41
