Euromédecine;Appel du 18 Juin;Puech Villa;Apothicaires;Val d'Aurelle;Antennes;Route de Ganges;Occitanie;Saint-Priest;Château d'Ô;Jean Bart;Alco;Sainte-Geneviève;Cévennes;Las Rébès;Louis Ravaz;Pierre Viala;La Gaillarde;Collège Camille Claudel;Sainte-Thérèse;Paladilhe;Peyrou;Saint-Guilhem;Observatoire;Gare Saint-Roch;Rondelet;Lycée Georges Clemenceau;Berthelot;Place du 8 Mai;Guillaume Janvier;Georges Brassens;Ronceray;Avenue de Toulouse;Le Grand M;Font Couverte;Véga;Estanove;Pas du Loup
6:30;6:31;6:32;6:34;6:35;6:36;6:38;6:38;6:39;6:39;6:42;6:42;6:43;6:44;6:44;6:45;6:46;6:48;6:48;6:49;6:52;6:52;6:53;6:54;6:56;6:58;7:00;7:01;7:02;7:03;7:04;7:04;7:05;7:06;7:06;7:07;7:07;7:08
7:15;7:16;7:17;7:19;7:20;7:21;7:23;7:23;7:24;7:25;7:28;7:28;7:29;7:30;7:31;7:32;7:33;7:35;7:35;7:36;7:39;7:39;7:40;7:42;7:44;7:46;7:48;7:49;7:50;7:52;7:53;7:53;7:54;7:55;7:55;7:56;7:56;7:57
7:55;7:56;7:57;7:59;8:00;8:01;8:03;8:03;8:04;8:05;8:09;8:09;8:10;8:11;8:12;8:13;8:14;8:16;8:16;8:17;8:20;8:20;8:21;8:23;8:25;8:27;8:29;8:30;8:31;8:33;8:34;8:34;8:35;8:36;8:37;8:38;8:38;8:39
8:30;8:31;8:32;8:34;8:35;8:36;8:38;8:38;8:39;8:40;8:44;8:44;8:46;8:46;8:47;8:48;8:50;8:52;8:52;8:53;8:56;8:56;8:57;9:00;9:02;9:04;9:06;9:08;9:09;9:11;9:12;9:12;9:13;9:14;9:15;9:16;9:16;9:17
9:05;9:06;9:07;9:09;9:10;9:11;9:13;9:13;9:14;9:15;9:19;9:19;9:21;9:21;9:22;9:23;9:25;9:27;9:27;9:28;9:31;9:31;9:32;9:35;9:37;9:39;9:41;9:43;9:44;9:46;9:47;9:47;9:48;9:49;9:50;9:51;9:51;9:52
9:40;9:41;9:42;9:44;9:45;9:46;9:48;9:48;9:49;9:50;9:54;9:54;9:56;9:56;9:57;9:58;10:00;10:02;10:02;10:03;10:06;10:06;10:07;10:10;10:12;10:14;10:16;10:18;10:19;10:21;10:22;10:22;10:23;10:25;10:26;10:27;10:27;10:28
10:15;10:16;10:17;10:19;10:20;10:21;10:23;10:23;10:24;10:25;10:28;10:28;10:30;10:30;10:31;10:32;10:34;10:36;10:36;10:38;10:41;10:41;10:42;10:45;10:47;10:49;10:51;10:53;10:54;10:56;10:57;10:57;10:58;11:00;11:01;11:02;11:02;11:03
10:50;10:51;10:52;10:54;10:55;10:56;10:58;10:58;10:59;11:00;11:03;11:03;11:05;11:05;11:06;11:07;11:09;11:11;11:11;11:13;11:16;11:16;11:17;11:20;11:22;11:24;11:26;11:28;11:29;11:31;11:32;11:32;11:33;11:35;11:36;11:37;11:37;11:38
11:25;11:26;11:27;11:29;11:30;11:31;11:33;11:33;11:34;11:35;11:38;11:38;11:40;11:40;11:41;11:42;11:44;11:46;11:46;11:48;11:51;11:51;11:52;11:55;11:57;11:59;12:01;12:03;12:04;12:06;12:07;12:07;12:08;12:10;12:11;12:12;12:12;12:13
12:00;12:01;12:02;12:04;12:05;12:06;12:08;12:08;12:09;12:10;12:13;12:13;12:15;12:15;12:16;12:17;12:19;12:21;12:21;12:22;12:25;12:25;12:26;12:29;12:31;12:33;12:35;12:36;12:37;12:39;12:40;12:40;12:41;12:43;12:44;12:45;12:45;12:46
12:35;12:36;12:37;12:39;12:40;12:41;12:43;12:43;12:44;12:45;12:48;12:48;12:50;12:50;12:51;12:52;12:54;12:56;12:56;12:57;13:00;13:00;13:01;13:04;13:06;13:08;13:10;13:11;13:12;13:14;13:15;13:15;13:16;13:18;13:19;13:20;13:20;13:21
13:10;13:11;13:12;13:14;13:15;13:16;13:18;13:18;13:19;13:20;13:23;13:23;13:25;13:25;13:26;13:27;13:29;13:31;13:31;13:32;13:35;13:35;13:36;13:39;13:41;13:43;13:45;13:47;13:48;13:50;13:51;13:51;13:52;13:53;13:54;13:55;13:55;13:56
