Hôtel du Département;Lycée Jean Monnet;Jean Bart;Château d'Ô;Pléiade;Font Trouvé;Gardioles;Cervantès;La Source;Cité Roger;Pous de la Sers;Maison des Sports;La Pile;Saint-Roch;Saint-Jaumes;Peyrou;Saint-Guilhem;Observatoire;Gare Saint-Roch;Rondelet;Lycée Georges Clemenceau;Berthelot;Myrtes;Lepic;Gouara;Mas de Merle;Étoile;Figairasse;François Dezeuze;Lycée Jules Ferry;Martellière;Sophie Germain;Ormeaux;Les Bouisses;Monsieur Teste;Gustave Eiffel;Croix des Rosiers;Grèzes;La Martelle
6:30;6:31;6:31;6:34;6:35;6:35;6:36;6:37;6:37;6:38;6:38;6:39;6:40;6:41;6:41;6:43;6:44;6:45;6:47;6:49;6:51;6:52;6:52;6:53;6:53;6:55;6:55;6:56;6:57;6:58;6:59;;;;6:59;6:59;7:00;7:00;7:01
7:20;7:21;7:21;7:24;7:25;7:25;7:26;7:27;7:27;7:28;7:28;7:29;7:31;7:31;7:32;7:34;7:35;7:37;7:39;7:41;7:43;7:44;7:45;7:45;7:46;7:48;7:48;7:49;7:50;7:51;7:51;7:52;7:53;7:54;;;;;
7:50;7:51;7:51;7:54;7:55;7:56;7:56;7:58;7:58;7:59;7:59;8:00;8:02;8:02;8:03;8:05;8:06;8:08;8:10;8:12;8:14;8:15;8:16;8:17;8:18;8:20;8:20;8:21;8:22;8:23;8:24;;;;8:24;8:25;8:26;8:26;8:27
8:20;8:21;8:21;8:24;8:25;8:26;8:27;8:29;8:29;8:30;8:31;8:32;8:33;8:34;8:35;8:37;8:38;8:40;8:42;8:44;8:46;8:48;8:49;8:50;8:51;8:53;8:53;8:54;8:55;8:56;8:56;8:57;8:58;8:59;;;;;
8:50;8:51;8:52;8:55;8:56;8:57;8:58;9:00;9:00;9:01;9:02;9:03;9:04;9:05;9:06;9:08;9:09;9:12;9:14;9:16;9:18;9:20;9:21;9:22;9:23;9:25;9:25;9:26;9:27;9:28;9:29;;;;9:29;9:30;9:31;9:32;9:33
9:20;9:21;9:22;9:25;9:26;9:27;9:28;9:30;9:30;9:31;9:32;9:33;9:34;9:35;9:36;9:38;9:39;9:42;9:44;9:46;9:48;9:50;9:51;9:52;9:53;9:55;9:55;9:56;9:57;9:58;9:59;9:59;10:01;10:02;;;;;
9:50;9:51;9:52;9:55;9:56;9:57;9:58;10:00;10:00;10:01;10:02;10:03;10:04;10:05;10:06;10:08;10:09;10:12;10:14;10:16;10:18;10:20;10:21;10:22;10:23;10:25;10:25;10:26;10:27;10:28;10:29;;;;10:29;10:30;10:31;10:32;10:33
10:20;10:21;10:22;10:25;10:26;10:27;10:28;10:30;10:30;10:31;10:32;10:33;10:34;10:35;10:36;10:38;10:39;10:42;10:44;10:46;10:48;10:50;10:51;10:52;10:53;10:55;10:55;10:56;10:57;10:58;10:59;10:59;11:01;11:02;;;;;
10:50;10:51;10:52;10:55;10:56;10:57;10:58;11:00;11:00;11:01;11:02;11:03;11:04;11:05;11:06;11:08;11:09;11:12;11:14;11:16;11:18;11:20;11:21;11:22;11:23;11:25;11:25;11:26;11:27;11:28;11:29;;;;11:29;11:30;11:31;11:32;11:33
11:20;11:21;11:22;11:25;11:26;11:27;11:28;11:30;11:30;11:31;11:32;11:33;11:34;11:35;11:36;11:38;11:39;11:42;11:44;11:46;11:48;11:50;11:51;11:52;11:53;11:55;11:55;11:56;11:57;11:58;11:59;11:59;12:01;12:02;;;;;
11:50;11:51;11:52;11:55;11:56;11:57;11:58;12:00;12:00;12:01;12:02;12:03;12:04;12:05;12:06;12:08;12:09;12:12;12:14;12:16;12:18;12:20;12:21;12:22;12:23;12:25;12:25;12:26;12:27;12:28;12:29;;;;12:29;12:30;12:31;12:32;12:33
12:20;12:21;12:22;12:25;12:26;12:27;12:28;12:30;12:30;12:31;12:32;12:33;12:34;12:35;12:36;12:38;12:39;12:42;12:44;12:46;12:48;12:49;12:50;12:51;12:52;12:54;12:54;12:55;12:56;12:57;12:58;12:58;13:00;13:01;;;;;
12:50;12:51;12:52;12:55;12:56;12:57;12:58;13:00;13:00;13:01;13:02;13:03;13:04;13:05;13:06;13:08;13:09;13:12;13:14;13:16;13:18;13:19;13:20;13:21;13:22;13:24;13:24;13:25;13:26;13:27;13:28;;;;13:28;13:29;13:30;13:31;13:32
13:20;13:21;13:22;13:25;13:26;13:27;13:28;13:30;13:30;13:31;13:32;13:33;13:34;13:35;13:36;13:38;13:39;13:42;13:44;13:46;13:48;13:50;13:51;13:52;13:53;13:55;13:55;13:56;13:57;13:58;13:59;13:59;14:01;14:02;;;;;
13:50;13:51;13:51;13:54;13:55;13:56;13:57;13:59;13:59;14:00;14:01;14:02;14:03;14:04;14:05;14:07;14:08;14:11;14:13;14:15;14:17;14:19;14:20;14:21;14:22;14:24;14:24;14:25;14:26;14:27;14:28;;;;14:28;14:29;14:30;14:31;14:32
14:20;14:21;14:21;14:24;14:25;14:26;14:27;14:29;14:29;14:30;14:31;14:32;14:33;14:34;14:35;14:37;14:38;14:41;14:43;14:45;14:47;14:49;14:50;14:51;14:52;14:54;14:54;14:55;14:56;14:57;14:58;14:58;15:00;15:01;;;;;
14:50;14:51;14:52;14:56;14:57;14:58;14:59;15:01;15:01;15:02;15:03;15:04;15:05;15:06;15:07;15:09;15:10;15:14;15:16;15:18;15:20;15:22;15:23;15:24;15:25;15:27;15:27;15:28;15:29;15:30;15:31;;;;15:31;15:32;15:33;15:34;15:35
15:20;15:21;15:22;15:26;15:28;15:29;15:30;15:31;15:32;15:33;15:34;15:35;15:36;15:37;15:38;15:40;15:41;15:45;15:47;15:49;15:51;15:53;15:54;15:55;15:56;15:58;15:58;15:59;16:00;16:01;16:02;16:02;16:04;16:05;;;;;
15:50;15:51;15:52;15:56;15:58;15:59;16:00;16:01;16:02;16:03;16:04;16:05;16:06;16:07;16:08;16:10;16:11;16:15;16:17;16:19;16:21;16:23;16:24;16:25;16:26;16:28;16:28;16:29;16:30;16:31;16:32;;;;16:32;16:33;16:34;16:35;16:36
16:20;16:21;16:22;16:26;16:28;16:29;16:30;16:31;16:32;16:33;16:34;16:35;16:36;16:37;16:38;16:40;16:41;16:45;16:47;16:50;16:52;16:54;16:55;16:56;16:57;16:59;16:59;17:00;17:01;17:03;17:04;17:04;17:06;17:07;;;;;
16:50;16:51;16:52;16:56;16:58;16:59;17:00;17:01;17:02;17:03;17:04;17:05;17:06;17:07;17:08;17:10;17:11;17:15;17:17;17:20;17:22;17:24;17:25;17:26;17:27;17:29;17:29;17:30;17:31;17:33;17:34;;;;17:34;17:35;17:36;17:37;17:38
17:20;17:21;17:22;17:26;17:28;17:29;17:30;17:31;17:32;17:33;17:34;17:35;17:36;17:37;17:38;17:40;17:41;17:45;17:47;17:50;17:52;17:54;17:55;17:56;17:57;17:59;17:59;18:00;18:01;18:03;18:04;18:04;18:06;18:07;;;;;
17:50;17:51;17:52;17:56;17:58;17:59;18:00;18:01;18:02;18:03;18:04;18:05;18:06;18:07;18:08;18:10;18:11;18:15;18:17;18:19;18:21;18:23;18:24;18:25;18:26;18:28;18:28;18:29;18:30;18:32;18:33;;;;18:33;18:34;18:35;18:36;18:37
18:20;18:21;18:22;18:26;18:28;18:29;18:30;18:31;18:32;18:33;18:34;18:35;18:36;18:37;18:38;18:40;18:41;18:44;18:46;18:48;18:50;18:52;18:53;18:54;18:55;18:57;18:57;18:58;18:59;19:01;19:02;19:02;19:04;19:05;;;;;
18:50;18:51;18:52;18:56;18:57;18:58;18:59;19:01;19:01;19:02;19:03;19:04;19:05;19:06;19:07;19:09;19:10;19:13;19:15;19:17;19:19;19:21;19:22;19:23;19:24;19:26;19:26;19:27;19:28;19:30;19:31;;;;19:31;19:32;19:33;19:34;19:35
19:20;19:21;19:22;19:26;19:27;19:28;19:29;19:31;19:31;19:32;19:32;19:33;19:35;19:35;19:36;19:38;19:39;19:41;19:43;19:45;19:47;19:48;19:49;19:50;19:51;19:53;19:53;19:54;19:55;19:57;19:58;19:58;20:00;20:01;;;;;
19:50;19:51;19:52;19:55;19:56;19:57;19:57;19:59;19:59;20:00;20:00;20:01;20:03;20:03;20:04;20:06;20:07;20:08;20:10;20:12;20:14;20:15;20:16;20:17;20:18;20:20;20:20;20:21;20:22;20:23;20:24;;;;20:24;20:25;20:26;20:27;20:28
20:20;20:21;20:22;20:25;20:26;20:27;20:27;20:29;20:29;20:30;20:30;20:31;20:32;20:33;20:33;20:35;20:36;20:38;20:40;;;;;;;;;;;;;;;;;;;;
