La Martelle;Grèzes;Croix des Rosiers;Gustave Eiffel;Monsieur Teste;Les Bouisses;Ormeaux;Sophie Germain;Martellière;Lycée Jules Ferry;François Dezeuze;Figairasse;Étoile;Mas de Merle;Gouara;Croix du Capitaine;Berthelot;Lycée Georges Clemenceau;Saint-Denis;Anatole France;Observatoire;Saint-Guilhem;Peyrou;Pitot;Doria;Saint-Roch;La Pile;Maison des Sports;Pous de la Sers;Cité Roger;La Source;Cervantès;Gardioles;Mûriers;Font Trouvé;Pléiade;Château d'Ô;Lycée Jean Monnet;Hôtel du Département
;;;;;;;;;;;;;;;;;;;;7:00;7:03;7:03;7:04;7:04;7:06;7:07;7:08;7:10;7:10;7:10;7:11;7:12;7:12;7:13;7:14;7:14;7:16;7:17
;;;;;7:20;7:21;7:22;7:22;7:23;7:24;7:25;7:26;7:26;7:27;7:29;7:29;7:30;7:32;7:33;7:34;7:37;7:37;7:38;7:38;7:40;7:41;7:42;7:44;7:44;7:44;7:45;7:46;7:46;7:47;7:48;7:48;7:51;7:52
7:48;7:50;7:50;7:51;7:52;;;;7:52;7:53;7:54;7:55;7:56;7:56;7:58;8:00;8:00;8:01;8:03;8:04;8:05;8:09;8:09;8:10;8:11;8:12;8:14;8:15;8:17;8:17;8:17;8:18;8:19;8:19;8:20;8:21;8:21;8:24;8:25
;;;;;8:20;8:21;8:22;8:22;8:23;8:24;8:25;8:26;8:26;8:28;8:30;8:30;8:31;8:33;8:34;8:35;8:39;8:39;8:40;8:41;8:42;8:44;8:45;8:47;8:47;8:47;8:48;8:49;8:50;8:51;8:52;8:52;8:55;8:56
8:48;8:50;8:50;8:51;8:53;;;;8:53;8:54;8:55;8:56;8:58;8:58;9:00;9:02;9:02;9:03;9:05;9:06;9:07;9:11;9:11;9:12;9:13;9:14;9:16;9:17;9:19;9:19;9:19;9:20;9:21;9:22;9:23;9:24;9:24;9:27;9:28
;;;;;9:20;9:21;9:22;9:22;9:23;9:24;9:25;9:27;9:27;9:29;9:31;9:31;9:32;9:34;9:35;9:36;9:40;9:40;9:41;9:42;9:43;9:45;9:46;9:48;9:48;9:48;9:49;9:50;9:51;9:52;9:53;9:53;9:56;9:57
9:48;9:50;9:50;9:51;9:53;;;;9:53;9:54;9:55;9:56;9:58;9:58;10:00;10:02;10:02;10:03;10:05;10:06;10:07;10:11;10:11;10:12;10:13;10:14;10:16;10:17;10:19;10:19;10:19;10:20;10:21;10:22;10:23;10:24;10:24;10:27;10:28
;;;;;10:20;10:21;10:22;10:22;10:23;10:24;10:25;10:27;10:27;10:29;10:31;10:31;10:32;10:34;10:35;10:36;10:40;10:40;10:41;10:42;10:43;10:45;10:46;10:48;10:48;10:48;10:49;10:50;10:51;10:52;10:53;10:53;10:56;10:57
10:48;10:50;10:50;10:51;10:53;;;;10:53;10:54;10:55;10:56;10:58;10:58;11:00;11:02;11:02;11:03;11:05;11:06;11:08;11:12;11:12;11:13;11:14;11:15;11:17;11:18;11:20;11:20;11:20;11:21;11:22;11:23;11:24;11:25;11:25;11:28;11:29
;;;;;11:20;11:21;11:22;11:22;11:23;11:24;11:25;11:27;11:27;11:29;11:31;11:31;11:32;11:34;11:35;11:37;11:41;11:41;11:42;11:43;11:44;11:46;11:47;11:49;11:49;11:49;11:50;11:51;11:52;11:53;11:54;11:54;11:57;11:58
