Gare Saint-Roch (Pont de Sète);Frédéric Bazille;Hélios;Soleiado;Chambéry;Collège des Aiguerelles;Jean Mirailhet;Lucullus;Cité de l'Arme
7:45;7:46;7:48;7:48;7:48;7:49;7:49;7:51;7:52
8:45;8:46;8:48;8:48;8:48;8:49;8:49;8:51;8:52
9:45;9:46;9:48;9:48;9:48;9:49;9:49;9:51;9:52
10:45;10:46;10:48;10:48;10:48;10:49;10:49;10:51;10:52
11:45;11:46;11:48;11:48;11:48;11:49;11:49;11:51;11:52
12:45;12:46;12:48;12:48;12:48;12:49;12:49;12:51;12:52
13:45;13:46;13:48;13:48;13:48;13:49;13:49;13:51;13:52
14:45;14:46;14:48;14:48;14:48;14:49;14:49;14:51;14:52
15:45;15:46;15:48;15:48;15:48;15:49;15:49;15:51;15:52
16:45;16:46;16:48;16:48;16:48;16:49;16:49;16:51;16:52
17:50;17:51;17:53;17:53;17:53;17:54;17:54;17:56;17:57
18:50;18:51;18:53;18:53;18:53;18:54;18:54;18:56;18:57
19:50;19:51;19:53;19:53;19:53;19:54;19:54;19:56;19:57
