Gare Saint-Roch (Pont de Sète);Frédéric Bazille;Hélios;Soleiado;Chambéry;Collège des Aiguerelles;Jean Mirailhet;Lucullus;Cité de l'Arme
6:45;6:46;6:48;6:48;6:48;6:49;6:49;6:51;6:52
7:15;7:16;7:18;7:18;7:18;7:19;7:19;7:21;7:22
7:45;7:46;7:48;7:48;7:49;7:50;7:50;7:53;7:54
8:15;8:16;8:18;8:18;8:19;8:20;8:20;8:23;8:24
8:45;8:46;8:48;8:48;8:49;8:50;8:50;8:53;8:54
9:15;9:16;9:18;9:18;9:19;9:20;9:20;9:23;9:24
9:45;9:46;9:48;9:48;9:48;9:49;9:49;9:52;9:53
10:15;10:16;10:18;10:18;10:18;10:19;10:19;10:21;10:22
10:45;10:46;10:48;10:48;10:48;10:49;10:49;10:51;10:52
11:15;11:16;11:18;11:18;11:18;11:19;11:19;11:21;11:22
11:45;11:46;11:48;11:48;11:48;11:49;11:49;11:51;11:52
12:15;12:16;12:18;12:18;12:18;12:19;12:19;12:21;12:22
12:45;12:46;12:48;12:48;12:48;12:49;12:49;12:51;12:52
13:15;13:16;13:18;13:18;13:18;13:19;13:19;13:21;13:22
13:45;13:46;13:48;13:48;13:48;13:49;13:49;13:51;13:52
14:15;14:16;14:18;14:18;14:19;14:20;14:20;14:22;14:23
14:45;14:46;14:48;14:48;14:49;14:50;14:50;14:52;14:53
15:15;15:16;15:18;15:18;15:19;15:20;15:20;15:23;15:24
15:45;15:46;15:48;15:48;15:49;15:50;15:50;15:53;15:54
16:15;16:16;16:18;16:18;16:19;16:20;16:20;16:23;16:24
16:45;16:46;16:48;16:48;16:49;16:50;16:50;16:53;16:54
17:15;17:16;17:18;17:18;17:19;17:20;17:20;17:23;17:24
17:50;17:51;17:53;17:53;17:54;17:55;17:55;17:58;17:59
18:20;18:21;18:23;18:23;18:24;18:25;18:25;18:28;18:29
18:50;18:51;18:53;18:53;18:54;18:55;18:55;18:58;18:59
19:20;19:21;19:23;19:23;19:23;19:24;19:24;19:27;19:28
19:50;19:51;19:53;19:53;19:53;19:54;19:54;19:57;19:58
