Cité de l'Arme;Jean Mirailhet;Collège des Aiguerelles;Chambéry;Soleiado;Cité Mion;Place Carnot;Henri René;Gare Saint-Roch (Pont de Sète);Gare Saint-Roch
6:55;6:57;6:58;6:58;6:59;7:00;7:01;7:01;7:02;7:03
7:25;7:27;7:28;7:28;7:29;7:30;7:31;7:31;7:32;7:33
7:55;7:57;7:58;7:58;7:59;8:00;8:01;8:01;8:02;8:03
8:25;8:27;8:28;8:28;8:29;8:30;8:31;8:31;8:32;8:33
8:55;8:57;8:58;8:58;8:59;9:00;9:01;9:01;9:02;9:03
9:25;9:27;9:28;9:28;9:29;9:30;9:31;9:31;9:32;9:33
9:55;9:57;9:58;9:58;9:59;10:00;10:01;10:01;10:02;10:03
10:25;10:27;10:28;10:28;10:29;10:30;10:31;10:31;10:32;10:33
10:55;10:57;10:58;10:58;10:59;11:00;11:01;11:01;11:02;11:03
11:25;11:27;11:28;11:28;11:29;11:30;11:31;11:31;11:32;11:33
11:55;11:57;11:58;11:58;11:59;12:00;12:01;12:01;12:02;12:03
12:25;12:27;12:28;12:28;12:29;12:30;12:31;12:31;12:32;12:33
12:55;12:57;12:58;12:58;12:59;13:00;13:01;13:01;13:02;13:03
13:25;13:27;13:28;13:28;13:29;13:30;13:31;13:31;13:32;13:33
13:55;13:57;13:58;13:58;13:59;14:00;14:01;14:01;14:02;14:03
14:25;14:27;14:28;14:28;14:29;14:30;14:31;14:32;14:33;14:34
14:55;14:57;14:58;14:58;14:59;15:00;15:01;15:02;15:03;15:04
15:25;15:27;15:28;15:28;15:29;15:30;15:31;15:32;15:33;15:34
15:55;15:57;15:58;15:58;15:59;16:00;16:01;16:02;16:03;16:04
16:25;16:27;16:28;16:28;16:29;16:30;16:31;16:32;16:33;16:34
16:55;16:57;16:58;16:58;16:59;17:00;17:01;17:02;17:03;17:04
17:25;17:27;17:28;17:28;17:29;17:30;17:31;17:32;17:33;17:34
18:00;18:02;18:03;18:03;18:04;18:05;18:06;18:07;18:08;18:09
18:30;18:32;18:33;18:33;18:34;18:35;18:36;18:37;18:38;18:39
19:00;19:02;19:03;19:03;19:04;19:05;19:06;19:07;19:08;19:09
19:30;19:32;19:33;19:33;19:34;19:35;19:36;19:36;19:37;19:38
20:00;20:02;20:03;20:03;20:04;20:05;20:06;20:06;20:07;20:08
