Apollo;Pierre Laroque;Semard;André Malraux;Marie Durand;Saint-Jean;Colverts;Paul Painlevé;Cinq Chalets;Saint-Michel;Place de l'Europe;Vieille Poste;François Couperin;Pinville;Alfred Nobel;Eurêka;Louis Lépine;Volta Fizeau;Guglielmo Marconi;Évariste Galois;Samuel Morse;Place de France;Georges Méliès;Zénith;Albert Einstein;Cimetière Saint-Étienne;Grammont
6:30;6:31;6:32;6:33;6:33;6:34;6:34;6:35;6:35;6:36;6:39;6:40;6:41;6:41;6:42;6:43;6:44;6:44;6:45;6:46;6:48;6:48;6:49;6:51;6:52;6:53;6:55
6:50;6:51;6:52;6:53;6:53;6:54;6:54;6:55;6:55;6:56;7:00;7:01;7:02;7:02;7:03;7:04;7:05;7:05;7:06;7:07;7:09;7:09;7:10;7:12;7:13;7:14;7:16
7:05;7:06;7:07;7:08;7:08;7:09;7:09;7:10;7:10;7:11;7:15;7:16;7:17;7:17;7:18;7:19;7:20;7:20;7:21;7:22;7:24;7:24;7:25;7:27;7:28;7:29;7:31
7:20;7:21;7:22;7:23;7:23;7:24;7:24;7:25;7:25;7:26;7:30;7:32;7:32;7:33;7:34;7:34;7:36;7:36;7:37;7:38;7:40;7:40;7:41;7:43;7:44;7:45;7:47
7:36;7:37;7:38;7:39;7:39;7:40;7:40;7:41;7:41;7:42;7:46;7:48;7:48;7:49;7:50;7:50;7:52;7:52;7:54;7:55;7:57;7:57;7:58;8:00;8:01;8:02;8:04
7:51;7:52;7:53;7:54;7:54;7:55;7:55;7:56;7:56;7:57;8:01;8:03;8:03;8:04;8:05;8:05;8:07;8:07;8:09;8:10;8:12;8:12;8:13;8:15;8:16;8:17;8:19
8:07;8:08;8:09;8:10;8:10;8:11;8:11;8:12;8:12;8:13;8:17;8:19;8:19;8:20;8:21;8:21;8:23;8:23;8:25;8:26;8:28;8:28;8:29;8:32;8:33;8:34;8:36
8:22;8:23;8:24;8:25;8:25;8:26;8:26;8:27;8:28;8:29;8:33;8:35;8:35;8:36;8:37;8:37;8:39;8:39;8:41;8:42;8:44;8:44;8:45;8:48;8:49;8:50;8:52
8:37;8:38;8:39;8:40;8:40;8:41;8:41;8:42;8:43;8:44;8:48;8:50;8:50;8:51;8:52;8:52;8:54;8:54;8:56;8:57;8:59;8:59;9:00;9:03;9:04;9:05;9:07
8:52;8:53;8:54;8:55;8:55;8:56;8:56;8:57;8:58;8:59;9:02;9:04;9:04;9:05;9:06;9:06;9:08;9:08;9:10;9:11;9:13;9:13;9:14;9:17;9:18;9:19;9:21
