Grammont;Cimetière Saint-Étienne;Albert Einstein;Zénith;Georges Méliès;Place de France;Samuel Morse;Évariste Galois;Guglielmo Marconi;Volta Fizeau;Louis Lépine;Eurêka;Alfred Nobel;Pinville;François Couperin;Vieille Poste;Cinq Chalets;Saint-Michel;Place de l'Europe;Paul Painlevé;Colverts;Saint-Jean;Marie Durand;André Malraux;Semard;Pierre Laroque;Apollo
7:40;7:41;7:41;7:43;7:46;7:46;7:47;7:48;7:49;7:50;7:50;7:51;7:51;7:52;7:53;7:53;7:54;7:55;7:57;7:59;8:00;8:01;8:02;8:02;8:03;8:03;8:04
8:27;8:28;8:28;8:30;8:34;8:34;8:35;8:36;8:37;8:38;8:38;8:39;8:39;8:40;8:41;8:41;8:42;8:43;8:45;8:47;8:48;8:49;8:50;8:50;8:51;8:51;8:52
9:07;9:08;9:08;9:10;9:14;9:14;9:15;9:16;9:17;9:18;9:18;9:19;9:19;9:20;9:21;9:21;9:22;9:23;9:25;9:27;9:28;9:29;9:30;9:30;9:31;9:31;9:32
9:42;9:43;9:43;9:45;9:49;9:49;9:50;9:51;9:52;9:53;9:53;9:54;9:54;9:55;9:56;9:56;9:57;9:58;10:00;10:02;10:03;10:04;10:05;10:05;10:06;10:06;10:08
10:21;10:22;10:22;10:24;10:28;10:28;10:29;10:30;10:31;10:32;10:32;10:33;10:34;10:35;10:35;10:36;10:37;10:38;10:40;10:43;10:44;10:44;10:46;10:46;10:47;10:47;10:49
10:55;10:56;10:56;10:58;11:02;11:02;11:03;11:04;11:05;11:06;11:06;11:07;11:08;11:09;11:09;11:10;11:11;11:12;11:15;11:18;11:19;11:19;11:21;11:21;11:22;11:22;11:24
11:41;11:42;11:42;11:44;11:47;11:47;11:48;11:49;11:50;11:51;11:51;11:52;11:53;11:54;11:54;11:55;11:56;11:57;12:00;12:03;12:04;12:04;12:06;12:06;12:07;12:07;12:09
12:22;12:23;12:23;12:25;12:28;12:28;12:29;12:30;12:31;12:32;12:32;12:33;12:33;12:34;12:35;12:35;12:36;12:37;12:40;12:43;12:44;12:44;12:46;12:46;12:47;12:47;12:49
13:03;13:04;13:04;13:06;13:09;13:09;13:10;13:11;13:12;13:13;13:13;13:14;13:14;13:15;13:16;13:16;13:17;13:18;13:20;13:23;13:24;13:24;13:26;13:26;13:27;13:27;13:29
13:42;13:43;13:43;13:45;13:49;13:49;13:50;13:51;13:52;13:53;13:53;13:54;13:54;13:55;13:56;13:56;13:57;13:58;14:00;14:03;14:04;14:04;14:06;14:06;14:07;14:07;14:09
14:17;14:18;14:18;14:20;14:24;14:24;14:25;14:26;14:27;14:28;14:28;14:29;14:29;14:30;14:31;14:31;14:32;14:33;14:35;14:38;14:39;14:39;14:41;14:41;14:42;14:42;14:44
14:56;14:57;14:57;14:59;15:03;15:03;15:04;15:05;15:07;15:08;15:08;15:09;15:09;15:10;15:11;15:11;15:12;15:13;15:15;15:18;15:19;15:19;15:21;15:21;15:22;15:22;15:24
15:41;15:42;15:42;15:44;15:48;15:48;15:49;15:50;15:52;15:53;15:53;15:54;15:54;15:55;15:56;15:56;15:57;15:58;16:00;16:03;16:04;16:04;16:06;16:06;16:07;16:07;16:09
16:25;16:26;16:26;16:28;16:32;16:32;16:33;16:34;16:36;16:37;16:37;16:38;16:39;16:40;16:40;16:41;16:42;16:43;16:45;16:48;16:50;16:50;16:52;16:52;16:53;16:53;16:55
17:05;17:06;17:06;17:08;17:12;17:12;17:13;17:14;17:16;17:17;17:17;17:18;17:19;17:20;17:20;17:21;17:22;17:23;17:25;17:28;17:30;17:30;17:32;17:32;17:33;17:33;17:35
17:45;17:46;17:46;17:48;17:52;17:52;17:53;17:54;17:56;17:57;17:57;17:58;17:59;18:00;18:00;18:01;18:02;18:03;18:05;18:08;18:10;18:10;18:12;18:12;18:13;18:13;18:15
18:26;18:27;18:27;18:29;18:33;18:33;18:34;18:35;18:36;18:37;18:37;18:38;18:39;18:40;18:40;18:41;18:42;18:43;18:45;18:48;18:50;18:50;18:52;18:52;18:53;18:53;18:55
19:07;19:08;19:08;19:10;19:14;19:14;19:15;19:16;19:17;19:18;19:18;19:19;19:19;19:20;19:21;19:21;19:22;19:23;19:25;19:28;19:29;19:29;19:31;19:31;19:32;19:32;19:34
19:50;19:51;19:51;19:53;19:56;19:56;19:57;19:58;19:59;20:00;20:00;20:01;20:01;20:02;20:02;20:03;20:03;20:04;20:05;20:08;20:10;20:10;20:12;20:12;20:13;20:13;20:14
