Celleneuve;Renaudel;Marie Curie;Petit Bard;Tonnelles;Belvédère;Saint-Clément;Las Cazes;Espérance;Saint-Gabriel;Las Sorbes;Érables;Louvain;Avenue de l'Agriculture;Glycines;Paladilhe;Doria;Saint-Roch;La Pile;Hippolyte Rech;Pierre d'Adhémar;Fac de Pharmacie;Saint-Éloi;Henri Dunant;Sainte-Odile;Marie Caizergues;Nazareth;Pierre Rouge;Aiguelongue;Clolus;Alpilles;Chantecler;Pioch de Boutonnet;Moulin de Gasconnet;René Bougnol;Antoine-Laurent de Jussieu;Aiguelongue (Jussieu)
7:00;7:01;7:02;7:02;7:02;7:05;7:05;7:05;7:06;7:06;7:07;7:07;7:08;7:08;7:08;7:10;7:10;7:11;7:13;7:14;7:15;7:17;7:17;7:19;7:19;7:19;7:21;7:23;7:23;7:23;7:23;7:23;7:24;7:26;7:26;7:27;7:28
7:35;7:36;7:37;7:37;7:37;7:40;7:40;7:40;7:41;7:41;7:42;7:42;7:43;7:43;7:43;7:45;7:45;7:46;7:48;7:49;7:50;7:52;7:52;7:54;7:54;7:54;7:56;7:58;7:58;7:58;7:58;7:58;7:59;8:01;8:01;8:02;8:03
8:15;8:16;8:18;8:18;8:18;8:21;8:21;8:21;8:22;8:23;8:23;8:24;8:25;8:25;8:25;8:27;8:27;8:28;8:30;8:31;8:32;8:34;8:34;8:36;8:36;8:36;8:38;8:40;8:40;8:40;8:41;8:41;8:42;8:44;8:44;8:45;8:46
8:55;8:56;8:58;8:58;8:59;9:02;9:02;9:02;9:03;9:04;9:04;9:05;9:06;9:06;9:06;9:08;9:08;9:09;9:11;9:12;9:13;9:15;9:15;9:17;9:17;9:17;9:19;9:21;9:21;9:21;9:22;9:22;9:23;9:25;9:25;9:26;9:27
9:35;9:36;9:38;9:38;9:39;9:42;9:42;9:42;9:43;9:44;9:44;9:45;9:46;9:46;9:46;9:48;9:48;9:49;9:51;9:52;9:53;9:55;9:55;9:57;9:57;9:57;9:59;10:01;10:01;10:01;10:02;10:02;10:03;10:05;10:05;10:06;10:07
10:15;10:16;10:18;10:18;10:19;10:22;10:22;10:22;10:23;10:24;10:24;10:25;10:26;10:26;10:26;10:28;10:28;10:29;10:31;10:32;10:33;10:35;10:35;10:37;10:37;10:37;10:39;10:41;10:41;10:41;10:42;10:42;10:43;10:45;10:45;10:46;10:47
10:55;10:56;10:58;10:58;10:59;11:02;11:02;11:02;11:03;11:04;11:04;11:05;11:06;11:06;11:06;11:08;11:08;11:09;11:11;11:12;11:13;11:15;11:15;11:17;11:17;11:17;11:19;11:21;11:21;11:21;11:22;11:22;11:23;11:25;11:25;11:26;11:27
11:35;11:36;11:38;11:38;11:39;11:42;11:42;11:42;11:43;11:44;11:44;11:45;11:46;11:46;11:46;11:48;11:48;11:49;11:51;11:52;11:53;11:55;11:55;11:57;11:57;11:57;11:59;12:01;12:01;12:01;12:02;12:02;12:03;12:05;12:05;12:06;12:07
12:15;12:16;12:18;12:18;12:19;12:22;12:22;12:22;12:23;12:24;12:24;12:25;12:26;12:26;12:26;12:28;12:28;12:29;12:31;12:32;12:33;12:35;12:35;12:37;12:37;12:37;12:39;12:41;12:41;12:41;12:42;12:42;12:43;12:45;12:45;12:46;12:47
12:55;12:56;12:58;12:58;12:59;13:02;13:02;13:02;13:03;13:04;13:04;13:05;13:06;13:06;13:06;13:08;13:08;13:09;13:11;13:12;13:13;13:15;13:15;13:17;13:17;13:17;13:19;13:21;13:21;13:21;13:22;13:22;13:23;13:25;13:25;13:26;13:27
