Gare Saint-Roch (Pont de Sète);Frédéric Peyson;Porto;Pâquerettes;Coquelicots;Centrayrargues;Descartes;Razeteurs;Maréchal Leclerc;Jean Vachet;Catalpas
8:10;8:11;8:11;8:11;8:12;8:13;8:13;8:14;8:15;8:15;8:17
9:10;9:11;9:12;9:12;9:13;9:14;9:14;9:15;9:16;9:16;9:18
10:10;10:11;10:12;10:12;10:13;10:14;10:14;10:15;10:16;10:16;10:18
11:10;11:11;11:12;11:12;11:13;11:14;11:14;11:15;11:16;11:16;11:18
12:10;12:11;12:12;12:12;12:13;12:14;12:14;12:15;12:16;12:16;12:18
13:10;13:11;13:12;13:12;13:13;13:14;13:14;13:15;13:16;13:16;13:18
14:10;14:11;14:12;14:12;14:13;14:14;14:14;14:15;14:16;14:16;14:18
15:10;15:11;15:12;15:12;15:13;15:14;15:14;15:15;15:16;15:16;15:18
16:10;16:11;16:12;16:12;16:13;16:14;16:14;16:15;16:16;16:16;16:18
17:15;17:16;17:17;17:17;17:18;17:19;17:19;17:20;17:21;17:21;17:23
18:15;18:16;18:17;18:17;18:18;18:19;18:19;18:20;18:21;18:21;18:23
19:15;19:16;19:17;19:17;19:18;19:19;19:19;19:20;19:21;19:21;19:23
20:15;20:16;20:16;20:16;20:17;20:18;20:18;20:19;20:20;20:20;20:22
