Catalpas;Jean Vachet;Maréchal Leclerc;Bellevue;Primevères;Pâquerettes;Porto;Léon Cordès;Place Carnot;Henri René;Gare Saint-Roch (Pont de Sète);Gare Saint-Roch
7:30;7:30;7:31;7:32;7:33;7:33;7:34;7:34;7:36;7:36;7:37;7:38
8:30;8:30;8:31;8:32;8:33;8:33;8:34;8:35;8:37;8:37;8:38;8:39
9:30;9:30;9:31;9:33;9:34;9:34;9:35;9:36;9:38;9:38;9:39;9:40
10:30;10:30;10:31;10:33;10:34;10:34;10:35;10:36;10:38;10:38;10:39;10:40
11:30;11:30;11:31;11:33;11:34;11:34;11:35;11:36;11:38;11:38;11:39;11:40
12:30;12:30;12:31;12:33;12:34;12:34;12:35;12:36;12:38;12:38;12:39;12:40
13:30;13:30;13:32;13:34;13:35;13:35;13:36;13:37;13:39;13:39;13:40;13:41
14:30;14:30;14:32;14:34;14:35;14:35;14:36;14:37;14:39;14:39;14:40;14:41
15:30;15:30;15:32;15:34;15:35;15:35;15:36;15:37;15:39;15:39;15:40;15:41
16:30;16:30;16:32;16:34;16:35;16:35;16:36;16:37;16:39;16:39;16:40;16:41
17:35;17:35;17:37;17:39;17:40;17:40;17:41;17:42;17:44;17:44;17:45;17:46
18:35;18:35;18:37;18:39;18:40;18:40;18:41;18:42;18:44;18:44;18:45;18:46
19:35;19:35;19:36;19:37;19:38;19:38;19:39;19:39;19:41;19:41;19:42;19:43
