Saint-Éloi;Fac de Lettres;Vert Bois;Lavalette;Zoo;Campus Agropolis;Agropolis;Lycée Frédéric Bazille;Hortus;Plan des 4 Seigneurs;Pic Saint-Loup;Maurice Chauvet;École d'Architecture;Gascogne;Eugène Bataillon;Universités Sciences et Lettres
6:30;6:31;6:32;6:32;6:33;6:35;6:36;6:38;6:38;6:39;6:39;6:40;6:41;6:42;6:42;6:43
7:00;7:01;7:02;7:02;7:03;7:05;7:06;7:08;7:08;7:09;7:09;7:10;7:11;7:12;7:12;7:13
7:30;7:31;7:32;7:32;7:33;7:35;7:36;7:38;7:38;7:39;7:39;7:40;7:41;7:42;7:42;7:43
7:55;7:56;7:57;7:57;7:58;8:00;8:01;8:03;8:03;8:04;8:04;8:05;8:06;8:07;8:07;8:08
8:20;8:21;8:22;8:22;8:23;8:25;8:26;8:28;8:29;8:30;8:30;8:31;8:32;8:33;8:33;8:34
8:45;8:46;8:47;8:47;8:48;8:50;8:51;8:53;8:54;8:55;8:55;8:56;8:57;8:58;8:58;8:59
9:10;9:11;9:12;9:12;9:13;9:15;9:16;9:18;9:19;9:20;9:20;9:21;9:22;9:23;9:23;9:24
9:35;9:36;9:37;9:37;9:38;9:40;9:41;9:43;9:44;9:45;9:45;9:46;9:47;9:48;9:48;9:49
10:00;10:02;10:03;10:03;10:04;10:06;10:07;10:09;10:10;10:11;10:11;10:12;10:13;10:14;10:14;10:15
10:25;10:27;10:28;10:28;10:30;10:31;10:33;10:35;10:36;10:37;10:37;10:38;10:39;10:40;10:40;10:41
10:50;10:52;10:53;10:53;10:55;10:56;10:58;11:00;11:01;11:02;11:02;11:03;11:04;11:05;11:05;11:06
11:15;11:17;11:18;11:18;11:20;11:21;11:23;11:25;11:26;11:27;11:27;11:28;11:29;11:30;11:30;11:31
11:40;11:42;11:43;11:43;11:45;11:46;11:48;11:50;11:51;11:52;11:52;11:53;11:54;11:55;11:55;11:56
12:05;12:07;12:08;12:08;12:10;12:11;12:13;12:15;12:16;12:17;12:17;12:18;12:19;12:20;12:20;12:21
12:30;12:32;12:33;12:33;12:35;12:36;12:38;12:40;12:41;12:42;12:42;12:43;12:44;12:45;12:45;12:46
12:55;12:57;12:58;12:58;13:00;13:01;13:03;13:05;13:06;13:07;13:07;13:08;13:09;13:10;13:10;13:11
13:20;13:22;13:23;13:23;13:25;13:26;13:28;13:30;13:31;13:32;13:32;13:33;13:34;13:35;13:35;13:36
13:45;13:47;13:48;13:48;13:50;13:51;13:53;13:55;13:56;13:57;13:57;13:58;13:59;14:00;14:00;14:01
14:10;14:12;14:13;14:13;14:15;14:16;14:18;14:20;14:21;14:22;14:22;14:23;14:24;14:25;14:25;14:26
14:35;14:37;14:39;14:39;14:41;14:42;14:44;14:46;14:47;14:48;14:48;14:49;14:50;14:51;14:51;14:52
15:00;15:02;15:04;15:04;15:06;15:07;15:09;15:11;15:12;15:13;15:13;15:14;15:15;15:16;15:16;15:17
15:25;15:27;15:29;15:29;15:31;15:32;15:34;15:36;15:37;15:38;15:38;15:39;15:40;15:41;15:41;15:42
15:50;15:52;15:54;15:54;15:56;15:57;15:59;16:01;16:02;16:03;16:03;16:04;16:05;16:06;16:06;16:07
16:15;16:17;16:19;16:19;16:21;16:22;16:24;16:26;16:27;16:28;16:28;16:29;16:30;16:31;16:31;16:32
16:40;16:42;16:44;16:44;16:46;16:47;16:49;16:51;16:52;16:53;16:53;16:54;16:55;16:56;16:56;16:57
17:05;17:07;17:09;17:09;17:11;17:12;17:14;17:16;17:17;17:18;17:18;17:19;17:20;17:21;17:21;17:22
17:30;17:32;17:34;17:34;17:36;17:37;17:39;17:41;17:42;17:43;17:43;17:44;17:45;17:46;17:46;17:47
17:55;17:57;17:59;17:59;18:01;18:02;18:04;18:06;18:07;18:08;18:08;18:09;18:10;18:11;18:11;18:12
18:20;18:22;18:24;18:24;18:26;18:27;18:29;18:31;18:32;18:33;18:33;18:34;18:35;18:36;18:36;18:37
18:45;18:47;18:49;18:49;18:51;18:52;18:54;18:56;18:57;18:58;18:58;18:59;19:00;19:01;19:01;19:02
19:10;19:12;19:14;19:14;19:16;19:17;19:19;19:21;19:22;19:23;19:23;19:24;19:25;19:26;19:26;19:27
19:35;19:37;19:39;19:39;19:41;19:42;19:44;19:46;19:46;19:47;19:47;19:48;19:49;19:50;19:50;19:51
20:05;20:07;20:09;20:09;20:11;20:12;20:14;20:16;20:16;20:17;20:17;20:18;20:19;20:20;20:20;20:21
20:35;20:37;20:39;20:39;20:41;20:42;20:44;20:46;20:46;20:47;20:47;20:48;20:49;20:50;20:50;20:51
21:05;21:07;21:09;21:09;21:11;21:12;21:14;;;;;;;;;
21:35;21:37;21:39;21:39;21:41;21:42;21:44;;;;;;;;;
22:05;22:07;22:09;22:09;22:11;22:12;22:14;;;;;;;;;
22:35;22:37;22:39;22:39;22:41;22:42;22:44;;;;;;;;;
23:05;23:07;23:09;23:09;23:11;23:12;23:14;;;;;;;;;
23:35;23:37;23:39;23:39;23:41;23:42;23:44;;;;;;;;;
0:05;0:07;0:09;0:09;0:11;0:12;0:14;;;;;;;;;
0:35;0:37;0:39;0:39;0:41;0:42;0:44;;;;;;;;;
