La Pompignane (Les Lacs);Salaison;Garigliano;Foyer des Aubes;Palombes;Saint-Maur;Françoise;Boulevard des Sports;Estragon;Pinsons;Ernest Renan;Les Aubes;Léon Blum
8:25;8:25;8:26;8:26;8:27;8:28;8:28;8:29;8:29;8:30;8:30;8:32;8:34
9:05;9:05;9:06;9:06;9:07;9:08;9:08;9:09;9:09;9:10;9:10;9:12;9:14
9:45;9:45;9:47;9:47;9:48;9:50;9:50;9:51;9:52;9:52;9:53;9:55;9:57
10:25;10:25;10:27;10:27;10:28;10:30;10:30;10:31;10:32;10:32;10:33;10:35;10:37
11:05;11:05;11:07;11:07;11:08;11:10;11:10;11:11;11:12;11:12;11:13;11:15;11:17
11:45;11:45;11:47;11:47;11:48;11:50;11:50;11:51;11:52;11:52;11:53;11:55;11:57
12:25;12:25;12:27;12:27;12:28;12:29;12:29;12:30;12:31;12:31;12:32;12:34;12:36
13:25;13:25;13:27;13:27;13:28;13:29;13:29;13:30;13:30;13:31;13:31;13:33;13:35
14:25;14:25;14:27;14:27;14:28;14:29;14:29;14:30;14:30;14:31;14:31;14:33;14:35
15:25;15:25;15:27;15:27;15:28;15:30;15:30;15:31;15:31;15:32;15:32;15:34;15:36
16:05;16:05;16:07;16:07;16:08;16:10;16:10;16:11;16:11;16:12;16:12;16:14;16:16
16:45;16:45;16:47;16:47;16:48;16:50;16:50;16:51;16:51;16:52;16:52;16:54;16:56
17:25;17:25;17:27;17:27;17:28;17:30;17:30;17:31;17:31;17:32;17:32;17:34;17:36
18:05;18:05;18:06;18:06;18:07;18:09;18:09;18:10;18:10;18:11;18:11;18:13;18:15
18:45;18:45;18:46;18:46;18:47;18:48;18:48;18:49;18:49;18:50;18:50;18:52;18:54
