Garosud (Jeune Parque);TaM;Demeter;Castelle;Passerines;Les Pins;Saint-Cléophas;Place de France;Millénaire;Vauguières;Parc de la Lironde;Lagoya;Pinville;Goélands;Semard;Pierre Laroque;Pastourelles;Salaison;La Pompignane (Les Lacs);Charles de Gaulle;Saint-Lazare;Maurice Chevalier;Roqueturière;Bengalis;Aiguelongue;Tourterelles;Sainte-Catherine;Major Flandre;Henri Dunant;Saint-Éloi;Fac de Pharmacie;Voie Domitienne;Cinsaults;Henri Marès;Louis Ravaz;Rièges;Jean Calvin;Belvédère;Tonnelles;Lycée Jules Ferry;Martellière;Sophie Germain;Ormeaux;Les Bouisses;Paul Fajon;Rouget de Lisle;Cheng-Du;Bugarel;Yves du Manoir;Le Grand M;Mas de Bagnères;Sabines;Jasse de Maurin;Patrice Lumumba;Ettore Bugatti;Garosud (Jeune Parque)
;;;;;;;6:30;6:31;6:31;6:32;6:33;6:34;6:35;6:36;6:36;6:36;6:38;6:38;6:40;6:42;6:42;6:43;6:44;6:45;6:46;6:46;6:47;6:49;6:52;6:53;6:53;6:54;6:55;6:55;6:56;6:57;6:57;6:59;7:01;7:03;7:03;7:04;7:06;7:07;7:07;7:09;7:10;7:11;7:12;7:14;7:16;7:18;7:19;7:19;7:21
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6:30;6:31;6:31;6:32;6:33;6:33;6:34;6:35;6:35;6:37;6:39;6:41;6:41;6:42;6:44;6:45;6:45;6:47;6:47;6:48;6:50;6:51;6:53;6:55;6:55;6:55;6:57
6:35;6:36;6:36;6:37;6:37;6:38;6:40;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;6:50;6:51;6:51;6:52;6:53;6:54;6:55;6:56;6:56;6:57;6:59;6:59;7:01;7:03;7:03;7:04;7:05;7:06;7:07;7:08;7:09;7:10;7:14;7:15;7:16;7:17;7:17;7:18;7:19;7:20;7:21;7:22;7:25;7:27;7:27;7:28;7:30;7:31;7:32;7:33;7:34;7:35;7:37;7:39;7:41;7:43;7:44;7:44;7:46
6:52;6:53;6:53;6:54;6:54;6:55;6:57;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;7:04;7:06;7:06;7:07;7:08;7:09;7:10;7:11;7:11;7:12;7:14;7:14;7:16;7:18;7:19;7:19;7:20;7:22;7:23;7:24;7:26;7:27;7:31;7:32;7:33;7:34;7:35;7:35;7:36;7:38;7:39;7:41;7:44;7:46;7:46;7:48;7:50;7:51;7:52;7:54;7:55;7:56;7:58;8:00;8:02;8:05;8:05;8:06;8:08
7:09;7:10;7:10;7:11;7:11;7:12;7:14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;7:17;7:19;7:19;7:21;7:22;7:22;7:23;7:25;7:25;7:26;7:28;7:28;7:30;7:32;7:33;7:34;7:35;7:37;7:38;7:40;7:41;7:43;7:47;7:48;7:49;7:51;7:52;7:52;7:53;7:55;7:56;7:58;8:02;8:04;8:04;8:06;8:08;8:09;8:10;8:12;8:13;8:14;8:16;8:18;8:20;8:23;8:23;8:24;8:26
7:23;7:24;7:24;7:25;7:25;7:26;7:28;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;7:29;7:31;7:31;7:33;7:34;7:34;7:35;7:37;7:37;7:38;7:40;7:41;7:43;7:46;7:47;7:48;7:49;7:51;7:53;7:54;7:56;7:58;8:02;8:04;8:05;8:06;8:07;8:08;8:09;8:11;8:12;8:14;8:18;8:20;8:20;8:22;8:24;8:25;8:26;8:28;8:29;8:30;8:32;8:34;8:36;8:39;8:39;8:40;8:42
