Pierre de Coubertin;Mas de Bellevue;Comté de Nice;Corse;Jacques Prévert;Place d'Italie;Carriéra;Pierre Cardenal;Comté de Toulouse;Raimbaud d'Orange;Hauts de Massane;Gémeaux;Saint-Paul;Halles de la Paillade;Oxford;Lycée Léonard de Vinci;Hôtel du Département
6:10;6:11;6:11;6:11;6:12;6:14;6:14;6:15;6:16;6:17;6:17;6:19;6:19;6:21;6:22;6:22;6:26
7:00;7:01;7:01;7:01;7:02;7:04;7:05;7:06;7:07;7:08;7:08;7:10;7:10;7:12;7:14;7:14;7:18
7:30;7:31;7:31;7:31;7:32;7:34;7:35;7:36;7:37;7:38;7:38;7:40;7:40;7:42;7:44;7:44;7:48
8:00;8:01;8:01;8:01;8:03;8:05;8:06;8:07;8:08;8:09;8:09;8:11;8:11;8:13;8:15;8:16;8:20
8:30;8:31;8:31;8:31;8:33;8:35;8:36;8:37;8:38;8:39;8:39;8:41;8:41;8:43;8:45;8:46;8:50
9:00;9:01;9:01;9:01;9:03;9:05;9:06;9:07;9:08;9:09;9:09;9:11;9:11;9:13;9:15;9:16;9:20
9:30;9:31;9:31;9:31;9:33;9:35;9:36;9:37;9:38;9:39;9:39;9:41;9:41;9:43;9:45;9:46;9:50
10:00;10:01;10:01;10:01;10:03;10:05;10:06;10:07;10:08;10:09;10:09;10:11;10:11;10:13;10:15;10:16;10:20
10:30;10:31;10:31;10:31;10:32;10:34;10:35;10:36;10:37;10:38;10:38;10:40;10:40;10:42;10:44;10:45;10:49
11:00;11:01;11:01;11:01;11:02;11:04;11:05;11:06;11:07;11:08;11:08;11:10;11:10;11:12;11:14;11:15;11:19
11:30;11:31;11:31;11:31;11:32;11:34;11:35;11:36;11:37;11:38;11:38;11:40;11:40;11:42;11:44;11:45;11:49
12:00;12:01;12:01;12:01;12:02;12:04;12:05;12:06;12:07;12:08;12:08;12:10;12:10;12:12;12:14;12:15;12:19
12:30;12:31;12:31;12:31;12:32;12:34;12:35;12:36;12:37;12:38;12:38;12:40;12:40;12:42;12:44;12:45;12:49
13:00;13:01;13:01;13:01;13:02;13:04;13:05;13:06;13:07;13:08;13:08;13:10;13:10;13:12;13:14;13:15;13:19
13:30;13:31;13:31;13:31;13:32;13:34;13:35;13:36;13:37;13:38;13:38;13:40;13:40;13:42;13:44;13:45;13:49
14:00;14:01;14:01;14:01;14:02;14:04;14:05;14:06;14:07;14:08;14:08;14:10;14:10;14:12;14:14;14:15;14:19
14:30;14:31;14:31;14:31;14:32;14:34;14:35;14:36;14:37;14:38;14:38;14:40;14:40;14:42;14:44;14:45;14:49
15:00;15:01;15:01;15:01;15:03;15:05;15:06;15:07;15:08;15:09;15:09;15:11;15:11;15:13;15:15;15:16;15:20
15:30;15:31;15:31;15:31;15:33;15:35;15:36;15:37;15:38;15:39;15:39;15:41;15:41;15:43;15:45;15:46;15:50
16:00;16:01;16:01;16:01;16:03;16:05;16:06;16:07;16:08;16:09;16:09;16:11;16:11;16:13;16:15;16:16;16:20
16:30;16:31;16:31;16:31;16:33;16:35;16:36;16:37;16:38;16:39;16:39;16:41;16:41;16:43;16:45;16:46;16:50
17:00;17:01;17:01;17:01;17:03;17:05;17:06;17:07;17:08;17:09;17:09;17:11;17:11;17:13;17:15;17:16;17:20
17:30;17:31;17:31;17:31;17:33;17:35;17:36;17:37;17:38;17:39;17:39;17:41;17:41;17:43;17:45;17:46;17:50
18:00;18:01;18:01;18:01;18:03;18:05;18:06;18:07;18:08;18:09;18:09;18:11;18:11;18:13;18:15;18:16;18:20
18:30;18:31;18:31;18:31;18:33;18:35;18:36;18:37;18:38;18:39;18:39;18:41;18:41;18:43;18:45;18:46;18:50
19:00;19:01;19:01;19:01;19:02;19:04;19:05;19:06;19:07;19:08;19:08;19:10;19:10;19:12;19:14;19:15;19:19
19:30;19:31;19:31;19:31;19:32;19:34;19:35;19:36;19:37;19:38;19:38;19:40;19:40;19:42;19:44;19:45;19:49
20:05;20:06;20:06;20:06;20:07;20:09;20:10;20:11;20:12;20:13;20:13;20:15;20:15;20:17;20:18;20:18;20:22
20:35;20:36;20:36;20:36;20:37;20:39;20:39;20:40;20:41;20:42;20:42;20:44;20:44;20:46;20:47;20:47;20:51
