Pierre de Coubertin;Mas de Bellevue;Comté de Nice;Corse;Jacques Prévert;Place d'Italie;Carriéra;Pierre Cardenal;Comté de Toulouse;Raimbaud d'Orange;Hauts de Massane;Gémeaux;Saint-Paul;Halles de la Paillade;Oxford;Lycée Léonard de Vinci;Hôtel du Département
5:08;5:09;5:09;5:09;5:10;5:12;5:12;5:13;5:14;5:15;5:15;5:17;5:17;5:19;5:20;5:20;5:23
5:35;5:36;5:36;5:36;5:37;5:39;5:40;5:41;5:42;5:43;5:43;5:45;5:45;5:47;5:49;5:49;5:52
5:55;5:56;5:56;5:56;5:57;5:59;6:00;6:01;6:02;6:03;6:03;6:05;6:05;6:07;6:09;6:09;6:13
6:08;6:10;6:10;6:10;6:11;6:13;6:14;6:15;6:16;6:17;6:17;6:19;6:19;6:21;6:23;6:23;6:27
6:20;6:22;6:22;6:22;6:23;6:25;6:26;6:27;6:28;6:29;6:29;6:31;6:31;6:33;6:35;6:35;6:39
6:30;6:32;6:32;6:32;6:33;6:35;6:36;6:37;6:38;6:39;6:39;6:41;6:41;6:43;6:45;6:45;6:49
6:40;6:42;6:42;6:42;6:44;6:46;6:47;6:48;6:49;6:50;6:50;6:52;6:52;6:54;6:56;6:56;7:00
6:50;6:52;6:52;6:52;6:54;6:56;6:57;6:58;6:59;7:00;7:00;7:02;7:02;7:05;7:07;7:08;7:12
6:59;7:01;7:01;7:02;7:03;7:05;7:06;7:08;7:08;7:10;7:10;7:12;7:12;7:15;7:17;7:18;7:22
7:08;7:10;7:10;7:11;7:12;7:14;7:15;7:17;7:17;7:19;7:19;7:21;7:21;7:24;7:26;7:27;7:32
7:16;7:18;7:18;7:19;7:20;7:22;7:23;7:25;7:25;7:27;7:27;7:29;7:29;7:32;7:34;7:35;7:40
7:25;7:27;7:27;7:28;7:29;7:31;7:32;7:34;7:34;7:36;7:36;7:39;7:39;7:42;7:44;7:45;7:50
7:35;7:37;7:37;7:38;7:39;7:41;7:42;7:44;7:44;7:46;7:46;7:49;7:49;7:52;7:54;7:55;8:00
7:45;7:47;7:47;7:48;7:49;7:51;7:52;7:54;7:54;7:56;7:56;7:59;7:59;8:02;8:04;8:05;8:10
7:55;7:57;7:57;7:58;7:59;8:01;8:02;8:04;8:04;8:06;8:06;8:09;8:09;8:12;8:14;8:15;8:20
8:05;8:07;8:07;8:08;8:09;8:11;8:12;8:14;8:14;8:16;8:16;8:19;8:19;8:22;8:24;8:25;8:30
8:15;8:17;8:17;8:18;8:19;8:21;8:22;8:24;8:24;8:26;8:26;8:29;8:29;8:32;8:34;8:35;8:40
8:25;8:27;8:27;8:28;8:29;8:31;8:32;8:34;8:34;8:36;8:36;8:39;8:39;8:42;8:44;8:45;8:50
8:35;8:37;8:37;8:38;8:39;8:41;8:42;8:44;8:44;8:46;8:46;8:49;8:49;8:52;8:54;8:55;8:59
8:45;8:47;8:47;8:48;8:49;8:51;8:52;8:54;8:54;8:56;8:56;8:59;8:59;9:02;9:04;9:05;9:09
8:55;8:57;8:57;8:58;8:59;9:01;9:02;9:04;9:04;9:06;9:06;9:09;9:09;9:12;9:14;9:15;9:19
9:05;9:07;9:07;9:08;9:09;9:11;9:12;9:14;9:14;9:16;9:16;9:19;9:19;9:22;9:24;9:25;9:29
9:15;9:17;9:17;9:18;9:19;9:21;9:22;9:24;9:24;9:26;9:26;9:29;9:29;9:32;9:34;9:35;9:39
9:25;9:27;9:27;9:28;9:29;9:31;9:32;9:34;9:34;9:36;9:36;9:38;9:38;9:41;9:43;9:44;9:48
9:35;9:37;9:37;9:37;9:39;9:41;9:42;9:43;9:44;9:45;9:45;9:47;9:47;9:50;9:52;9:53;9:57
9:45;9:47;9:47;9:47;9:49;9:51;9:52;9:53;9:54;9:55;9:55;9:57;9:57;10:00;10:02;10:03;10:07
9:55;9:57;9:57;9:57;9:59;10:01;10:02;10:03;10:04;10:05;10:05;10:07;10:07;10:10;10:12;10:13;10:17
10:05;10:07;10:07;10:07;10:09;10:11;10:12;10:13;10:14;10:15;10:15;10:17;10:17;10:20;10:22;10:23;10:27
10:15;10:17;10:17;10:17;10:19;10:21;10:22;10:23;10:24;10:25;10:25;10:27;10:27;10:30;10:32;10:33;10:37
10:25;10:27;10:27;10:27;10:29;10:31;10:32;10:33;10:34;10:35;10:35;10:37;10:37;10:40;10:42;10:43;10:47
10:35;10:37;10:37;10:37;10:39;10:41;10:42;10:43;10:44;10:45;10:45;10:47;10:47;10:50;10:52;10:53;10:57
10:45;10:47;10:47;10:47;10:49;10:51;10:52;10:53;10:54;10:55;10:55;10:57;10:57;11:00;11:02;11:03;11:07
10:55;10:57;10:57;10:57;10:59;11:01;11:02;11:03;11:04;11:05;11:05;11:07;11:07;11:10;11:12;11:13;11:17
11:05;11:07;11:07;11:07;11:09;11:11;11:12;11:13;11:14;11:15;11:15;11:17;11:17;11:20;11:22;11:23;11:27
11:15;11:17;11:17;11:17;11:19;11:21;11:22;11:23;11:24;11:25;11:25;11:27;11:27;11:30;11:32;11:33;11:37
11:25;11:27;11:27;11:27;11:29;11:31;11:32;11:33;11:34;11:35;11:35;11:37;11:37;11:40;11:42;11:43;11:47
11:35;11:37;11:37;11:37;11:39;11:41;11:42;11:43;11:44;11:45;11:45;11:47;11:47;11:50;11:52;11:53;11:57
11:45;11:47;11:47;11:47;11:49;11:51;11:52;11:53;11:54;11:55;11:55;11:57;11:57;12:00;12:02;12:03;12:07
11:55;11:57;11:57;11:57;11:59;12:01;12:02;12:03;12:04;12:05;12:05;12:07;12:07;12:10;12:12;12:13;12:17
12:03;12:05;12:05;12:05;12:07;12:09;12:10;12:11;12:12;12:13;12:13;12:15;12:15;12:18;12:20;12:21;12:25
12:11;12:13;12:13;12:13;12:15;12:17;12:18;12:19;12:20;12:21;12:21;12:23;12:23;12:26;12:28;12:29;12:33
12:21;12:23;12:23;12:23;12:25;12:27;12:28;12:29;12:30;12:31;12:31;12:33;12:33;12:36;12:38;12:39;12:43
12:33;12:35;12:35;12:35;12:37;12:39;12:40;12:41;12:42;12:43;12:43;12:45;12:45;12:48;12:50;12:51;12:55
12:45;12:47;12:47;12:47;12:49;12:51;12:52;12:53;12:54;12:55;12:55;12:57;12:57;13:00;13:02;13:03;13:07
12:57;12:59;12:59;12:59;13:01;13:03;13:04;13:05;13:06;13:07;13:07;13:09;13:09;13:12;13:14;13:15;13:19
13:09;13:11;13:11;13:11;13:13;13:15;13:16;13:17;13:18;13:19;13:19;13:21;13:21;13:24;13:26;13:27;13:31
13:21;13:23;13:23;13:23;13:25;13:27;13:28;13:29;13:30;13:31;13:31;13:33;13:33;13:36;13:38;13:39;13:43
13:33;13:35;13:35;13:35;13:37;13:39;13:40;13:41;13:42;13:43;13:43;13:45;13:45;13:48;13:50;13:51;13:55
13:45;13:47;13:47;13:47;13:49;13:51;13:52;13:53;13:54;13:55;13:55;13:57;13:57;14:00;14:02;14:03;14:07
13:55;13:57;13:57;13:57;13:59;14:01;14:02;14:03;14:04;14:05;14:05;14:07;14:07;14:10;14:12;14:13;14:17
14:05;14:07;14:07;14:07;14:09;14:11;14:12;14:13;14:14;14:15;14:15;14:17;14:17;14:20;14:22;14:23;14:27
14:15;14:17;14:17;14:17;14:19;14:21;14:22;14:23;14:24;14:25;14:25;14:27;14:27;14:30;14:32;14:33;14:37
14:25;14:27;14:27;14:27;14:29;14:31;14:32;14:33;14:34;14:35;14:35;14:37;14:37;14:40;14:42;14:43;14:47
14:35;14:37;14:37;14:37;14:39;14:41;14:42;14:43;14:44;14:45;14:45;14:47;14:47;14:50;14:52;14:53;14:57
14:45;14:47;14:47;14:47;14:49;14:51;14:52;14:53;14:54;14:55;14:55;14:57;14:57;15:00;15:02;15:03;15:07
14:55;14:57;14:57;14:57;14:59;15:01;15:02;15:03;15:04;15:05;15:05;15:08;15:08;15:11;15:13;15:14;15:18
15:05;15:07;15:07;15:07;15:09;15:11;15:12;15:13;15:14;15:15;15:15;15:18;15:18;15:21;15:23;15:24;15:28
15:15;15:17;15:17;15:17;15:19;15:21;15:22;15:23;15:24;15:25;15:25;15:28;15:28;15:31;15:33;15:34;15:38
15:25;15:27;15:27;15:27;15:29;15:31;15:32;15:33;15:34;15:35;15:35;15:38;15:38;15:41;15:43;15:44;15:48
15:35;15:37;15:37;15:37;15:39;15:41;15:42;15:43;15:44;15:45;15:45;15:48;15:48;15:51;15:53;15:54;15:59
15:45;15:47;15:47;15:47;15:49;15:51;15:52;15:53;15:54;15:55;15:55;15:58;15:58;16:01;16:03;16:04;16:09
15:55;15:57;15:57;15:57;15:59;16:01;16:02;16:03;16:04;16:05;16:05;16:08;16:08;16:11;16:13;16:14;16:20
16:05;16:07;16:07;16:07;16:09;16:11;16:12;16:13;16:14;16:15;16:15;16:18;16:18;16:21;16:23;16:24;16:30
16:15;16:17;16:17;16:17;16:19;16:21;16:22;16:23;16:24;16:25;16:25;16:28;16:28;16:31;16:33;16:34;16:40
16:25;16:27;16:27;16:27;16:29;16:31;16:32;16:33;16:34;16:35;16:35;16:38;16:39;16:42;16:44;16:45;16:51
16:35;16:37;16:37;16:37;16:39;16:41;16:42;16:43;16:44;16:45;16:45;16:48;16:49;16:52;16:54;16:55;17:01
16:45;16:47;16:47;16:47;16:49;16:51;16:52;16:53;16:54;16:55;16:55;16:58;16:59;17:02;17:04;17:05;17:11
16:56;16:58;16:58;16:58;17:00;17:02;17:03;17:04;17:05;17:06;17:06;17:09;17:10;17:13;17:15;17:16;17:22
17:07;17:09;17:09;17:09;17:11;17:13;17:14;17:15;17:16;17:17;17:17;17:20;17:21;17:24;17:26;17:27;17:33
17:18;17:20;17:20;17:20;17:22;17:24;17:25;17:26;17:27;17:28;17:28;17:31;17:32;17:35;17:37;17:38;17:44
17:29;17:31;17:31;17:31;17:33;17:35;17:36;17:37;17:38;17:39;17:39;17:42;17:42;17:45;17:47;17:48;17:54
17:40;17:42;17:42;17:42;17:44;17:46;17:47;17:48;17:49;17:50;17:50;17:53;17:53;17:56;17:58;17:59;18:05
17:50;17:52;17:52;17:52;17:54;17:56;17:57;17:58;17:59;18:00;18:00;18:03;18:03;18:06;18:08;18:09;18:15
18:00;18:02;18:02;18:02;18:04;18:06;18:07;18:08;18:09;18:10;18:10;18:13;18:13;18:16;18:18;18:19;18:24
