Pierre de Coubertin;Mas de Bellevue;Comté de Nice;Corse;Jacques Prévert;Place d'Italie;Carriéra;Pierre Cardenal;Comté de Toulouse;Raimbaud d'Orange;Hauts de Massane;Gémeaux;Saint-Paul;Halles de la Paillade;Oxford;Lycée Léonard de Vinci;Hôtel du Département
5:08;5:09;5:09;5:09;5:10;5:12;5:12;5:13;5:14;5:15;5:15;5:17;5:17;5:19;5:20;5:20;5:23
5:40;5:41;5:41;5:41;5:42;5:44;5:44;5:45;5:46;5:47;5:47;5:49;5:49;5:51;5:52;5:52;5:55
6:00;6:01;6:01;6:01;6:02;6:04;6:04;6:05;6:06;6:07;6:07;6:09;6:09;6:11;6:12;6:12;6:15
6:20;6:21;6:21;6:21;6:22;6:24;6:24;6:25;6:26;6:27;6:27;6:29;6:29;6:31;6:32;6:32;6:36
6:35;6:36;6:36;6:36;6:37;6:39;6:39;6:40;6:41;6:42;6:42;6:44;6:44;6:46;6:47;6:47;6:51
6:50;6:52;6:52;6:52;6:53;6:55;6:55;6:56;6:57;6:58;6:58;7:00;7:00;7:02;7:03;7:03;7:07
7:05;7:07;7:07;7:07;7:08;7:10;7:11;7:12;7:13;7:14;7:14;7:16;7:16;7:18;7:19;7:19;7:23
7:20;7:22;7:22;7:22;7:23;7:25;7:26;7:27;7:28;7:29;7:29;7:31;7:31;7:33;7:34;7:34;7:38
7:35;7:37;7:37;7:37;7:38;7:40;7:41;7:42;7:43;7:44;7:44;7:46;7:46;7:48;7:49;7:49;7:53
7:50;7:52;7:52;7:52;7:53;7:55;7:56;7:57;7:58;7:59;7:59;8:01;8:01;8:03;8:04;8:05;8:09
8:05;8:07;8:07;8:07;8:08;8:10;8:11;8:12;8:13;8:14;8:14;8:16;8:16;8:18;8:20;8:21;8:25
8:20;8:22;8:22;8:22;8:24;8:26;8:27;8:28;8:29;8:30;8:30;8:32;8:32;8:34;8:36;8:37;8:41
8:35;8:37;8:37;8:37;8:39;8:41;8:42;8:43;8:44;8:45;8:45;8:47;8:47;8:49;8:51;8:52;8:56
8:50;8:52;8:52;8:52;8:54;8:56;8:57;8:58;8:59;9:00;9:00;9:02;9:02;9:04;9:06;9:07;9:11
9:05;9:07;9:07;9:07;9:09;9:11;9:12;9:13;9:14;9:15;9:15;9:17;9:17;9:19;9:21;9:22;9:26
9:20;9:22;9:22;9:22;9:24;9:26;9:27;9:28;9:29;9:30;9:30;9:32;9:32;9:34;9:36;9:37;9:41
9:35;9:37;9:37;9:37;9:39;9:41;9:42;9:43;9:44;9:45;9:45;9:47;9:47;9:49;9:51;9:52;9:56
9:50;9:52;9:52;9:52;9:54;9:56;9:57;9:58;9:59;10:00;10:00;10:02;10:02;10:04;10:06;10:07;10:11
10:05;10:07;10:07;10:07;10:09;10:11;10:12;10:13;10:14;10:15;10:15;10:17;10:17;10:19;10:21;10:22;10:26
10:20;10:22;10:22;10:22;10:24;10:26;10:27;10:28;10:29;10:30;10:30;10:32;10:32;10:34;10:36;10:37;10:41
10:35;10:37;10:37;10:37;10:39;10:41;10:42;10:43;10:44;10:45;10:45;10:47;10:47;10:49;10:51;10:52;10:56
10:50;10:52;10:52;10:52;10:54;10:56;10:57;10:58;10:59;11:00;11:00;11:02;11:02;11:04;11:06;11:07;11:11
11:05;11:07;11:07;11:07;11:09;11:11;11:12;11:13;11:14;11:15;11:15;11:17;11:17;11:20;11:22;11:23;11:27
11:20;11:22;11:22;11:22;11:24;11:26;11:27;11:28;11:29;11:30;11:30;11:32;11:32;11:35;11:37;11:38;11:42
