Pierre de Coubertin;Mas de Bellevue;Comté de Nice;Corse;Jacques Prévert;Place d'Italie;Carriéra;Pierre Cardenal;Comté de Toulouse;Raimbaud d'Orange;Hauts de Massane;Gémeaux;Saint-Paul;Halles de la Paillade;Oxford;Lycée Léonard de Vinci;Hôtel du Département
5:08;5:09;5:09;5:09;5:10;5:12;5:12;5:13;5:14;5:15;5:15;5:17;5:17;5:19;5:20;5:20;5:23
5:35;5:36;5:36;5:36;5:37;5:39;5:40;5:41;5:42;5:43;5:43;5:45;5:45;5:47;5:49;5:49;5:52
6:00;6:01;6:01;6:01;6:02;6:04;6:05;6:06;6:07;6:08;6:08;6:10;6:10;6:12;6:14;6:14;6:18
6:20;6:21;6:21;6:21;6:22;6:24;6:25;6:26;6:27;6:28;6:28;6:30;6:30;6:32;6:34;6:34;6:38
6:35;6:37;6:37;6:37;6:38;6:40;6:41;6:42;6:43;6:44;6:44;6:46;6:46;6:48;6:50;6:50;6:54
6:50;6:52;6:52;6:52;6:54;6:56;6:57;6:58;6:59;7:00;7:00;7:02;7:02;7:04;7:06;7:07;7:11
7:02;7:04;7:04;7:04;7:06;7:08;7:09;7:10;7:11;7:12;7:12;7:14;7:14;7:17;7:19;7:20;7:25
7:14;7:16;7:16;7:17;7:18;7:20;7:21;7:23;7:23;7:25;7:25;7:27;7:27;7:30;7:32;7:33;7:38
7:26;7:28;7:28;7:29;7:30;7:32;7:33;7:35;7:35;7:37;7:37;7:39;7:39;7:42;7:44;7:45;7:50
7:38;7:40;7:40;7:41;7:42;7:44;7:45;7:47;7:47;7:49;7:49;7:51;7:51;7:54;7:56;7:57;8:02
7:50;7:52;7:52;7:53;7:54;7:56;7:57;7:59;7:59;8:01;8:01;8:03;8:03;8:06;8:08;8:09;8:14
8:02;8:04;8:04;8:05;8:06;8:08;8:09;8:11;8:11;8:13;8:13;8:15;8:15;8:18;8:20;8:21;8:26
8:14;8:16;8:16;8:17;8:18;8:20;8:21;8:23;8:23;8:25;8:25;8:27;8:27;8:30;8:32;8:33;8:38
8:26;8:28;8:28;8:29;8:30;8:32;8:33;8:35;8:35;8:37;8:37;8:39;8:39;8:42;8:44;8:45;8:50
8:38;8:40;8:40;8:41;8:42;8:44;8:45;8:47;8:47;8:49;8:49;8:51;8:51;8:54;8:56;8:57;9:01
8:50;8:52;8:52;8:53;8:54;8:56;8:57;8:59;8:59;9:01;9:01;9:03;9:03;9:06;9:08;9:09;9:13
9:02;9:04;9:04;9:05;9:06;9:08;9:09;9:11;9:11;9:13;9:13;9:15;9:15;9:18;9:20;9:21;9:25
9:14;9:16;9:16;9:17;9:18;9:20;9:21;9:23;9:23;9:25;9:25;9:27;9:27;9:30;9:32;9:33;9:37
9:26;9:28;9:28;9:29;9:30;9:32;9:33;9:35;9:35;9:37;9:37;9:39;9:39;9:42;9:44;9:45;9:49
9:38;9:40;9:40;9:40;9:42;9:44;9:45;9:46;9:47;9:48;9:48;9:50;9:50;9:53;9:55;9:56;10:00
9:50;9:52;9:52;9:52;9:54;9:56;9:57;9:58;9:59;10:00;10:00;10:02;10:02;10:05;10:07;10:08;10:12
10:02;10:04;10:04;10:04;10:06;10:08;10:09;10:10;10:11;10:12;10:12;10:14;10:14;10:17;10:19;10:20;10:24
10:14;10:16;10:16;10:16;10:18;10:20;10:21;10:22;10:23;10:24;10:24;10:26;10:26;10:29;10:31;10:32;10:36
10:26;10:28;10:28;10:28;10:30;10:32;10:33;10:34;10:35;10:36;10:36;10:38;10:38;10:41;10:43;10:44;10:48
10:38;10:40;10:40;10:40;10:42;10:44;10:45;10:46;10:47;10:48;10:48;10:50;10:50;10:53;10:55;10:56;11:00
10:50;10:52;10:52;10:52;10:54;10:56;10:57;10:58;10:59;11:00;11:00;11:02;11:02;11:05;11:07;11:08;11:12
11:02;11:04;11:04;11:04;11:06;11:08;11:09;11:10;11:11;11:12;11:12;11:14;11:14;11:17;11:19;11:20;11:24
11:14;11:16;11:16;11:16;11:18;11:20;11:21;11:22;11:23;11:24;11:24;11:26;11:26;11:29;11:31;11:32;11:36
11:26;11:28;11:28;11:28;11:30;11:32;11:33;11:34;11:35;11:36;11:36;11:38;11:38;11:41;11:43;11:44;11:48
11:38;11:40;11:40;11:40;11:42;11:44;11:45;11:46;11:47;11:48;11:48;11:50;11:50;11:53;11:55;11:56;12:00
11:50;11:52;11:52;11:52;11:54;11:56;11:57;11:58;11:59;12:00;12:00;12:02;12:02;12:05;12:07;12:08;12:12
12:02;12:04;12:04;12:04;12:06;12:08;12:09;12:10;12:11;12:12;12:12;12:14;12:14;12:17;12:19;12:20;12:24
12:14;12:16;12:16;12:16;12:18;12:20;12:21;12:22;12:23;12:24;12:24;12:26;12:26;12:29;12:31;12:32;12:36
12:26;12:28;12:28;12:28;12:30;12:32;12:33;12:34;12:35;12:36;12:36;12:38;12:38;12:41;12:43;12:44;12:48
12:38;12:40;12:40;12:40;12:42;12:44;12:45;12:46;12:47;12:48;12:48;12:50;12:50;12:53;12:55;12:56;13:00
12:50;12:52;12:52;12:52;12:54;12:56;12:57;12:58;12:59;13:00;13:00;13:02;13:02;13:05;13:07;13:08;13:12
13:02;13:04;13:04;13:04;13:06;13:08;13:09;13:10;13:11;13:12;13:12;13:14;13:14;13:17;13:19;13:20;13:24
13:14;13:16;13:16;13:16;13:18;13:20;13:21;13:22;13:23;13:24;13:24;13:26;13:26;13:29;13:31;13:32;13:36
13:26;13:28;13:28;13:28;13:30;13:32;13:33;13:34;13:35;13:36;13:36;13:38;13:38;13:41;13:43;13:44;13:48
13:38;13:40;13:40;13:40;13:42;13:44;13:45;13:46;13:47;13:48;13:48;13:50;13:50;13:53;13:55;13:56;14:00
13:50;13:52;13:52;13:52;13:54;13:56;13:57;13:58;13:59;14:00;14:00;14:02;14:02;14:05;14:07;14:08;14:12
14:02;14:04;14:04;14:04;14:06;14:08;14:09;14:10;14:11;14:12;14:12;14:14;14:14;14:17;14:19;14:20;14:24
14:14;14:16;14:16;14:16;14:18;14:20;14:21;14:22;14:23;14:24;14:24;14:26;14:26;14:29;14:31;14:32;14:36
14:26;14:28;14:28;14:28;14:30;14:32;14:33;14:34;14:35;14:36;14:36;14:38;14:38;14:41;14:43;14:44;14:48
14:38;14:40;14:40;14:40;14:42;14:44;14:45;14:46;14:47;14:48;14:48;14:50;14:50;14:53;14:55;14:56;15:00
14:50;14:52;14:52;14:52;14:54;14:56;14:57;14:58;14:59;15:00;15:00;15:02;15:02;15:05;15:07;15:08;15:12
15:02;15:04;15:04;15:04;15:06;15:08;15:09;15:10;15:11;15:12;15:12;15:14;15:14;15:17;15:19;15:20;15:24
15:14;15:16;15:16;15:16;15:18;15:20;15:21;15:22;15:23;15:24;15:24;15:26;15:26;15:29;15:31;15:32;15:36
15:26;15:28;15:28;15:28;15:30;15:32;15:33;15:34;15:35;15:36;15:36;15:38;15:38;15:41;15:43;15:44;15:48
15:38;15:40;15:40;15:40;15:42;15:44;15:45;15:46;15:47;15:48;15:48;15:50;15:50;15:53;15:55;15:56;16:01
15:50;15:52;15:52;15:52;15:54;15:56;15:57;15:58;15:59;16:00;16:00;16:02;16:02;16:05;16:07;16:08;16:13
16:02;16:04;16:04;16:04;16:06;16:08;16:09;16:10;16:11;16:12;16:12;16:14;16:14;16:17;16:19;16:20;16:26
16:14;16:16;16:16;16:16;16:18;16:20;16:21;16:22;16:23;16:24;16:24;16:26;16:26;16:29;16:31;16:32;16:38
16:26;16:28;16:28;16:28;16:30;16:32;16:33;16:34;16:35;16:36;16:36;16:38;16:38;16:41;16:43;16:44;16:50
16:38;16:40;16:40;16:40;16:42;16:44;16:45;16:46;16:47;16:48;16:48;16:50;16:50;16:53;16:55;16:56;17:02
16:50;16:52;16:52;16:52;16:54;16:56;16:57;16:58;16:59;17:00;17:00;17:02;17:02;17:05;17:07;17:08;17:14
17:02;17:04;17:04;17:04;17:06;17:08;17:09;17:10;17:11;17:12;17:12;17:14;17:14;17:17;17:19;17:20;17:26
17:14;17:16;17:16;17:16;17:18;17:20;17:21;17:22;17:23;17:24;17:24;17:26;17:26;17:29;17:31;17:32;17:38
17:26;17:28;17:28;17:28;17:30;17:32;17:33;17:34;17:35;17:36;17:36;17:38;17:38;17:41;17:43;17:44;17:50
17:38;17:40;17:40;17:40;17:42;17:44;17:45;17:46;17:47;17:48;17:48;17:50;17:50;17:53;17:55;17:56;18:02
17:50;17:52;17:52;17:52;17:54;17:56;17:57;17:58;17:59;18:00;18:00;18:02;18:02;18:05;18:07;18:08;18:14
18:02;18:04;18:04;18:04;18:06;18:08;18:09;18:10;18:11;18:12;18:12;18:14;18:14;18:17;18:19;18:20;18:25
18:14;18:16;18:16;18:16;18:18;18:20;18:21;18:22;18:23;18:24;18:24;18:26;18:26;18:29;18:31;18:32;18:37
18:26;18:28;18:28;18:28;18:30;18:32;18:33;18:34;18:35;18:36;18:36;18:38;18:38;18:41;18:43;18:44;18:48
18:38;18:40;18:40;18:40;18:42;18:44;18:45;18:46;18:47;18:48;18:48;18:50;18:50;18:53;18:55;18:56;19:00
18:50;18:52;18:52;18:52;18:54;18:56;18:57;18:58;18:59;19:00;19:00;19:02;19:02;19:04;19:06;19:07;19:11
19:02;19:04;19:04;19:04;19:05;19:07;19:08;19:09;19:10;19:11;19:11;19:13;19:13;19:15;19:17;19:18;19:22
19:14;19:16;19:16;19:16;19:17;19:19;19:20;19:21;19:22;19:23;19:23;19:25;19:25;19:27;19:29;19:30;19:34
19:26;19:27;19:27;19:27;19:28;19:30;19:31;19:32;19:33;19:34;19:34;19:36;19:36;19:38;19:40;19:41;19:45
19:40;19:41;19:41;19:41;19:42;19:44;19:45;19:46;19:47;19:48;19:48;19:50;19:50;19:52;19:53;19:54;19:58
19:55;19:56;19:56;19:56;19:57;19:59;20:00;20:01;20:02;20:03;20:03;20:05;20:05;20:07;20:08;20:08;20:12
20:15;20:16;20:16;20:16;20:17;20:19;20:19;20:20;20:21;20:22;20:22;20:24;20:24;20:26;20:27;20:27;20:31
20:35;20:36;20:36;20:36;20:37;20:39;20:39;20:40;20:41;20:42;20:42;20:44;20:44;20:46;20:47;20:47;20:51
