Hôtel du Département;Parc Malbosc;Lycée Léonard de Vinci;Oxford;Halles de la Paillade;Uppsala;Gémeaux;Hauts de Massane;Raimbaud d'Orange;Comté de Toulouse;Pierre Cardenal;Carriéra;Place d'Italie;Jacques Prévert;Corse;Comté de Nice;Mas de Bellevue;Pierre de Coubertin
6:35;6:36;6:38;6:39;6:40;6:42;6:42;6:43;6:43;6:44;6:44;6:45;6:45;6:47;6:48;6:48;6:49;6:49
7:30;7:31;7:34;7:35;7:36;7:39;7:39;7:40;7:40;7:41;7:41;7:42;7:42;7:44;7:45;7:45;7:46;7:46
8:00;8:01;8:04;8:05;8:06;8:09;8:09;8:10;8:10;8:11;8:11;8:12;8:13;8:14;8:16;8:16;8:17;8:17
8:30;8:31;8:34;8:35;8:36;8:39;8:39;8:40;8:40;8:41;8:41;8:42;8:43;8:44;8:46;8:46;8:47;8:47
9:00;9:01;9:04;9:05;9:06;9:09;9:09;9:10;9:10;9:11;9:11;9:12;9:13;9:14;9:16;9:16;9:17;9:17
9:30;9:31;9:34;9:35;9:36;9:39;9:39;9:41;9:41;9:42;9:43;9:44;9:44;9:46;9:48;9:48;9:49;9:49
10:00;10:01;10:04;10:05;10:06;10:09;10:09;10:11;10:11;10:12;10:13;10:14;10:14;10:16;10:18;10:18;10:19;10:19
10:30;10:31;10:34;10:35;10:36;10:39;10:39;10:41;10:41;10:42;10:43;10:44;10:44;10:46;10:48;10:48;10:49;10:49
11:00;11:01;11:04;11:05;11:06;11:09;11:09;11:11;11:12;11:12;11:13;11:14;11:15;11:17;11:19;11:19;11:20;11:20
11:30;11:31;11:34;11:35;11:36;11:39;11:39;11:41;11:42;11:42;11:43;11:44;11:45;11:47;11:49;11:49;11:50;11:50
12:00;12:01;12:04;12:05;12:06;12:09;12:09;12:11;12:12;12:12;12:13;12:14;12:15;12:17;12:19;12:19;12:20;12:20
12:30;12:31;12:34;12:35;12:36;12:39;12:39;12:41;12:41;12:42;12:43;12:44;12:44;12:46;12:48;12:48;12:49;12:49
13:00;13:01;13:04;13:05;13:06;13:09;13:09;13:11;13:11;13:12;13:13;13:14;13:14;13:16;13:18;13:18;13:19;13:19
13:30;13:31;13:34;13:35;13:36;13:39;13:39;13:41;13:41;13:42;13:43;13:44;13:44;13:46;13:48;13:48;13:49;13:49
14:00;14:01;14:04;14:05;14:06;14:09;14:09;14:11;14:11;14:12;14:13;14:14;14:14;14:16;14:18;14:18;14:19;14:19
14:30;14:31;14:34;14:35;14:36;14:39;14:39;14:41;14:41;14:42;14:43;14:44;14:44;14:46;14:48;14:48;14:49;14:49
15:00;15:01;15:04;15:05;15:06;15:09;15:09;15:11;15:11;15:12;15:13;15:14;15:14;15:16;15:18;15:18;15:19;15:19
15:30;15:31;15:34;15:35;15:36;15:39;15:39;15:41;15:41;15:42;15:43;15:44;15:44;15:46;15:48;15:48;15:49;15:49
16:00;16:01;16:04;16:05;16:06;16:09;16:09;16:11;16:11;16:12;16:13;16:14;16:14;16:16;16:18;16:18;16:19;16:19
16:30;16:31;16:34;16:35;16:36;16:39;16:39;16:41;16:42;16:42;16:43;16:44;16:45;16:47;16:49;16:49;16:50;16:50
17:00;17:01;17:04;17:05;17:06;17:09;17:09;17:11;17:12;17:12;17:13;17:14;17:15;17:17;17:19;17:19;17:20;17:20
17:30;17:31;17:34;17:35;17:36;17:39;17:39;17:41;17:42;17:42;17:43;17:44;17:45;17:47;17:49;17:49;17:50;17:50
18:00;18:01;18:04;18:05;18:06;18:09;18:09;18:11;18:12;18:12;18:13;18:14;18:15;18:17;18:19;18:19;18:20;18:20
18:30;18:31;18:34;18:35;18:36;18:39;18:39;18:41;18:42;18:42;18:43;18:44;18:45;18:47;18:49;18:49;18:50;18:50
19:00;19:01;19:04;19:05;19:06;19:09;19:09;19:11;19:11;19:12;19:13;19:14;19:14;19:16;19:18;19:18;19:19;19:19
19:30;19:31;19:34;19:35;19:36;19:39;19:39;19:41;19:41;19:42;19:43;19:44;19:44;19:46;19:48;19:48;19:49;19:49
20:00;20:01;20:04;20:05;20:06;20:09;20:09;20:11;20:11;20:12;20:12;20:13;20:14;20:15;20:17;20:17;20:18;20:18
20:30;20:31;20:33;20:34;20:35;20:37;20:37;20:40;20:40;20:41;20:41;20:42;20:43;20:44;20:46;20:46;20:47;20:47
21:00;21:01;21:03;21:04;21:05;21:07;21:07;21:10;21:10;21:11;21:11;21:12;21:13;21:14;21:16;21:16;21:17;21:17
