Hôtel du Département;Parc Malbosc;Lycée Léonard de Vinci;Oxford;Halles de la Paillade;Uppsala;Gémeaux;Hauts de Massane;Raimbaud d'Orange;Comté de Toulouse;Pierre Cardenal;Carriéra;Place d'Italie;Jacques Prévert;Corse;Comté de Nice;Mas de Bellevue;Pierre de Coubertin
5:35;5:36;5:38;5:39;5:40;5:43;5:43;5:45;5:45;5:46;5:46;5:47;5:47;5:49;5:50;5:50;5:51;5:51
6:00;6:01;6:03;6:04;6:05;6:08;6:08;6:09;6:09;6:10;6:10;6:11;6:11;6:13;6:14;6:14;6:15;6:15
6:25;6:26;6:28;6:29;6:30;6:33;6:33;6:34;6:34;6:35;6:35;6:36;6:37;6:38;6:40;6:40;6:41;6:41
6:42;6:43;6:45;6:46;6:47;6:50;6:50;6:51;6:51;6:52;6:52;6:53;6:54;6:55;6:57;6:57;6:58;6:58
6:54;6:55;6:57;6:58;6:59;7:03;7:03;7:04;7:04;7:05;7:05;7:06;7:07;7:08;7:10;7:10;7:11;7:11
7:06;7:07;7:09;7:10;7:11;7:15;7:15;7:16;7:16;7:17;7:17;7:18;7:19;7:20;7:22;7:22;7:23;7:23
7:18;7:19;7:22;7:23;7:24;7:28;7:28;7:29;7:29;7:30;7:30;7:31;7:32;7:33;7:35;7:35;7:36;7:36
7:30;7:32;7:34;7:36;7:37;7:41;7:41;7:42;7:42;7:43;7:43;7:44;7:45;7:46;7:48;7:48;7:49;7:49
7:42;7:44;7:46;7:48;7:49;7:53;7:53;7:54;7:54;7:55;7:56;7:57;7:57;7:59;8:01;8:01;8:02;8:02
7:54;7:56;7:58;8:00;8:02;8:06;8:06;8:07;8:07;8:08;8:09;8:10;8:10;8:12;8:14;8:14;8:15;8:15
8:06;8:08;8:11;8:13;8:15;8:19;8:19;8:20;8:20;8:21;8:22;8:23;8:23;8:25;8:27;8:27;8:28;8:28
8:18;8:20;8:23;8:25;8:27;8:31;8:31;8:32;8:32;8:33;8:34;8:35;8:35;8:37;8:39;8:39;8:40;8:40
8:30;8:32;8:35;8:37;8:39;8:43;8:43;8:44;8:44;8:45;8:46;8:47;8:47;8:49;8:51;8:51;8:52;8:52
8:42;8:44;8:47;8:49;8:51;8:55;8:55;8:56;8:56;8:57;8:58;8:59;8:59;9:01;9:03;9:03;9:04;9:04
8:54;8:56;8:59;9:01;9:03;9:07;9:07;9:08;9:08;9:09;9:10;9:11;9:11;9:13;9:15;9:15;9:16;9:16
9:06;9:08;9:10;9:12;9:14;9:18;9:18;9:19;9:20;9:20;9:21;9:22;9:23;9:25;9:27;9:27;9:28;9:28
9:18;9:20;9:22;9:24;9:26;9:30;9:30;9:31;9:32;9:32;9:33;9:34;9:35;9:37;9:39;9:39;9:40;9:40
9:30;9:32;9:34;9:36;9:38;9:42;9:42;9:43;9:44;9:44;9:45;9:46;9:47;9:49;9:51;9:51;9:52;9:52
9:42;9:43;9:46;9:47;9:49;9:53;9:53;9:54;9:55;9:55;9:56;9:57;9:58;10:00;10:02;10:02;10:03;10:03
9:54;9:55;9:58;9:59;10:01;10:05;10:05;10:07;10:08;10:08;10:09;10:10;10:11;10:13;10:15;10:15;10:16;10:16
10:06;10:07;10:10;10:11;10:13;10:17;10:17;10:19;10:20;10:20;10:21;10:22;10:23;10:25;10:27;10:27;10:28;10:28
10:18;10:19;10:22;10:23;10:25;10:29;10:29;10:31;10:32;10:32;10:33;10:34;10:35;10:37;10:39;10:39;10:40;10:40
10:30;10:31;10:34;10:35;10:37;10:41;10:41;10:43;10:44;10:44;10:45;10:46;10:47;10:49;10:51;10:51;10:52;10:52
10:42;10:43;10:46;10:47;10:49;10:53;10:53;10:55;10:56;10:56;10:57;10:58;10:59;11:01;11:03;11:03;11:04;11:04
10:54;10:55;10:58;10:59;11:01;11:05;11:05;11:07;11:08;11:08;11:09;11:10;11:11;11:13;11:15;11:15;11:16;11:16
11:06;11:07;11:10;11:11;11:13;11:17;11:17;11:19;11:20;11:20;11:21;11:22;11:23;11:25;11:27;11:27;11:28;11:28
11:18;11:19;11:22;11:23;11:25;11:29;11:29;11:31;11:32;11:32;11:33;11:34;11:35;11:37;11:39;11:39;11:40;11:40
11:30;11:31;11:34;11:35;11:37;11:41;11:41;11:43;11:44;11:44;11:45;11:46;11:47;11:49;11:51;11:51;11:52;11:52
11:42;11:43;11:46;11:47;11:49;11:53;11:53;11:55;11:56;11:56;11:57;11:58;11:59;12:01;12:03;12:03;12:04;12:04
11:54;11:55;11:58;11:59;12:01;12:05;12:05;12:07;12:08;12:08;12:09;12:10;12:11;12:13;12:15;12:15;12:16;12:16
12:06;12:07;12:10;12:11;12:13;12:17;12:17;12:19;12:20;12:20;12:21;12:22;12:23;12:25;12:27;12:27;12:28;12:28
