Garcia Lorca;Restanque;Saint-Martin;Nouveau Saint-Roch;Rondelet;Gare Saint-Roch;Observatoire;Saint-Guilhem - Courreau;Peyrou - Arc de Triomphe;Albert 1er - Cathédrale;Louis Blanc;Corum;Les Aubes;Pompignane;Place de l'Europe;Rives du Lez;Georges Frêche - Hôtel de Ville;La Rauze;Garcia Lorca
;;;5:56;5:57;6:00;6:02;6:03;6:05;6:07;6:08;6:10;6:13;6:15;6:17;6:19;6:21;6:24;6:26
;;;6:16;6:17;6:20;6:21;6:22;6:24;6:26;6:27;6:29;6:31;6:33;6:35;6:37;6:39;6:41;6:43
6:30;6:32;6:34;6:37;6:38;6:41;6:42;6:43;6:45;6:47;6:48;6:50;6:52;6:54;6:56;6:58;7:00;7:02;7:04
6:50;6:51;6:53;6:56;6:57;7:00;7:01;7:02;7:04;7:06;7:07;7:09;7:11;7:13;7:15;7:17;7:19;7:21;7:23
7:10;7:11;7:13;7:16;7:17;7:20;7:21;7:22;7:24;7:26;7:27;7:29;7:31;7:33;7:35;7:37;7:39;7:41;7:43
7:30;7:31;7:33;7:36;7:37;7:40;7:41;7:42;7:44;7:46;7:47;7:49;7:51;7:53;7:55;7:57;7:59;8:01;8:03
7:50;7:51;7:53;7:56;7:57;8:00;8:01;8:02;8:04;8:06;8:07;8:09;8:11;8:13;8:15;8:17;8:19;8:21;8:23
8:10;8:11;8:13;8:16;8:17;8:20;8:21;8:22;8:24;8:26;8:27;8:29;8:31;8:33;8:35;8:37;8:39;8:41;8:43
8:30;8:31;8:33;8:36;8:37;8:40;8:41;8:42;8:44;8:46;8:47;8:49;8:51;8:53;8:55;8:57;8:59;9:01;9:03
8:50;8:51;8:53;8:56;8:57;9:00;9:01;9:02;9:04;9:06;9:07;9:09;9:11;9:13;9:15;9:17;9:19;9:21;9:23
9:10;9:11;9:13;9:16;9:17;9:20;9:21;9:22;9:24;9:26;9:27;9:29;9:31;9:33;9:35;9:37;9:39;9:41;9:43
9:30;9:31;9:33;9:36;9:37;9:40;9:41;9:42;9:44;9:46;9:47;9:49;9:51;9:53;9:55;9:57;9:59;10:01;10:03
9:50;9:51;9:53;9:56;9:57;10:00;10:01;10:02;10:04;10:06;10:07;10:09;10:11;10:13;10:15;10:17;10:19;10:21;10:23
10:10;10:11;10:13;10:16;10:17;10:20;10:21;10:22;10:24;10:26;10:27;10:29;10:31;10:33;10:35;10:37;10:39;10:41;10:43
10:30;10:31;10:33;10:36;10:37;10:40;10:41;10:42;10:44;10:46;10:47;10:49;10:51;10:53;10:55;10:57;10:59;11:01;11:03
10:50;10:51;10:53;10:56;10:57;11:00;11:01;11:02;11:04;11:06;11:07;11:09;11:11;11:13;11:15;11:17;11:19;11:21;11:23
11:10;11:11;11:13;11:16;11:17;11:20;11:21;11:22;11:24;11:26;11:27;11:29;11:31;11:33;11:35;11:37;11:39;11:41;11:43
11:30;11:31;11:33;11:36;11:37;11:40;11:41;11:42;11:44;11:46;11:47;11:49;11:51;11:53;11:55;11:57;11:59;12:01;12:03
11:50;11:51;11:53;11:56;11:57;12:00;12:01;12:02;12:04;12:06;12:07;12:09;12:11;12:13;12:15;12:17;12:19;12:21;12:23
12:10;12:11;12:13;12:16;12:17;12:20;12:21;12:22;12:24;12:26;12:27;12:29;12:31;12:33;12:35;12:37;12:39;12:41;12:43
12:30;12:31;12:33;12:36;12:37;12:40;12:41;12:42;12:44;12:46;12:47;12:49;12:51;12:53;12:55;12:57;12:59;13:01;13:03
12:50;12:51;12:53;12:56;12:57;13:00;13:01;13:02;13:04;13:06;13:07;13:09;13:11;13:13;13:15;13:17;13:19;13:21;13:23
13:10;13:11;13:13;13:16;13:17;13:20;13:21;13:22;13:24;13:26;13:27;13:29;13:31;13:33;13:35;13:37;13:39;13:41;13:43
13:30;13:31;13:33;13:36;13:37;13:40;13:41;13:42;13:44;13:46;13:47;13:49;13:51;13:53;13:55;13:57;13:59;14:01;14:03
13:50;13:51;13:53;13:56;13:57;14:00;14:01;14:02;14:04;14:06;14:07;14:09;14:11;14:13;14:15;14:17;14:19;14:21;14:23
14:10;14:11;14:13;14:16;14:17;14:20;14:21;14:22;14:24;14:26;14:27;14:29;14:31;14:33;14:35;14:37;14:39;14:41;14:43
14:30;14:31;14:33;14:36;14:37;14:40;14:41;14:42;14:44;14:46;14:47;14:49;14:51;14:53;14:55;14:57;14:59;15:01;15:03
14:50;14:51;14:53;14:56;14:57;15:00;15:01;15:02;15:04;15:06;15:07;15:09;15:11;15:13;15:15;15:17;15:19;15:21;15:23
15:10;15:11;15:13;15:16;15:17;15:20;15:21;15:22;15:24;15:26;15:27;15:29;15:31;15:33;15:35;15:37;15:39;15:41;15:43
15:30;15:31;15:33;15:36;15:37;15:40;15:41;15:42;15:44;15:46;15:47;15:49;15:51;15:53;15:55;15:57;15:59;16:01;16:03
15:50;15:51;15:53;15:56;15:57;16:00;16:01;16:02;16:04;16:06;16:07;16:09;16:11;16:13;16:15;16:17;16:19;16:21;16:23
16:10;16:11;16:13;16:16;16:17;16:20;16:21;16:22;16:24;16:26;16:27;16:29;16:31;16:33;16:35;16:37;16:39;16:41;16:43
16:30;16:31;16:33;16:36;16:37;16:40;16:41;16:42;16:44;16:46;16:47;16:49;16:51;16:53;16:55;16:57;16:59;17:01;17:03
16:50;16:51;16:53;16:56;16:57;17:00;17:01;17:02;17:04;17:06;17:07;17:09;17:11;17:13;17:15;17:17;17:19;17:21;17:23
17:10;17:11;17:13;17:16;17:17;17:20;17:21;17:22;17:24;17:26;17:27;17:29;17:31;17:33;17:35;17:37;17:39;17:41;17:43
17:30;17:31;17:33;17:36;17:37;17:40;17:41;17:42;17:44;17:46;17:47;17:49;17:51;17:53;17:55;17:57;17:59;18:01;18:03
17:50;17:51;17:53;17:56;17:57;18:00;18:01;18:02;18:04;18:06;18:07;18:09;18:11;18:13;18:15;18:17;18:19;18:21;18:23
18:10;18:11;18:13;18:16;18:17;18:20;18:21;18:22;18:24;18:26;18:27;18:29;18:31;18:33;18:35;18:37;18:39;18:41;18:43
18:30;18:31;18:33;18:36;18:37;18:40;18:41;18:42;18:44;18:46;18:47;18:49;18:51;18:53;18:55;18:57;18:59;19:01;19:03
18:50;18:51;18:53;18:56;18:57;19:00;19:01;19:02;19:04;19:06;19:07;19:09;19:11;19:13;19:15;19:17;19:19;19:21;19:23
19:10;19:11;19:13;19:16;19:17;19:20;19:21;19:22;19:24;19:26;19:27;19:29;19:31;19:33;19:35;19:37;19:39;19:41;19:43
19:30;19:31;19:33;19:36;19:37;19:40;19:41;19:42;19:44;19:46;19:47;19:49;19:51;19:53;19:55;19:57;19:59;20:01;20:03
