Garcia Lorca;La Rauze;Georges Frêche - Hôtel de Ville;Rives du Lez;Place de l'Europe;Pompignane;Les Aubes;Corum;Louis Blanc;Albert 1er - Cathédrale;Peyrou - Arc de Triomphe;Saint-Guilhem - Courreau;Observatoire;Gare Saint-Roch;Rondelet;Nouveau Saint-Roch;Saint-Martin;Restanque;Garcia Lorca
;;;;;;;;;;;;4:37;4:39;4:40;4:43;4:46;4:47;4:49
4:50;4:51;4:55;4:58;4:59;5:01;5:04;5:07;5:08;5:11;5:13;5:14;5:16;5:17;5:18;5:21;5:23;5:24;5:26
;;;;;;;;;;;;5:38;5:39;5:40;5:43;5:45;5:46;5:48
5:35;5:36;5:39;5:42;5:43;5:44;5:47;5:50;5:51;5:53;5:55;5:56;5:58;5:59;6:00;6:03;6:05;6:06;6:08
;;;;;;;;;;;;6:11;6:12;6:13;6:16;6:18;6:19;6:21
6:00;6:01;6:04;6:07;6:08;6:09;6:12;6:15;6:16;6:18;6:20;6:21;6:23;6:24;6:25;6:28;6:30;6:31;6:33
6:15;6:16;6:19;6:22;6:23;6:24;6:27;6:30;6:31;6:33;6:35;6:36;6:38;6:40;6:41;6:44;6:46;6:47;6:49
;;;;;;;;;;;;6:46;6:48;6:49;6:52;6:54;6:55;6:57
6:30;6:31;6:34;6:37;6:38;6:39;6:42;6:45;6:46;6:48;6:50;6:51;6:53;6:55;6:56;6:59;7:01;7:02;7:04
;;;;;;;;;;;;7:01;7:03;7:04;7:07;7:10;7:11;7:13
6:45;6:46;6:49;6:52;6:53;6:54;6:57;7:00;7:01;7:03;7:05;7:06;7:08;7:10;7:11;7:14;7:17;7:18;7:20
6:55;6:56;6:59;7:02;7:03;7:04;7:07;7:10;7:11;7:13;7:15;7:16;7:18;7:20;7:21;7:24;7:27;7:28;7:30
7:04;7:05;7:08;7:11;7:12;7:13;7:16;7:19;7:20;7:22;7:24;7:25;7:27;7:29;7:30;7:33;7:36;7:37;7:39
7:12;7:13;7:16;7:19;7:20;7:21;7:24;7:27;7:28;7:30;7:32;7:33;7:35;7:37;7:38;7:41;7:44;7:45;7:47
7:20;7:21;7:24;7:27;7:28;7:29;7:32;7:35;7:36;7:38;7:40;7:41;7:43;7:45;7:46;7:49;7:52;7:53;7:55
7:28;7:29;7:32;7:35;7:36;7:37;7:40;7:43;7:44;7:46;7:48;7:49;7:51;7:53;7:54;7:57;8:00;8:01;8:03
7:36;7:37;7:40;7:43;7:44;7:45;7:48;7:51;7:52;7:54;7:56;7:57;7:59;8:01;8:02;8:05;8:08;8:09;8:11
7:44;7:45;7:48;7:51;7:52;7:53;7:56;7:59;8:00;8:02;8:04;8:05;8:07;8:09;8:10;8:13;8:16;8:17;8:19
