Pas du Loup;Estanove;Véga;Font Couverte;Le Grand M;Avenue de Toulouse;Ronceray;Georges Brassens;Guillaume Janvier;Place du 8 Mai;Berthelot;Lycée Georges Clemenceau;Saint-Denis;Anatole France;Observatoire;Saint-Guilhem - Courreau;Peyrou - Arc de Triomphe;Pitot;Doria;Sainte-Thérèse;Collège Camille Claudel;La Gaillarde;Pierre Viala;Louis Ravaz;Las Rébès;Cévennes;Sainte-Geneviève;Alco;Château d'Ô;Saint-Priest;Occitanie;Ambroise Paré;Route de Ganges;Antennes;Val d'Aurelle;Apothicaires;Puech Villa;Euromédecine
6:45;6:45;6:46;6:46;6:48;6:48;6:49;6:50;6:50;6:51;6:52;6:52;6:53;6:54;6:55;6:59;6:59;6:59;7:00;7:01;7:01;7:02;7:03;7:04;7:05;7:06;7:07;7:07;7:10;7:12;7:12;7:13;7:14;7:15;7:16;7:17;7:18;7:19
7:26;7:26;7:27;7:27;7:29;7:30;7:31;7:32;7:32;7:34;7:35;7:36;7:38;7:39;7:40;7:43;7:43;7:44;7:44;7:46;7:46;7:47;7:48;7:49;7:50;7:51;7:52;7:52;7:56;7:58;7:58;7:59;8:00;8:02;8:03;8:03;8:05;8:06
8:01;8:01;8:02;8:02;8:04;8:05;8:06;8:07;8:07;8:09;8:10;8:11;8:13;8:14;8:15;8:19;8:19;8:20;8:20;8:22;8:22;8:23;8:24;8:26;8:27;8:28;8:29;8:29;8:33;8:35;8:35;8:36;8:37;8:39;8:40;8:40;8:42;8:43
8:36;8:36;8:37;8:37;8:39;8:40;8:41;8:42;8:42;8:44;8:45;8:46;8:48;8:49;8:50;8:54;8:54;8:55;8:55;8:57;8:57;8:58;8:59;9:01;9:02;9:03;9:04;9:04;9:08;9:10;9:10;9:11;9:13;9:14;9:16;9:16;9:18;9:19
9:10;9:10;9:11;9:11;9:13;9:14;9:15;9:16;9:17;9:18;9:20;9:21;9:23;9:24;9:25;9:29;9:29;9:30;9:30;9:32;9:32;9:33;9:35;9:36;9:37;9:39;9:40;9:40;9:44;9:46;9:46;9:47;9:49;9:50;9:52;9:52;9:54;9:55
9:44;9:44;9:45;9:46;9:48;9:49;9:50;9:51;9:52;9:53;9:55;9:56;9:58;9:59;10:00;10:04;10:04;10:05;10:05;10:07;10:07;10:08;10:10;10:11;10:12;10:14;10:15;10:15;10:19;10:21;10:21;10:22;10:24;10:25;10:27;10:27;10:29;10:30
10:19;10:19;10:20;10:21;10:23;10:24;10:25;10:26;10:27;10:28;10:30;10:31;10:33;10:34;10:35;10:39;10:39;10:40;10:40;10:42;10:42;10:43;10:45;10:46;10:47;10:49;10:50;10:50;10:54;10:56;10:56;10:57;10:59;11:00;11:02;11:02;11:04;11:05
10:53;10:53;10:54;10:55;10:57;10:58;10:59;11:00;11:01;11:02;11:04;11:05;11:07;11:08;11:10;11:14;11:14;11:15;11:15;11:17;11:17;11:18;11:20;11:21;11:22;11:24;11:25;11:25;11:29;11:31;11:31;11:32;11:34;11:35;11:37;11:37;11:39;11:40
11:28;11:28;11:29;11:30;11:32;11:33;11:34;11:35;11:36;11:37;11:39;11:40;11:42;11:43;11:45;11:49;11:49;11:50;11:50;11:52;11:52;11:53;11:55;11:56;11:57;11:59;12:00;12:00;12:04;12:06;12:06;12:07;12:09;12:10;12:12;12:12;12:14;12:15
12:03;12:03;12:04;12:05;12:07;12:08;12:09;12:10;12:11;12:12;12:14;12:15;12:17;12:18;12:20;12:24;12:24;12:25;12:25;12:27;12:27;12:28;12:30;12:31;12:32;12:34;12:35;12:35;12:39;12:41;12:41;12:42;12:44;12:45;12:47;12:47;12:49;12:50
