Apollo;Pierre Laroque;Semard;André Malraux;Marie Durand;Saint-Jean;Colverts;Paul Painlevé;Saint-Michel;Place de l'Europe;Vieille Poste;François Couperin;Pinville;Alfred Nobel;Eurêka;Louis Lépine;Volta Fizeau;Guglielmo Marconi;Évariste Galois;Samuel Morse;Place de France;Georges Méliès;Zénith;Albert Einstein;Cimetière Saint-Étienne;Grammont
7:35;7:35;7:36;7:37;7:37;7:38;7:38;7:39;7:41;7:45;7:47;7:47;7:48;7:49;7:49;7:51;7:51;7:52;7:53;7:55;7:55;7:56;7:58;7:59;8:00;8:01
8:15;8:16;8:17;8:18;8:18;8:19;8:19;8:20;8:22;8:25;8:27;8:27;8:28;8:29;8:29;8:31;8:31;8:32;8:33;8:35;8:35;8:36;8:38;8:39;8:40;8:41
9:00;9:01;9:02;9:03;9:03;9:04;9:05;9:06;9:08;9:10;9:12;9:12;9:13;9:14;9:14;9:16;9:16;9:18;9:19;9:21;9:21;9:22;9:24;9:25;9:26;9:27
9:40;9:41;9:42;9:43;9:43;9:44;9:45;9:46;9:48;9:50;9:52;9:52;9:53;9:54;9:54;9:56;9:56;9:58;9:59;10:01;10:01;10:02;10:04;10:05;10:06;10:07
10:20;10:21;10:22;10:23;10:23;10:24;10:25;10:26;10:28;10:30;10:32;10:32;10:33;10:34;10:34;10:36;10:36;10:38;10:39;10:41;10:41;10:42;10:44;10:45;10:46;10:47
11:00;11:01;11:02;11:03;11:03;11:04;11:05;11:06;11:08;11:10;11:12;11:12;11:13;11:14;11:14;11:16;11:16;11:18;11:19;11:21;11:21;11:22;11:24;11:25;11:26;11:27
11:39;11:40;11:41;11:42;11:42;11:43;11:44;11:45;11:47;11:50;11:52;11:52;11:53;11:54;11:54;11:56;11:56;11:58;11:59;12:01;12:01;12:02;12:05;12:06;12:07;12:08
12:19;12:20;12:21;12:22;12:22;12:23;12:24;12:25;12:27;12:30;12:32;12:32;12:33;12:34;12:34;12:36;12:36;12:38;12:39;12:41;12:41;12:42;12:45;12:46;12:47;12:48
13:01;13:02;13:03;13:04;13:04;13:05;13:05;13:06;13:08;13:10;13:12;13:13;13:14;13:15;13:15;13:17;13:17;13:19;13:20;13:22;13:22;13:23;13:26;13:27;13:28;13:29
13:41;13:42;13:43;13:44;13:44;13:45;13:45;13:46;13:48;13:50;13:52;13:53;13:54;13:55;13:55;13:57;13:57;13:59;14:00;14:02;14:02;14:03;14:06;14:07;14:08;14:09
14:20;14:21;14:22;14:23;14:23;14:24;14:25;14:26;14:28;14:30;14:32;14:33;14:34;14:35;14:35;14:37;14:37;14:39;14:40;14:42;14:42;14:43;14:46;14:47;14:48;14:49
15:00;15:01;15:02;15:03;15:03;15:04;15:05;15:06;15:08;15:10;15:12;15:13;15:14;15:15;15:15;15:17;15:17;15:19;15:20;15:22;15:22;15:23;15:26;15:27;15:28;15:29
15:40;15:41;15:42;15:43;15:43;15:44;15:45;15:46;15:48;15:50;15:52;15:53;15:54;15:55;15:55;15:57;15:57;15:59;16:00;16:02;16:02;16:03;16:06;16:07;16:08;16:09
16:25;16:26;16:27;16:28;16:28;16:29;16:30;16:31;16:33;16:35;16:37;16:38;16:39;16:40;16:40;16:42;16:42;16:44;16:45;16:48;16:48;16:49;16:52;16:53;16:54;16:55
17:05;17:06;17:07;17:08;17:08;17:09;17:10;17:11;17:13;17:15;17:17;17:18;17:19;17:20;17:20;17:22;17:22;17:24;17:25;17:28;17:28;17:29;17:32;17:33;17:34;17:35
17:45;17:46;17:47;17:48;17:48;17:49;17:50;17:51;17:53;17:55;17:57;17:58;17:59;18:00;18:00;18:02;18:02;18:04;18:05;18:07;18:07;18:08;18:11;18:12;18:13;18:14
18:25;18:26;18:27;18:28;18:28;18:29;18:30;18:31;18:33;18:35;18:37;18:38;18:39;18:40;18:40;18:42;18:42;18:44;18:45;18:47;18:47;18:48;18:51;18:52;18:53;18:54
19:05;19:06;19:07;19:08;19:08;19:09;19:09;19:10;19:12;19:15;19:17;19:18;19:19;19:20;19:20;19:22;19:22;19:24;19:25;19:27;19:27;19:28;19:30;19:31;19:32;19:33
19:45;19:45;19:46;19:47;19:47;19:48;19:48;19:49;19:51;19:55;19:57;19:58;19:59;20:00;20:00;20:02;20:02;20:04;20:05;20:07;20:07;20:08;20:10;20:11;20:12;20:13
