Aiguelongue (Jussieu);Antoine-Laurent de Jussieu;René Bougnol;Moulin de Gasconnet;Pioch de Boutonnet;Chantecler;Alpilles;Clolus;Aiguelongue;Pierre Rouge;Nazareth;Marie Caizergues;Sainte-Odile;Henri Dunant;Saint-Éloi;Pierre d'Adhémar;Hippolyte Rech;Charles Flahault;Paladilhe;Glycines;Avenue de l'Agriculture;Louvain;Érables;Las Sorbes;Saint-Gabriel;Espérance;Las Cazes;Saint-Clément;Belvédère;Tonnelles;Petit Bard;Marie Curie;Renaudel;Celleneuve
7:40;7:40;7:42;7:43;7:44;7:44;7:45;7:45;7:46;7:46;7:47;7:48;7:49;7:52;7:52;7:54;7:54;7:55;7:58;7:59;7:59;7:59;7:59;8:00;8:00;8:01;8:02;8:02;8:03;8:06;8:06;8:07;8:09;8:09
8:20;8:20;8:22;8:23;8:24;8:24;8:25;8:25;8:26;8:26;8:27;8:28;8:29;8:32;8:32;8:34;8:34;8:35;8:38;8:39;8:39;8:39;8:39;8:40;8:40;8:41;8:42;8:42;8:43;8:46;8:46;8:47;8:49;8:49
9:00;9:00;9:02;9:03;9:04;9:04;9:05;9:05;9:06;9:06;9:07;9:08;9:09;9:12;9:12;9:14;9:14;9:15;9:18;9:19;9:19;9:19;9:19;9:20;9:20;9:21;9:22;9:22;9:23;9:26;9:26;9:27;9:29;9:29
9:40;9:40;9:42;9:43;9:44;9:44;9:45;9:45;9:46;9:46;9:47;9:48;9:49;9:52;9:52;9:54;9:54;9:55;9:58;9:59;9:59;9:59;10:00;10:00;10:01;10:02;10:03;10:03;10:04;10:07;10:07;10:08;10:10;10:10
10:20;10:20;10:22;10:23;10:24;10:24;10:25;10:25;10:26;10:26;10:27;10:28;10:29;10:32;10:32;10:34;10:35;10:36;10:38;10:40;10:40;10:40;10:41;10:41;10:42;10:43;10:44;10:44;10:45;10:48;10:48;10:49;10:51;10:51
11:00;11:00;11:02;11:03;11:04;11:04;11:05;11:05;11:06;11:06;11:07;11:08;11:09;11:12;11:12;11:14;11:15;11:16;11:18;11:20;11:20;11:20;11:21;11:21;11:22;11:23;11:24;11:24;11:25;11:28;11:28;11:29;11:31;11:31
11:40;11:40;11:42;11:43;11:44;11:44;11:45;11:45;11:46;11:46;11:47;11:48;11:49;11:52;11:52;11:54;11:55;11:56;11:58;12:00;12:00;12:00;12:01;12:01;12:02;12:03;12:04;12:04;12:05;12:08;12:08;12:09;12:11;12:11
12:20;12:20;12:22;12:23;12:24;12:24;12:25;12:25;12:26;12:26;12:27;12:28;12:29;12:32;12:32;12:34;12:35;12:36;12:38;12:40;12:40;12:40;12:41;12:41;12:42;12:43;12:44;12:44;12:45;12:48;12:48;12:49;12:51;12:51
13:00;13:00;13:02;13:03;13:04;13:04;13:05;13:05;13:06;13:06;13:07;13:08;13:09;13:12;13:12;13:14;13:15;13:16;13:18;13:20;13:20;13:20;13:21;13:21;13:22;13:23;13:24;13:24;13:25;13:28;13:28;13:29;13:31;13:31
13:40;13:40;13:42;13:43;13:44;13:44;13:45;13:45;13:46;13:46;13:47;13:48;13:49;13:52;13:52;13:54;13:55;13:56;13:58;14:00;14:00;14:00;14:01;14:01;14:02;14:03;14:04;14:04;14:05;14:08;14:08;14:09;14:11;14:11
14:20;14:20;14:22;14:23;14:24;14:24;14:25;14:25;14:26;14:26;14:27;14:28;14:29;14:32;14:32;14:34;14:35;14:36;14:38;14:40;14:40;14:40;14:40;14:41;14:41;14:42;14:43;14:43;14:44;14:47;14:47;14:48;14:50;14:50
15:00;15:00;15:02;15:03;15:04;15:04;15:05;15:05;15:06;15:06;15:07;15:08;15:09;15:12;15:12;15:14;15:15;15:16;15:18;15:20;15:20;15:20;15:20;15:21;15:21;15:22;15:23;15:23;15:24;15:27;15:27;15:28;15:30;15:30
15:40;15:40;15:42;15:43;15:44;15:44;15:45;15:45;15:46;15:46;15:47;15:48;15:49;15:52;15:52;15:54;15:55;15:56;15:58;16:00;16:00;16:00;16:01;16:01;16:02;16:03;16:04;16:04;16:05;16:08;16:08;16:09;16:11;16:11
16:20;16:20;16:22;16:23;16:24;16:24;16:25;16:25;16:26;16:26;16:27;16:28;16:29;16:32;16:32;16:34;16:35;16:36;16:38;16:40;16:40;16:40;16:41;16:41;16:42;16:43;16:44;16:44;16:45;16:48;16:48;16:49;16:51;16:51
17:00;17:00;17:02;17:03;17:04;17:04;17:05;17:05;17:06;17:06;17:07;17:08;17:09;17:12;17:12;17:14;17:15;17:16;17:18;17:20;17:20;17:20;17:21;17:21;17:22;17:23;17:24;17:24;17:25;17:28;17:28;17:29;17:31;17:31
17:40;17:40;17:42;17:43;17:44;17:44;17:45;17:45;17:46;17:46;17:47;17:48;17:49;17:52;17:52;17:54;17:55;17:56;17:58;18:00;18:00;18:00;18:01;18:01;18:02;18:03;18:04;18:04;18:05;18:08;18:08;18:09;18:11;18:11
18:20;18:20;18:22;18:23;18:24;18:24;18:25;18:25;18:26;18:26;18:27;18:28;18:29;18:32;18:32;18:34;18:35;18:36;18:38;18:40;18:40;18:40;18:41;18:41;18:42;18:43;18:44;18:44;18:45;18:48;18:48;18:49;18:51;18:51
19:00;19:00;19:02;19:03;19:04;19:04;19:05;19:05;19:06;19:06;19:07;19:08;19:09;19:15;19:15;19:17;19:18;19:19;19:21;19:23;19:23;19:23;19:24;19:24;19:25;19:26;19:27;19:27;19:28;19:31;19:31;19:32;19:34;19:34
