Aiguelongue (Jussieu);Antoine-Laurent de Jussieu;René Bougnol;Moulin de Gasconnet;Pioch de Boutonnet;Chantecler;Alpilles;Clolus;Aiguelongue;Pierre Rouge;Nazareth;Marie Caizergues;Sainte-Odile;Henri Dunant;Saint-Éloi;Pierre d'Adhémar;Hippolyte Rech;Charles Flahault;Paladilhe;Glycines;Avenue de l'Agriculture;Louvain;Érables;Las Sorbes;Saint-Gabriel;Espérance;Las Cazes;Saint-Clément;Belvédère;Tonnelles;Petit Bard;Marie Curie;Renaudel;Celleneuve
6:45;6:45;6:47;6:48;6:49;6:49;6:50;6:50;6:51;6:51;6:52;6:53;6:54;6:56;6:56;6:58;6:58;6:59;7:02;7:03;7:03;7:03;7:03;7:04;7:04;7:05;7:06;7:06;7:07;7:10;7:10;7:11;7:12;7:12
7:25;7:25;7:27;7:28;7:29;7:29;7:30;7:30;7:31;7:31;7:32;7:33;7:34;7:37;7:37;7:39;7:39;7:40;7:43;7:44;7:44;7:44;7:44;7:45;7:45;7:46;7:47;7:47;7:48;7:51;7:51;7:52;7:54;7:54
8:00;8:00;8:02;8:03;8:04;8:04;8:05;8:05;8:06;8:07;8:07;8:09;8:10;8:13;8:13;8:15;8:16;8:17;8:19;8:21;8:21;8:21;8:21;8:22;8:22;8:23;8:24;8:24;8:25;8:28;8:28;8:29;8:31;8:31
8:30;8:30;8:32;8:33;8:34;8:34;8:35;8:36;8:37;8:38;8:38;8:40;8:41;8:44;8:44;8:46;8:47;8:48;8:50;8:52;8:52;8:52;8:53;8:53;8:54;8:55;8:56;8:56;8:57;9:00;9:00;9:01;9:03;9:03
9:00;9:00;9:02;9:03;9:04;9:04;9:05;9:05;9:06;9:07;9:07;9:09;9:10;9:13;9:13;9:15;9:16;9:17;9:19;9:21;9:21;9:21;9:22;9:22;9:23;9:24;9:25;9:25;9:26;9:30;9:30;9:31;9:33;9:33
9:30;9:30;9:32;9:33;9:34;9:34;9:35;9:35;9:36;9:37;9:37;9:39;9:40;9:43;9:43;9:45;9:46;9:47;9:50;9:52;9:52;9:52;9:53;9:54;9:55;9:55;9:57;9:57;9:58;10:02;10:02;10:03;10:05;10:05
10:00;10:00;10:02;10:03;10:04;10:04;10:05;10:05;10:06;10:07;10:07;10:09;10:10;10:13;10:13;10:15;10:16;10:17;10:20;10:22;10:22;10:22;10:23;10:24;10:25;10:25;10:27;10:27;10:28;10:32;10:32;10:33;10:35;10:35
10:30;10:30;10:32;10:33;10:34;10:34;10:35;10:35;10:36;10:37;10:37;10:39;10:40;10:43;10:43;10:45;10:46;10:47;10:50;10:52;10:52;10:52;10:53;10:54;10:55;10:55;10:57;10:57;10:58;11:02;11:02;11:03;11:05;11:05
11:00;11:00;11:02;11:03;11:04;11:04;11:05;11:05;11:06;11:07;11:07;11:09;11:10;11:13;11:13;11:15;11:16;11:17;11:20;11:22;11:22;11:22;11:23;11:24;11:25;11:25;11:27;11:27;11:28;11:31;11:31;11:32;11:34;11:34
11:30;11:30;11:32;11:33;11:34;11:34;11:35;11:35;11:36;11:36;11:37;11:38;11:39;11:42;11:42;11:44;11:45;11:46;11:49;11:51;11:51;11:51;11:52;11:53;11:54;11:54;11:56;11:56;11:57;12:00;12:00;12:01;12:03;12:03
