Les Bouisses;Paul Fajon;Rouget de Lisle;Cheng-Du;Bagatelle;Collège Marcel Pagnol;Pas du Loup;Cité Valette;Les Roses;Chasseurs;Cité Gély;Claret;Figuerolles;Renouvier;Plan Cabanes;Gambetta;Saint-Denis;Anatole France;Gare Saint-Roch;Gare Saint-Roch (Pont de Sète);Frédéric Bazille;Cité Mion;Iris;Frédéric Fabrège;Lucullus;Cité de l'Arme;Garcia Lorca;Mas Argelliers;Saporta;Marché Gare;Industrie;Mas Saint-Pierre;Tournezy
7:00;7:01;7:01;7:02;7:03;7:04;7:05;7:05;7:06;7:07;7:08;7:09;7:10;7:11;7:12;7:13;7:14;7:15;7:17;7:18;7:18;7:20;7:21;7:21;7:22;7:23;7:23;7:24;7:25;7:25;7:27;7:27;7:28
7:45;7:46;7:46;7:47;7:48;7:49;7:50;7:50;7:51;7:52;7:53;7:54;7:55;7:56;7:57;7:58;7:59;8:00;8:02;8:03;8:03;8:05;8:06;8:06;8:07;8:08;8:08;8:09;8:10;8:10;8:12;8:12;8:13
8:30;8:31;8:31;8:33;8:34;8:35;8:36;8:37;8:38;8:38;8:40;8:41;8:42;8:43;8:44;8:45;8:46;8:47;8:49;8:50;8:50;8:52;8:53;8:53;8:55;8:56;8:56;8:57;8:58;8:58;9:00;9:00;9:01
9:15;9:16;9:16;9:18;9:19;9:20;9:21;9:22;9:23;9:23;9:25;9:26;9:27;9:28;9:29;9:31;9:32;9:33;9:35;9:36;9:36;9:38;9:39;9:39;9:41;9:42;9:42;9:43;9:45;9:45;9:47;9:47;9:48
10:00;10:01;10:01;10:03;10:04;10:06;10:07;10:08;10:09;10:09;10:11;10:12;10:13;10:14;10:15;10:17;10:18;10:19;10:21;10:22;10:22;10:24;10:25;10:25;10:27;10:28;10:28;10:29;10:31;10:31;10:33;10:33;10:34
10:45;10:46;10:46;10:48;10:49;10:51;10:52;10:53;10:54;10:54;10:56;10:57;10:58;10:59;11:00;11:02;11:03;11:04;11:06;11:07;11:08;11:10;11:11;11:11;11:12;11:13;11:13;11:14;11:16;11:16;11:18;11:18;11:19
11:30;11:31;11:31;11:33;11:34;11:35;11:36;11:37;11:38;11:38;11:40;11:41;11:42;11:43;11:44;11:46;11:47;11:48;11:50;11:51;11:52;11:54;11:55;11:55;11:56;11:57;11:57;11:58;12:00;12:00;12:02;12:02;12:03
12:15;12:16;12:16;12:18;12:19;12:20;12:21;12:22;12:23;12:23;12:25;12:26;12:27;12:28;12:29;12:31;12:32;12:33;12:35;12:36;12:37;12:39;12:40;12:40;12:42;12:43;12:43;12:44;12:46;12:46;12:48;12:48;12:49
13:00;13:01;13:01;13:03;13:04;13:05;13:06;13:07;13:08;13:08;13:10;13:11;13:12;13:13;13:14;13:15;13:16;13:17;13:19;13:20;13:21;13:23;13:24;13:24;13:26;13:27;13:27;13:28;13:29;13:29;13:31;13:31;13:32
13:45;13:46;13:46;13:48;13:49;13:50;13:51;13:52;13:53;13:53;13:55;13:56;13:57;13:58;13:59;14:00;14:01;14:02;14:04;14:05;14:06;14:08;14:09;14:09;14:11;14:12;14:12;14:13;14:14;14:14;14:16;14:16;14:17
14:30;14:31;14:31;14:33;14:34;14:35;14:36;14:37;14:38;14:38;14:40;14:41;14:42;14:43;14:44;14:45;14:46;14:47;14:49;14:50;14:50;14:52;14:53;14:53;14:55;14:56;14:56;14:57;14:58;14:58;15:00;15:00;15:01
15:15;15:16;15:16;15:18;15:19;15:20;15:21;15:22;15:23;15:23;15:25;15:26;15:27;15:28;15:29;15:30;15:31;15:32;15:34;15:35;15:36;15:38;15:39;15:39;15:41;15:42;15:42;15:43;15:44;15:44;15:46;15:46;15:47
16:00;16:01;16:01;16:03;16:04;16:05;16:06;16:07;16:08;16:08;16:10;16:11;16:12;16:13;16:14;16:15;16:16;16:17;16:19;16:20;16:21;16:23;16:24;16:24;16:26;16:27;16:27;16:28;16:30;16:30;16:32;16:32;16:33
16:45;16:46;16:46;16:48;16:49;16:51;16:52;16:53;16:54;16:54;16:56;16:57;16:58;16:59;17:00;17:02;17:03;17:04;17:06;17:07;17:08;17:10;17:11;17:11;17:13;17:14;17:14;17:15;17:17;17:17;17:19;17:19;17:20
