Tournezy;Mas Saint-Pierre;Industrie;Marché Gare;Saporta;Mas Argelliers;Garcia Lorca;Cité de l'Arme;Lucullus;Frédéric Fabrège;Iris;Cité Mion;Place Carnot;Henri René;Gare Saint-Roch (Pont de Sète);Gare Saint-Roch;Gare Saint-Roch;Observatoire;Gambetta;Palissade;Craponne;Figuerolles;Claret;Cité Gély;Chasseurs;Les Roses;Cité Valette;Pas du Loup;Collège Marcel Pagnol;Bagatelle;Cheng-Du;Rouget de Lisle;Paul Fajon;Les Bouisses
7:00;7:01;7:01;7:03;7:04;7:05;7:05;7:06;7:06;7:08;7:09;7:09;7:10;7:10;7:11;7:12;;7:14;7:16;7:16;7:17;7:18;7:19;7:20;7:20;7:21;7:21;7:22;7:23;7:23;7:24;7:25;7:26;7:27
7:45;7:46;7:47;7:48;7:49;7:51;7:51;7:52;7:52;7:54;7:55;7:55;7:56;7:56;7:57;7:58;;8:00;8:02;8:02;8:03;8:04;8:05;8:06;8:06;8:07;8:07;8:08;8:09;8:09;8:10;8:11;8:12;8:13
8:30;8:31;8:32;8:33;8:34;8:36;8:36;8:37;8:37;8:39;8:40;8:40;8:41;8:41;8:42;8:43;;8:46;8:48;8:48;8:49;8:50;8:51;8:52;8:52;8:53;8:53;8:54;8:55;8:55;8:56;8:57;8:58;8:59
9:15;9:16;9:17;9:18;9:19;9:21;9:21;9:22;9:22;9:24;9:25;9:25;9:26;9:26;9:27;9:28;;9:31;9:33;9:33;9:34;9:35;9:36;9:37;9:37;9:38;9:38;9:39;9:41;9:41;9:42;9:43;9:44;9:45
10:00;10:01;10:02;10:03;10:04;10:06;10:06;10:07;10:07;10:09;10:10;10:10;10:11;10:11;10:12;10:13;;10:17;10:19;10:19;10:20;10:22;10:22;10:24;10:24;10:25;10:26;10:27;10:29;10:29;10:30;10:31;10:32;10:33
10:45;10:46;10:47;10:48;10:49;10:51;10:51;10:52;10:52;10:54;10:55;10:55;10:56;10:56;10:57;10:58;;11:02;11:04;11:05;11:06;11:07;11:08;11:10;11:10;11:11;11:12;11:13;11:15;11:15;11:16;11:17;11:18;11:19
11:30;11:31;11:32;11:33;11:34;11:36;11:36;11:37;11:37;11:39;11:40;11:40;11:41;11:41;11:42;11:43;;11:47;11:50;11:51;11:52;11:53;11:54;11:56;11:56;11:57;11:58;11:59;12:01;12:01;12:02;12:03;12:04;12:05
12:15;12:16;12:17;12:18;12:19;12:21;12:21;12:22;12:22;12:24;12:25;12:25;12:26;12:26;12:27;12:28;;12:31;12:34;12:35;12:36;12:37;12:38;12:40;12:40;12:41;12:42;12:43;12:45;12:45;12:46;12:47;12:48;12:49
13:00;13:01;13:02;13:03;13:04;13:06;13:06;13:07;13:07;13:09;13:10;13:10;13:11;13:11;13:12;13:13;;13:16;13:19;13:19;13:20;13:22;13:22;13:24;13:24;13:25;13:26;13:27;13:29;13:29;13:30;13:31;13:32;13:33
13:45;13:46;13:47;13:48;13:49;13:51;13:51;13:52;13:52;13:54;13:55;13:55;13:56;13:56;13:57;13:58;;14:01;14:04;14:04;14:05;14:07;14:07;14:09;14:09;14:10;14:11;14:12;14:14;14:14;14:15;14:16;14:17;14:18
