Gare Saint-Roch (Pont de Sète);Frédéric Peyson;Porto;Pâquerettes;Coquelicots;Centrayrargues;Descartes;Razeteurs;Maréchal Leclerc;Jean Vachet;Catalpas
7:10;7:11;7:12;7:12;7:13;7:14;7:14;7:15;7:16;7:16;7:18
8:10;8:11;8:12;8:12;8:14;8:15;8:15;8:16;8:17;8:17;8:20
9:10;9:11;9:12;9:12;9:14;9:15;9:15;9:16;9:17;9:17;9:20
10:10;10:11;10:12;10:12;10:14;10:15;10:15;10:16;10:17;10:17;10:20
11:10;11:11;11:12;11:12;11:14;11:15;11:15;11:16;11:17;11:17;11:20
12:10;12:11;12:12;12:12;12:14;12:15;12:15;12:16;12:17;12:17;12:20
13:10;13:11;13:12;13:12;13:14;13:15;13:15;13:16;13:17;13:17;13:20
14:10;14:11;14:12;14:12;14:14;14:15;14:15;14:16;14:17;14:17;14:20
15:10;15:11;15:12;15:12;15:14;15:15;15:15;15:16;15:17;15:17;15:20
16:10;16:11;16:12;16:12;16:14;16:15;16:15;16:16;16:17;16:17;16:20
17:15;17:16;17:17;17:17;17:19;17:20;17:20;17:21;17:22;17:22;17:25
18:15;18:16;18:17;18:17;18:19;18:20;18:20;18:21;18:22;18:22;18:25
19:15;19:16;19:17;19:17;19:18;19:19;19:19;19:20;19:21;19:21;19:24
20:15;20:16;20:17;20:17;20:18;20:19;20:19;20:20;20:21;20:21;20:23
