Catalpas;Jean Vachet;Maréchal Leclerc;Bellevue;Primevères;Pâquerettes;Porto;Léon Cordès;Place Carnot;Henri René;Gare Saint-Roch (Pont de Sète);Gare Saint-Roch
6:30;6:30;6:31;6:32;6:33;6:33;6:34;6:34;6:36;6:36;6:37;6:38
7:30;7:30;7:31;7:33;7:34;7:34;7:35;7:35;7:37;7:37;7:38;7:39
8:30;8:30;8:31;8:33;8:34;8:34;8:35;8:36;8:38;8:38;8:39;8:40
9:30;9:30;9:31;9:33;9:34;9:34;9:35;9:36;9:38;9:38;9:39;9:40
10:30;10:30;10:31;10:33;10:34;10:34;10:35;10:36;10:38;10:38;10:39;10:40
11:30;11:30;11:31;11:33;11:34;11:34;11:35;11:36;11:38;11:38;11:39;11:40
12:30;12:30;12:31;12:33;12:34;12:34;12:35;12:36;12:38;12:38;12:40;12:41
13:30;13:30;13:31;13:33;13:34;13:34;13:35;13:36;13:38;13:38;13:40;13:41
14:30;14:30;14:31;14:33;14:34;14:34;14:35;14:36;14:38;14:38;14:40;14:41
15:30;15:30;15:31;15:33;15:34;15:34;15:35;15:36;15:38;15:38;15:40;15:41
16:30;16:30;16:31;16:33;16:34;16:34;16:35;16:36;16:38;16:38;16:40;16:41
17:35;17:35;17:36;17:38;17:39;17:39;17:40;17:41;17:43;17:43;17:45;17:46
18:35;18:35;18:36;18:38;18:39;18:39;18:40;18:41;18:43;18:43;18:45;18:46
19:35;19:35;19:36;19:37;19:38;19:38;19:39;19:39;19:41;19:41;19:42;19:43
