Universités Sciences et Lettres;Eugène Bataillon;Gascogne;École d'Architecture;Maurice Chauvet;Pic Saint-Loup;Plan des 4 Seigneurs;Hortus;Lycée Frédéric Bazille;Campus Agropolis;Agropolis;Zoo;Lavalette;Vert Bois;Fac de Lettres;Henri Dunant;Saint-Éloi
6:10;6:10;6:11;6:12;6:13;6:14;6:14;6:15;6:16;6:17;6:18;6:19;6:21;6:22;6:23;6:24;6:25
6:45;6:45;6:46;6:47;6:48;6:49;6:49;6:50;6:51;6:52;6:53;6:54;6:56;6:57;6:58;6:59;7:00
7:05;7:05;7:06;7:07;7:08;7:09;7:09;7:10;7:11;7:12;7:13;7:14;7:16;7:17;7:18;7:19;7:20
7:35;7:35;7:36;7:37;7:38;7:39;7:39;7:40;7:41;7:42;7:43;7:45;7:46;7:48;7:49;7:50;7:51
8:00;8:00;8:01;8:02;8:03;8:04;8:04;8:05;8:06;8:07;8:08;8:10;8:11;8:13;8:14;8:15;8:16
8:30;8:30;8:31;8:32;8:33;8:34;8:34;8:35;8:36;8:37;8:38;8:40;8:41;8:43;8:44;8:45;8:47
9:00;9:00;9:01;9:02;9:03;9:04;9:04;9:05;9:06;9:07;9:08;9:10;9:11;9:13;9:14;9:15;9:17
9:30;9:30;9:31;9:32;9:33;9:34;9:34;9:35;9:36;9:37;9:38;9:40;9:42;9:44;9:45;9:46;9:48
10:00;10:00;10:01;10:02;10:03;10:04;10:04;10:05;10:06;10:07;10:08;10:10;10:12;10:14;10:15;10:16;10:18
10:30;10:30;10:31;10:32;10:33;10:34;10:34;10:35;10:36;10:37;10:38;10:40;10:42;10:44;10:45;10:46;10:48
11:00;11:00;11:01;11:03;11:04;11:05;11:05;11:06;11:07;11:08;11:09;11:11;11:13;11:15;11:16;11:17;11:19
11:30;11:30;11:31;11:33;11:34;11:35;11:35;11:36;11:37;11:38;11:39;11:41;11:43;11:45;11:46;11:47;11:49
12:00;12:00;12:01;12:03;12:04;12:05;12:05;12:06;12:07;12:08;12:09;12:11;12:13;12:15;12:16;12:17;12:19
12:30;12:30;12:31;12:33;12:34;12:35;12:35;12:36;12:37;12:38;12:39;12:41;12:43;12:45;12:46;12:47;12:49
13:00;13:00;13:01;13:03;13:04;13:05;13:05;13:06;13:07;13:08;13:09;13:11;13:13;13:15;13:16;13:17;13:19
13:30;13:30;13:31;13:33;13:34;13:35;13:35;13:36;13:37;13:38;13:39;13:41;13:43;13:45;13:46;13:47;13:49
14:00;14:00;14:01;14:03;14:04;14:05;14:05;14:06;14:07;14:08;14:09;14:11;14:13;14:15;14:16;14:17;14:19
14:30;14:30;14:31;14:33;14:34;14:35;14:35;14:36;14:37;14:38;14:39;14:41;14:43;14:45;14:46;14:47;14:49
15:00;15:00;15:01;15:03;15:04;15:05;15:05;15:06;15:07;15:08;15:09;15:11;15:13;15:15;15:16;15:17;15:19
15:30;15:30;15:31;15:33;15:34;15:35;15:35;15:36;15:37;15:38;15:39;15:41;15:43;15:45;15:46;15:47;15:49
16:00;16:00;16:01;16:03;16:04;16:05;16:05;16:06;16:07;16:08;16:09;16:11;16:13;16:15;16:16;16:17;16:19
16:30;16:30;16:31;16:33;16:34;16:35;16:35;16:36;16:37;16:38;16:39;16:41;16:43;16:45;16:46;16:47;16:49
17:00;17:00;17:01;17:03;17:04;17:05;17:05;17:06;17:07;17:08;17:09;17:11;17:13;17:15;17:16;17:17;17:19
17:30;17:30;17:31;17:33;17:34;17:35;17:35;17:36;17:37;17:38;17:39;17:41;17:43;17:45;17:46;17:47;17:49
18:00;18:00;18:01;18:03;18:04;18:05;18:05;18:06;18:07;18:08;18:09;18:11;18:13;18:15;18:16;18:17;18:19
18:30;18:30;18:31;18:33;18:34;18:35;18:35;18:36;18:37;18:38;18:39;18:41;18:43;18:45;18:46;18:47;18:49
19:00;19:00;19:01;19:03;19:04;19:05;19:05;19:06;19:07;19:08;19:09;19:11;19:13;19:15;19:16;19:17;19:19
19:30;19:30;19:31;19:33;19:34;19:35;19:35;19:36;19:37;19:38;19:39;19:41;19:42;19:44;19:45;19:46;19:48
20:00;20:00;20:01;20:02;20:03;20:04;20:04;20:05;20:06;20:07;20:08;20:10;20:11;20:13;20:14;20:15;20:17
20:35;20:35;20:36;20:37;20:38;20:39;20:39;20:40;20:41;20:42;20:43;20:44;20:46;20:47;20:48;20:49;20:51
;;;;;;;;;;21:10;21:11;21:13;21:14;21:15;21:16;21:18
;;;;;;;;;;21:45;21:46;21:48;21:49;21:50;21:51;21:53
;;;;;;;;;;22:10;22:11;22:13;22:14;22:15;22:16;22:18
;;;;;;;;;;22:45;22:46;22:48;22:49;22:50;22:51;22:52
;;;;;;;;;;23:10;23:11;23:13;23:14;23:15;23:16;23:17
;;;;;;;;;;23:45;23:46;23:48;23:49;23:50;23:51;23:52
;;;;;;;;;;0:15;0:16;0:18;0:19;0:20;0:21;0:22
