Saint-Éloi;Fac de Lettres;Vert Bois;Lavalette;Zoo;Campus Agropolis;Agropolis;Lycée Frédéric Bazille;Hortus;Plan des 4 Seigneurs;Pic Saint-Loup;Maurice Chauvet;École d'Architecture;Gascogne;Eugène Bataillon;Universités Sciences et Lettres
6:30;6:31;6:32;6:32;6:33;6:35;6:36;6:38;6:38;6:39;6:39;6:40;6:41;6:42;6:42;6:43
7:05;7:06;7:07;7:07;7:08;7:10;7:11;7:13;7:13;7:14;7:14;7:15;7:16;7:17;7:17;7:18
7:30;7:31;7:32;7:32;7:33;7:35;7:36;7:38;7:39;7:40;7:40;7:41;7:42;7:43;7:43;7:44
8:05;8:06;8:08;8:08;8:09;8:11;8:12;8:14;8:15;8:16;8:16;8:17;8:18;8:19;8:19;8:20
8:30;8:31;8:33;8:33;8:34;8:36;8:37;8:39;8:40;8:41;8:41;8:42;8:43;8:44;8:44;8:45
9:00;9:01;9:03;9:03;9:04;9:06;9:07;9:09;9:10;9:11;9:11;9:12;9:13;9:14;9:14;9:15
9:30;9:31;9:33;9:33;9:34;9:36;9:37;9:39;9:40;9:41;9:41;9:42;9:43;9:44;9:44;9:45
10:00;10:01;10:03;10:03;10:04;10:06;10:07;10:09;10:10;10:11;10:11;10:12;10:13;10:14;10:14;10:15
10:30;10:31;10:33;10:33;10:34;10:36;10:37;10:39;10:40;10:41;10:41;10:42;10:43;10:44;10:44;10:45
11:00;11:01;11:03;11:03;11:04;11:06;11:07;11:09;11:10;11:11;11:11;11:12;11:13;11:14;11:14;11:15
11:30;11:31;11:33;11:33;11:34;11:36;11:37;11:39;11:40;11:41;11:41;11:42;11:43;11:44;11:44;11:45
12:00;12:01;12:03;12:03;12:04;12:06;12:07;12:09;12:10;12:11;12:11;12:12;12:13;12:14;12:14;12:15
12:30;12:31;12:33;12:33;12:35;12:36;12:38;12:40;12:41;12:42;12:42;12:43;12:44;12:45;12:45;12:46
13:00;13:01;13:03;13:03;13:05;13:06;13:08;13:10;13:11;13:12;13:12;13:13;13:14;13:15;13:15;13:16
13:30;13:31;13:33;13:33;13:35;13:36;13:38;13:40;13:41;13:42;13:42;13:43;13:44;13:45;13:45;13:46
14:00;14:01;14:03;14:03;14:05;14:06;14:08;14:10;14:11;14:12;14:12;14:13;14:14;14:15;14:15;14:16
14:30;14:31;14:33;14:33;14:35;14:36;14:38;14:40;14:41;14:42;14:42;14:43;14:44;14:45;14:45;14:46
15:00;15:01;15:03;15:03;15:05;15:06;15:08;15:10;15:11;15:12;15:12;15:13;15:14;15:15;15:15;15:16
15:30;15:31;15:33;15:33;15:35;15:36;15:38;15:40;15:41;15:42;15:42;15:43;15:44;15:45;15:45;15:46
16:00;16:01;16:03;16:03;16:05;16:06;16:08;16:10;16:11;16:12;16:12;16:13;16:14;16:15;16:15;16:16
16:30;16:31;16:33;16:33;16:35;16:36;16:38;16:40;16:41;16:42;16:42;16:43;16:44;16:45;16:45;16:46
17:00;17:01;17:03;17:03;17:05;17:06;17:08;17:10;17:11;17:12;17:12;17:13;17:14;17:15;17:15;17:16
17:30;17:31;17:33;17:33;17:35;17:36;17:38;17:40;17:41;17:42;17:42;17:43;17:44;17:45;17:45;17:46
18:05;18:06;18:08;18:08;18:10;18:11;18:13;18:15;18:15;18:16;18:16;18:17;18:18;18:19;18:19;18:20
18:30;18:31;18:33;18:33;18:35;18:36;18:38;18:40;18:40;18:41;18:41;18:42;18:43;18:44;18:44;18:45
19:05;19:06;19:08;19:08;19:09;19:11;19:12;19:14;19:14;19:15;19:15;19:16;19:17;19:18;19:18;19:19
19:30;19:31;19:33;19:33;19:34;19:36;19:37;19:39;19:39;19:40;19:40;19:41;19:42;19:43;19:43;19:44
20:05;20:06;20:08;20:08;20:09;20:11;20:12;20:14;20:14;20:15;20:15;20:16;20:17;20:18;20:18;20:19
20:30;20:31;20:33;20:33;20:34;20:36;20:37;20:39;20:39;20:40;20:40;20:41;20:42;20:43;20:43;20:44
21:00;21:01;21:03;21:03;21:04;21:06;21:07;;;;;;;;;
21:30;21:31;21:33;21:33;21:34;21:36;21:37;;;;;;;;;
22:00;22:01;22:03;22:03;22:04;22:06;22:07;;;;;;;;;
22:35;22:36;22:38;22:38;22:39;22:41;22:42;;;;;;;;;
23:00;23:01;23:03;23:03;23:04;23:06;23:07;;;;;;;;;
23:35;23:36;23:38;23:38;23:39;23:41;23:42;;;;;;;;;
0:00;0:01;0:03;0:03;0:04;0:06;0:07;;;;;;;;;
0:40;0:41;0:43;0:43;0:44;0:46;0:47;;;;;;;;;
