Léon Blum;Jean Mermoz;Les Aubes;Ernest Renan;Pinsons;Estragon;Boulevard des Sports;Françoise;Saint-Maur;Palombes;Foyer des Aubes;Garigliano;Salaison;La Pompignane (Les Lacs)
7:05;7:06;7:07;7:08;7:08;7:09;7:09;7:10;7:11;7:12;7:12;7:14;7:15;7:16
7:45;7:47;7:48;7:49;7:49;7:50;7:50;7:51;7:52;7:53;7:54;7:56;7:57;7:58
8:25;8:27;8:28;8:29;8:30;8:31;8:31;8:32;8:33;8:34;8:35;8:37;8:38;8:39
9:05;9:07;9:08;9:09;9:10;9:11;9:11;9:12;9:13;9:14;9:15;9:17;9:18;9:19
9:45;9:47;9:48;9:49;9:50;9:51;9:51;9:52;9:53;9:54;9:55;9:57;9:58;9:59
10:25;10:27;10:28;10:29;10:30;10:31;10:31;10:32;10:33;10:34;10:35;10:37;10:38;10:39
11:05;11:07;11:08;11:09;11:10;11:11;11:11;11:12;11:13;11:14;11:15;11:17;11:18;11:19
11:45;11:47;11:48;11:49;11:50;11:51;11:51;11:52;11:53;11:54;11:55;11:57;11:58;11:59
12:25;12:27;12:28;12:29;12:29;12:30;12:30;12:31;12:32;12:33;12:34;12:36;12:37;12:38
13:05;13:07;13:08;13:09;13:09;13:10;13:10;13:11;13:12;13:13;13:14;13:16;13:17;13:18
13:45;13:47;13:48;13:49;13:49;13:50;13:50;13:51;13:52;13:53;13:54;13:56;13:57;13:58
14:25;14:27;14:28;14:29;14:30;14:31;14:31;14:32;14:33;14:34;14:35;14:37;14:38;14:39
15:05;15:07;15:08;15:09;15:10;15:11;15:11;15:12;15:13;15:14;15:15;15:17;15:18;15:19
15:45;15:47;15:48;15:49;15:50;15:51;15:51;15:52;15:53;15:54;15:55;15:57;15:58;15:59
16:25;16:27;16:28;16:29;16:30;16:31;16:31;16:32;16:33;16:34;16:35;16:37;16:38;16:39
17:05;17:07;17:08;17:09;17:10;17:11;17:11;17:12;17:13;17:14;17:15;17:17;17:18;17:19
17:45;17:47;17:48;17:49;17:50;17:51;17:51;17:52;17:53;17:54;17:55;17:57;17:58;17:59
18:25;18:27;18:28;18:29;18:30;18:31;18:31;18:32;18:33;18:34;18:34;18:36;18:37;18:38
19:05;19:07;19:08;19:09;19:10;19:11;19:11;19:12;19:13;19:14;19:14;19:16;19:17;19:18
19:45;19:47;19:48;19:49;19:49;19:50;19:50;19:51;19:52;19:53;19:53;19:55;19:56;19:57
