La Pompignane (Les Lacs);Salaison;Garigliano;Foyer des Aubes;Palombes;Saint-Maur;Françoise;Boulevard des Sports;Estragon;Pinsons;Ernest Renan;Les Aubes;Léon Blum
8:45;8:45;8:47;8:47;8:48;8:49;8:49;8:50;8:50;8:51;8:51;8:53;8:55
9:25;9:25;9:27;9:27;9:28;9:30;9:30;9:31;9:31;9:32;9:32;9:34;9:36
10:05;10:05;10:07;10:07;10:08;10:10;10:10;10:11;10:11;10:12;10:12;10:14;10:16
10:45;10:45;10:47;10:47;10:48;10:50;10:50;10:51;10:51;10:52;10:52;10:54;10:56
11:25;11:25;11:27;11:27;11:28;11:30;11:30;11:31;11:31;11:32;11:32;11:34;11:36
12:05;12:05;12:07;12:07;12:08;12:10;12:10;12:11;12:11;12:12;12:12;12:14;12:16
13:25;13:25;13:27;13:27;13:28;13:30;13:30;13:31;13:31;13:32;13:32;13:34;13:36
14:05;14:05;14:07;14:07;14:08;14:10;14:10;14:11;14:11;14:12;14:12;14:14;14:16
14:45;14:45;14:47;14:47;14:48;14:50;14:50;14:51;14:51;14:52;14:52;14:54;14:56
15:25;15:25;15:27;15:27;15:28;15:30;15:30;15:31;15:31;15:32;15:32;15:34;15:36
16:05;16:05;16:07;16:07;16:08;16:10;16:10;16:11;16:11;16:12;16:12;16:14;16:16
16:45;16:45;16:47;16:47;16:48;16:50;16:50;16:51;16:51;16:52;16:52;16:54;16:56
17:25;17:25;17:27;17:27;17:28;17:30;17:30;17:31;17:31;17:32;17:32;17:34;17:36
18:05;18:05;18:07;18:07;18:08;18:10;18:10;18:11;18:11;18:12;18:12;18:14;18:16
18:45;18:45;18:47;18:47;18:48;18:50;18:50;18:51;18:51;18:52;18:52;18:54;18:56
