La Pompignane (Les Lacs);Salaison;Garigliano;Foyer des Aubes;Palombes;Saint-Maur;Françoise;Boulevard des Sports;Estragon;Pinsons;Ernest Renan;Les Aubes;Léon Blum
6:45;6:45;6:47;6:47;6:48;6:49;6:49;6:50;6:50;6:51;6:51;6:53;6:55
7:25;7:25;7:27;7:27;7:28;7:29;7:29;7:30;7:31;7:31;7:32;7:34;7:36
8:05;8:05;8:07;8:07;8:08;8:10;8:10;8:11;8:12;8:12;8:13;8:15;8:17
8:45;8:45;8:47;8:47;8:48;8:50;8:50;8:51;8:52;8:52;8:53;8:55;8:57
9:25;9:25;9:27;9:27;9:28;9:30;9:30;9:31;9:32;9:32;9:33;9:35;9:37
10:05;10:05;10:07;10:07;10:08;10:10;10:10;10:11;10:12;10:12;10:13;10:15;10:17
10:45;10:45;10:47;10:47;10:48;10:50;10:50;10:51;10:52;10:52;10:53;10:55;10:57
11:25;11:25;11:27;11:27;11:28;11:30;11:30;11:31;11:32;11:32;11:33;11:35;11:37
12:05;12:05;12:07;12:07;12:08;12:10;12:10;12:11;12:12;12:12;12:13;12:15;12:17
12:45;12:45;12:47;12:47;12:48;12:50;12:50;12:51;12:52;12:52;12:53;12:55;12:57
13:25;13:25;13:27;13:27;13:28;13:30;13:30;13:31;13:32;13:32;13:33;13:35;13:37
14:05;14:05;14:07;14:07;14:08;14:10;14:10;14:11;14:12;14:12;14:13;14:15;14:17
14:45;14:45;14:47;14:47;14:48;14:50;14:50;14:51;14:52;14:52;14:53;14:55;14:57
15:25;15:25;15:27;15:27;15:28;15:30;15:30;15:31;15:32;15:32;15:33;15:35;15:37
16:05;16:05;16:07;16:07;16:08;16:10;16:10;16:11;16:12;16:12;16:13;16:15;16:17
16:45;16:45;16:47;16:47;16:48;16:50;16:50;16:51;16:52;16:52;16:53;16:55;16:57
17:25;17:25;17:27;17:27;17:28;17:30;17:30;17:31;17:32;17:32;17:33;17:35;17:37
18:05;18:05;18:07;18:07;18:08;18:10;18:10;18:11;18:12;18:12;18:13;18:15;18:17
18:45;18:45;18:47;18:47;18:48;18:50;18:50;18:51;18:52;18:52;18:53;18:55;18:57
19:25;19:25;19:27;19:27;19:28;19:30;19:30;19:31;19:32;19:32;19:33;19:35;19:37
