Pierre de Coubertin;Mas de Bellevue;Comté de Nice;Corse;Jacques Prévert;Place d'Italie;Carriéra;Pierre Cardenal;Comté de Toulouse;Raimbaud d'Orange;Hauts de Massane;Gémeaux;Saint-Paul;Halles de la Paillade;Oxford;Lycée Léonard de Vinci;Hôtel du Département
6:05;6:06;6:06;6:06;6:07;6:08;6:09;6:10;6:10;6:11;6:11;6:13;6:13;6:15;6:16;6:16;6:19
7:00;7:01;7:01;7:01;7:02;7:04;7:04;7:05;7:06;7:07;7:07;7:09;7:09;7:11;7:12;7:12;7:16
7:45;7:46;7:46;7:46;7:47;7:49;7:50;7:51;7:52;7:53;7:53;7:55;7:55;7:57;7:58;7:58;8:02
8:30;8:31;8:31;8:31;8:32;8:34;8:35;8:36;8:37;8:38;8:38;8:40;8:40;8:42;8:43;8:43;8:47
9:15;9:16;9:16;9:16;9:17;9:19;9:20;9:21;9:22;9:23;9:23;9:25;9:25;9:27;9:29;9:29;9:33
10:15;10:16;10:16;10:16;10:17;10:19;10:20;10:21;10:22;10:23;10:23;10:25;10:25;10:27;10:29;10:29;10:33
11:05;11:06;11:06;11:06;11:07;11:09;11:10;11:11;11:12;11:13;11:13;11:15;11:15;11:17;11:19;11:19;11:23
12:00;12:01;12:01;12:01;12:02;12:04;12:05;12:06;12:07;12:08;12:08;12:10;12:10;12:12;12:14;12:14;12:18
12:55;12:56;12:56;12:56;12:57;12:59;13:00;13:01;13:02;13:03;13:03;13:05;13:05;13:07;13:08;13:08;13:12
13:45;13:46;13:46;13:46;13:47;13:49;13:50;13:51;13:52;13:53;13:53;13:55;13:55;13:57;13:58;13:58;14:02
14:30;14:31;14:31;14:31;14:32;14:34;14:35;14:36;14:37;14:38;14:38;14:40;14:40;14:42;14:43;14:43;14:47
15:15;15:16;15:16;15:16;15:17;15:19;15:20;15:21;15:22;15:23;15:23;15:25;15:25;15:27;15:28;15:28;15:32
16:00;16:01;16:01;16:01;16:02;16:04;16:05;16:06;16:07;16:08;16:08;16:10;16:10;16:12;16:13;16:13;16:17
16:45;16:46;16:46;16:46;16:47;16:49;16:50;16:51;16:52;16:53;16:53;16:55;16:55;16:57;16:58;16:58;17:02
17:35;17:36;17:36;17:36;17:37;17:39;17:40;17:41;17:42;17:43;17:43;17:45;17:45;17:47;17:49;17:49;17:53
18:30;18:31;18:31;18:31;18:32;18:34;18:35;18:36;18:37;18:38;18:38;18:40;18:40;18:42;18:44;18:44;18:48
19:30;19:31;19:31;19:31;19:32;19:34;19:34;19:35;19:36;19:37;19:37;19:39;19:39;19:41;19:43;19:43;19:47
20:35;20:36;20:36;20:36;20:37;20:39;20:39;20:40;20:41;20:42;20:42;20:44;20:44;20:46;20:47;20:47;20:51
