Pierre de Coubertin;Mas de Bellevue;Comté de Nice;Corse;Jacques Prévert;Place d'Italie;Carriéra;Pierre Cardenal;Comté de Toulouse;Raimbaud d'Orange;Hauts de Massane;Gémeaux;Saint-Paul;Halles de la Paillade;Oxford;Lycée Léonard de Vinci;Hôtel du Département
5:05;5:06;5:06;5:06;5:07;5:09;5:09;5:10;5:11;5:12;5:12;5:14;5:14;5:16;5:17;5:17;5:21
5:35;5:36;5:36;5:36;5:37;5:39;5:39;5:40;5:41;5:42;5:42;5:44;5:44;5:46;5:47;5:47;5:51
5:55;5:56;5:56;5:56;5:57;5:59;6:00;6:01;6:02;6:03;6:03;6:05;6:05;6:07;6:09;6:09;6:13
6:15;6:16;6:16;6:16;6:17;6:19;6:20;6:21;6:22;6:23;6:23;6:25;6:25;6:27;6:29;6:29;6:33
6:35;6:36;6:36;6:36;6:37;6:39;6:40;6:41;6:42;6:43;6:43;6:45;6:45;6:47;6:49;6:49;6:53
6:55;6:57;6:57;6:57;6:58;7:00;7:01;7:02;7:03;7:04;7:04;7:06;7:06;7:08;7:10;7:10;7:14
7:10;7:12;7:12;7:12;7:13;7:15;7:16;7:17;7:18;7:19;7:19;7:21;7:21;7:23;7:25;7:26;7:30
7:25;7:27;7:27;7:27;7:28;7:30;7:31;7:32;7:33;7:34;7:34;7:36;7:36;7:38;7:40;7:41;7:45
7:40;7:42;7:42;7:42;7:43;7:45;7:46;7:47;7:48;7:49;7:49;7:51;7:51;7:54;7:56;7:57;8:01
7:55;7:57;7:57;7:57;7:59;8:01;8:02;8:03;8:04;8:05;8:05;8:07;8:07;8:10;8:12;8:13;8:17
8:10;8:12;8:12;8:12;8:14;8:16;8:17;8:18;8:19;8:20;8:20;8:22;8:22;8:25;8:27;8:28;8:32
8:25;8:27;8:27;8:28;8:29;8:31;8:32;8:34;8:34;8:36;8:36;8:38;8:38;8:41;8:43;8:44;8:48
8:40;8:42;8:42;8:43;8:44;8:46;8:47;8:49;8:49;8:51;8:51;8:53;8:53;8:56;8:58;8:59;9:03
9:00;9:02;9:02;9:03;9:04;9:06;9:07;9:09;9:09;9:11;9:11;9:13;9:13;9:16;9:18;9:19;9:23
