Pierre de Coubertin;Mas de Bellevue;Comté de Nice;Corse;Jacques Prévert;Place d'Italie;Carriéra;Pierre Cardenal;Comté de Toulouse;Raimbaud d'Orange;Hauts de Massane;Gémeaux;Saint-Paul;Halles de la Paillade;Oxford;Lycée Léonard de Vinci;Hôtel du Département
5:05;5:06;5:06;5:06;5:07;5:09;5:09;5:10;5:11;5:12;5:12;5:14;5:14;5:16;5:17;5:17;5:20
5:35;5:36;5:36;5:36;5:37;5:39;5:39;5:40;5:41;5:42;5:42;5:44;5:44;5:46;5:47;5:47;5:50
6:00;6:01;6:01;6:01;6:02;6:04;6:04;6:05;6:06;6:07;6:07;6:09;6:09;6:11;6:12;6:12;6:15
6:25;6:26;6:26;6:26;6:27;6:29;6:29;6:30;6:31;6:32;6:32;6:34;6:34;6:36;6:37;6:37;6:40
6:45;6:46;6:46;6:46;6:47;6:49;6:49;6:50;6:51;6:52;6:52;6:54;6:54;6:56;6:58;6:58;7:02
7:05;7:06;7:06;7:06;7:07;7:09;7:10;7:11;7:12;7:13;7:13;7:15;7:15;7:17;7:19;7:19;7:23
7:25;7:26;7:26;7:26;7:27;7:29;7:30;7:31;7:32;7:33;7:33;7:35;7:35;7:37;7:39;7:39;7:43
7:45;7:46;7:46;7:46;7:47;7:49;7:50;7:51;7:52;7:53;7:53;7:55;7:55;7:57;7:59;7:59;8:03
8:05;8:06;8:06;8:06;8:08;8:10;8:11;8:12;8:13;8:14;8:14;8:16;8:16;8:19;8:21;8:21;8:25
8:25;8:27;8:27;8:27;8:29;8:31;8:32;8:33;8:34;8:35;8:35;8:37;8:37;8:40;8:42;8:42;8:46
8:45;8:47;8:47;8:47;8:49;8:51;8:52;8:53;8:54;8:55;8:55;8:57;8:57;9:00;9:02;9:02;9:06
9:05;9:07;9:07;9:07;9:09;9:11;9:12;9:13;9:14;9:15;9:15;9:17;9:17;9:20;9:22;9:22;9:26
9:25;9:27;9:27;9:27;9:29;9:31;9:32;9:33;9:34;9:35;9:35;9:37;9:37;9:40;9:42;9:42;9:46
9:45;9:47;9:47;9:47;9:49;9:51;9:52;9:53;9:54;9:55;9:55;9:57;9:57;10:00;10:02;10:02;10:06
10:05;10:07;10:07;10:07;10:09;10:11;10:12;10:13;10:14;10:15;10:15;10:17;10:17;10:20;10:22;10:22;10:26
10:25;10:27;10:27;10:27;10:29;10:31;10:32;10:33;10:34;10:35;10:35;10:37;10:37;10:40;10:42;10:42;10:46
10:45;10:47;10:47;10:47;10:49;10:51;10:52;10:53;10:54;10:55;10:55;10:57;10:57;11:00;11:02;11:02;11:06
11:05;11:07;11:07;11:07;11:09;11:11;11:12;11:13;11:14;11:15;11:15;11:17;11:17;11:20;11:22;11:22;11:26
11:25;11:27;11:27;11:27;11:29;11:31;11:32;11:33;11:34;11:35;11:35;11:37;11:37;11:40;11:42;11:42;11:46
11:45;11:46;11:46;11:46;11:47;11:49;11:50;11:51;11:52;11:53;11:53;11:55;11:55;11:58;12:00;12:00;12:04
12:05;12:06;12:06;12:06;12:07;12:09;12:10;12:11;12:12;12:13;12:13;12:15;12:15;12:18;12:20;12:20;12:24
12:25;12:26;12:26;12:26;12:27;12:29;12:30;12:31;12:32;12:33;12:33;12:35;12:35;12:38;12:40;12:40;12:44
12:45;12:46;12:46;12:46;12:47;12:49;12:50;12:51;12:52;12:53;12:53;12:55;12:55;12:57;12:59;12:59;13:03
13:05;13:06;13:06;13:06;13:07;13:09;13:10;13:11;13:12;13:13;13:13;13:15;13:15;13:17;13:19;13:19;13:23
13:25;13:26;13:26;13:26;13:27;13:29;13:30;13:31;13:32;13:33;13:33;13:35;13:35;13:37;13:39;13:39;13:43
13:45;13:46;13:46;13:46;13:47;13:49;13:50;13:51;13:52;13:53;13:53;13:55;13:55;13:57;13:59;13:59;14:03
14:05;14:06;14:06;14:06;14:07;14:09;14:10;14:11;14:12;14:13;14:13;14:15;14:15;14:17;14:19;14:19;14:23
14:25;14:26;14:26;14:26;14:28;14:30;14:31;14:32;14:33;14:34;14:34;14:36;14:36;14:38;14:40;14:40;14:44
14:45;14:47;14:47;14:47;14:49;14:51;14:52;14:53;14:54;14:55;14:55;14:57;14:57;14:59;15:01;15:01;15:05
15:05;15:07;15:07;15:07;15:09;15:11;15:12;15:13;15:14;15:15;15:15;15:17;15:17;15:19;15:21;15:21;15:25
15:25;15:27;15:27;15:27;15:29;15:31;15:32;15:33;15:34;15:35;15:35;15:37;15:37;15:39;15:41;15:41;15:45
15:45;15:47;15:47;15:47;15:49;15:51;15:52;15:53;15:54;15:55;15:55;15:57;15:57;15:59;16:01;16:01;16:05
16:05;16:07;16:07;16:07;16:09;16:11;16:12;16:13;16:14;16:15;16:15;16:17;16:17;16:19;16:21;16:21;16:25
16:25;16:27;16:27;16:27;16:29;16:31;16:32;16:33;16:34;16:35;16:35;16:37;16:37;16:39;16:41;16:41;16:45
16:45;16:47;16:47;16:47;16:49;16:51;16:52;16:53;16:54;16:55;16:55;16:57;16:57;16:59;17:01;17:01;17:05
17:05;17:07;17:07;17:07;17:09;17:11;17:12;17:13;17:14;17:15;17:15;17:17;17:17;17:19;17:21;17:21;17:25
17:25;17:27;17:27;17:27;17:29;17:31;17:32;17:33;17:34;17:35;17:35;17:37;17:37;17:39;17:41;17:41;17:45
17:45;17:47;17:47;17:47;17:49;17:51;17:52;17:53;17:54;17:55;17:55;17:57;17:57;17:59;18:01;18:01;18:05
18:05;18:07;18:07;18:07;18:08;18:10;18:11;18:12;18:13;18:14;18:14;18:16;18:16;18:18;18:20;18:20;18:24
18:25;18:27;18:27;18:27;18:28;18:30;18:31;18:32;18:33;18:34;18:34;18:36;18:36;18:38;18:40;18:40;18:44
18:45;18:47;18:47;18:47;18:48;18:50;18:51;18:52;18:53;18:54;18:54;18:56;18:56;18:58;19:00;19:00;19:04
19:05;19:07;19:07;19:07;19:08;19:10;19:11;19:12;19:13;19:14;19:14;19:16;19:16;19:18;19:20;19:20;19:24
19:25;19:27;19:27;19:27;19:28;19:30;19:31;19:32;19:33;19:34;19:34;19:36;19:36;19:38;19:40;19:40;19:44
19:45;19:47;19:47;19:47;19:48;19:50;19:51;19:52;19:53;19:54;19:54;19:56;19:56;19:58;20:00;20:00;20:04
20:05;20:06;20:06;20:06;20:07;20:09;20:09;20:10;20:11;20:12;20:12;20:14;20:14;20:16;20:18;20:18;20:22
20:30;20:31;20:31;20:31;20:32;20:34;20:34;20:35;20:36;20:37;20:37;20:39;20:39;20:41;20:43;20:43;20:47
