Hôtel du Département;Parc Malbosc;Lycée Léonard de Vinci;Oxford;Halles de la Paillade;Uppsala;Gémeaux;Hauts de Massane;Raimbaud d'Orange;Comté de Toulouse;Pierre Cardenal;Carriéra;Place d'Italie;Jacques Prévert;Corse;Comté de Nice;Mas de Bellevue;Pierre de Coubertin
6:30;6:31;6:33;6:34;6:35;6:38;6:38;6:40;6:40;6:41;6:41;6:42;6:42;6:44;6:45;6:45;6:46;6:46
7:20;7:21;7:23;7:24;7:25;7:28;7:28;7:29;7:29;7:30;7:30;7:31;7:31;7:33;7:34;7:34;7:35;7:35
8:05;8:06;8:08;8:09;8:10;8:13;8:13;8:14;8:14;8:15;8:15;8:16;8:16;8:18;8:19;8:19;8:20;8:20
8:50;8:51;8:53;8:54;8:55;8:58;8:58;8:59;8:59;9:00;9:00;9:01;9:02;9:03;9:05;9:05;9:06;9:06
9:45;9:46;9:48;9:49;9:50;9:54;9:54;9:56;9:56;9:57;9:58;9:59;9:59;10:01;10:03;10:03;10:04;10:04
10:40;10:41;10:43;10:44;10:45;10:49;10:49;10:51;10:51;10:52;10:53;10:54;10:54;10:56;10:58;10:58;10:59;10:59
11:30;11:31;11:33;11:34;11:35;11:39;11:39;11:41;11:42;11:42;11:43;11:44;11:45;11:47;11:49;11:49;11:50;11:50
12:25;12:26;12:28;12:29;12:30;12:34;12:34;12:36;12:37;12:37;12:38;12:39;12:40;12:42;12:44;12:44;12:45;12:45
13:15;13:16;13:18;13:19;13:20;13:24;13:24;13:25;13:26;13:26;13:27;13:28;13:29;13:31;13:33;13:33;13:34;13:34
14:05;14:06;14:08;14:09;14:10;14:14;14:14;14:15;14:15;14:16;14:17;14:18;14:18;14:20;14:22;14:22;14:23;14:23
14:50;14:51;14:53;14:54;14:55;14:58;14:58;14:59;14:59;15:00;15:00;15:01;15:02;15:03;15:05;15:05;15:06;15:06
15:35;15:36;15:38;15:39;15:40;15:43;15:43;15:44;15:44;15:45;15:45;15:46;15:47;15:48;15:50;15:50;15:51;15:51
16:20;16:21;16:23;16:24;16:25;16:28;16:28;16:30;16:30;16:31;16:31;16:32;16:33;16:34;16:36;16:36;16:37;16:37
17:05;17:06;17:08;17:09;17:10;17:13;17:13;17:15;17:15;17:16;17:16;17:17;17:18;17:19;17:21;17:21;17:22;17:22
18:05;18:06;18:08;18:09;18:10;18:13;18:13;18:15;18:15;18:16;18:17;18:18;18:18;18:20;18:22;18:22;18:23;18:23
18:55;18:56;18:58;18:59;19:00;19:03;19:03;19:05;19:05;19:06;19:07;19:08;19:08;19:10;19:12;19:12;19:13;19:13
20:05;20:06;20:08;20:09;20:10;20:13;20:13;20:15;20:15;20:16;20:17;20:18;20:18;20:20;20:22;20:22;20:23;20:23
21:00;21:01;21:03;21:04;21:05;21:08;21:08;21:10;21:10;21:11;21:11;21:12;21:13;21:14;21:16;21:16;21:17;21:17
