Hôtel du Département;Parc Malbosc;Lycée Léonard de Vinci;Oxford;Halles de la Paillade;Uppsala;Gémeaux;Hauts de Massane;Raimbaud d'Orange;Comté de Toulouse;Pierre Cardenal;Carriéra;Place d'Italie;Jacques Prévert;Corse;Comté de Nice;Mas de Bellevue;Pierre de Coubertin
5:40;5:41;5:43;5:44;5:45;5:48;5:48;5:50;5:50;5:51;5:51;5:52;5:53;5:54;5:56;5:56;5:57;5:57
6:00;6:01;6:03;6:04;6:05;6:08;6:08;6:10;6:10;6:11;6:11;6:12;6:13;6:14;6:16;6:16;6:17;6:17
6:20;6:21;6:23;6:24;6:25;6:28;6:28;6:30;6:30;6:31;6:31;6:32;6:33;6:34;6:36;6:36;6:37;6:37
6:40;6:41;6:43;6:44;6:45;6:48;6:48;6:49;6:49;6:50;6:50;6:51;6:52;6:53;6:55;6:55;6:56;6:56
7:00;7:01;7:03;7:04;7:05;7:08;7:08;7:09;7:09;7:10;7:10;7:11;7:12;7:13;7:15;7:15;7:16;7:16
7:20;7:21;7:24;7:25;7:26;7:30;7:30;7:31;7:31;7:32;7:33;7:34;7:34;7:36;7:38;7:38;7:39;7:39
7:40;7:41;7:44;7:45;7:46;7:50;7:50;7:52;7:52;7:53;7:54;7:55;7:55;7:57;7:59;7:59;8:00;8:00
7:55;7:56;7:59;8:00;8:01;8:05;8:05;8:07;8:07;8:08;8:09;8:10;8:10;8:12;8:14;8:14;8:15;8:15
8:10;8:11;8:14;8:15;8:16;8:20;8:20;8:22;8:22;8:23;8:24;8:25;8:25;8:27;8:29;8:29;8:30;8:30
8:25;8:26;8:29;8:30;8:31;8:35;8:35;8:37;8:37;8:38;8:39;8:40;8:40;8:42;8:44;8:44;8:45;8:45
8:40;8:41;8:44;8:45;8:46;8:50;8:50;8:52;8:52;8:53;8:54;8:55;8:55;8:57;8:59;8:59;9:00;9:00
8:55;8:56;8:59;9:00;9:01;9:05;9:05;9:07;9:07;9:08;9:09;9:10;9:10;9:12;9:14;9:14;9:15;9:15
9:10;9:11;9:14;9:15;9:16;9:20;9:20;9:22;9:22;9:23;9:24;9:25;9:25;9:27;9:29;9:29;9:30;9:30
9:30;9:31;9:34;9:35;9:36;9:40;9:40;9:42;9:42;9:43;9:44;9:45;9:45;9:47;9:49;9:49;9:50;9:50
9:50;9:51;9:54;9:55;9:56;10:00;10:00;10:02;10:02;10:03;10:04;10:05;10:05;10:07;10:09;10:09;10:10;10:10
10:10;10:11;10:13;10:14;10:15;10:19;10:19;10:21;10:22;10:22;10:23;10:24;10:25;10:27;10:29;10:29;10:30;10:30
10:30;10:31;10:33;10:34;10:35;10:39;10:39;10:41;10:42;10:42;10:43;10:44;10:45;10:47;10:49;10:49;10:50;10:50
10:50;10:51;10:53;10:54;10:55;10:59;10:59;11:01;11:02;11:02;11:03;11:04;11:05;11:07;11:09;11:09;11:10;11:10
11:10;11:11;11:13;11:14;11:15;11:19;11:19;11:21;11:22;11:22;11:23;11:24;11:25;11:27;11:29;11:29;11:30;11:30
11:30;11:31;11:33;11:34;11:35;11:39;11:39;11:41;11:42;11:42;11:43;11:44;11:45;11:47;11:49;11:49;11:50;11:50
11:50;11:51;11:54;11:55;11:56;12:00;12:00;12:02;12:03;12:03;12:04;12:05;12:06;12:08;12:10;12:10;12:11;12:11
12:10;12:11;12:14;12:15;12:16;12:20;12:20;12:22;12:23;12:23;12:24;12:25;12:26;12:28;12:30;12:30;12:31;12:31
12:30;12:31;12:34;12:35;12:36;12:40;12:40;12:42;12:43;12:43;12:44;12:45;12:46;12:48;12:50;12:50;12:51;12:51
12:50;12:51;12:54;12:55;12:56;13:00;13:00;13:02;13:03;13:03;13:04;13:05;13:06;13:08;13:10;13:10;13:11;13:11
13:10;13:11;13:14;13:15;13:16;13:20;13:20;13:22;13:23;13:23;13:24;13:25;13:26;13:28;13:30;13:30;13:31;13:31
13:30;13:31;13:34;13:35;13:36;13:40;13:40;13:42;13:42;13:43;13:44;13:45;13:45;13:47;13:49;13:49;13:50;13:50
13:50;13:51;13:54;13:55;13:56;14:00;14:00;14:02;14:02;14:03;14:04;14:05;14:05;14:07;14:09;14:09;14:10;14:10
14:10;14:11;14:14;14:15;14:16;14:20;14:20;14:22;14:22;14:23;14:24;14:25;14:25;14:27;14:29;14:29;14:30;14:30
14:30;14:31;14:34;14:35;14:36;14:40;14:40;14:42;14:42;14:43;14:44;14:45;14:45;14:47;14:49;14:49;14:50;14:50
14:50;14:51;14:54;14:55;14:56;15:00;15:00;15:02;15:03;15:03;15:04;15:05;15:06;15:08;15:10;15:10;15:11;15:11
15:10;15:11;15:14;15:15;15:16;15:20;15:20;15:22;15:23;15:23;15:24;15:25;15:26;15:28;15:30;15:30;15:31;15:31
15:30;15:31;15:34;15:35;15:36;15:40;15:40;15:42;15:43;15:43;15:44;15:45;15:46;15:48;15:50;15:50;15:51;15:51
15:50;15:51;15:54;15:55;15:56;16:00;16:00;16:02;16:03;16:03;16:04;16:05;16:06;16:08;16:10;16:10;16:11;16:11
16:10;16:11;16:14;16:15;16:16;16:20;16:20;16:22;16:23;16:23;16:24;16:25;16:26;16:28;16:30;16:30;16:31;16:31
16:30;16:31;16:34;16:35;16:36;16:40;16:40;16:42;16:43;16:43;16:44;16:45;16:46;16:48;16:50;16:50;16:51;16:51
16:50;16:51;16:54;16:55;16:56;17:00;17:00;17:02;17:03;17:03;17:04;17:05;17:06;17:08;17:10;17:10;17:11;17:11
17:05;17:06;17:09;17:10;17:11;17:15;17:15;17:17;17:18;17:18;17:19;17:20;17:21;17:23;17:25;17:25;17:26;17:26
17:20;17:21;17:24;17:25;17:26;17:30;17:30;17:32;17:33;17:33;17:34;17:35;17:36;17:38;17:40;17:40;17:41;17:41
17:35;17:36;17:39;17:40;17:41;17:45;17:45;17:47;17:48;17:48;17:49;17:50;17:51;17:53;17:55;17:55;17:56;17:56
17:50;17:51;17:54;17:55;17:56;18:00;18:00;18:02;18:03;18:03;18:04;18:05;18:06;18:08;18:10;18:10;18:11;18:11
18:05;18:06;18:09;18:10;18:11;18:15;18:15;18:17;18:18;18:18;18:19;18:20;18:21;18:23;18:25;18:25;18:26;18:26
18:20;18:21;18:24;18:25;18:26;18:30;18:30;18:32;18:33;18:33;18:34;18:35;18:36;18:38;18:40;18:40;18:41;18:41
18:35;18:36;18:39;18:40;18:41;18:45;18:45;18:47;18:48;18:48;18:49;18:50;18:51;18:53;18:55;18:55;18:56;18:56
18:50;18:51;18:54;18:55;18:56;19:00;19:00;19:02;19:03;19:03;19:04;19:05;19:06;19:08;19:10;19:10;19:11;19:11
19:05;19:06;19:09;19:10;19:11;19:15;19:15;19:17;19:18;19:18;19:19;19:20;19:21;19:23;19:25;19:25;19:26;19:26
19:20;19:21;19:24;19:25;19:26;19:30;19:30;19:32;19:33;19:33;19:34;19:35;19:36;19:38;19:40;19:40;19:41;19:41
19:35;19:36;19:39;19:40;19:41;19:45;19:45;19:47;19:48;19:48;19:49;19:50;19:51;19:53;19:55;19:55;19:56;19:56
19:55;19:56;19:59;20:00;20:01;20:05;20:05;20:07;20:08;20:08;20:09;20:10;20:11;20:13;20:15;20:15;20:16;20:16
20:15;20:16;20:19;20:20;20:21;20:25;20:25;20:26;20:27;20:27;20:28;20:29;20:30;20:32;20:34;20:34;20:35;20:35
20:35;20:36;20:39;20:40;20:41;20:44;20:44;20:45;20:45;20:46;20:47;20:48;20:48;20:50;20:52;20:52;20:53;20:53
20:55;20:56;20:58;20:59;21:00;21:03;21:03;21:05;21:05;21:06;21:07;21:08;21:08;21:10;21:12;21:12;21:13;21:13
