Saint-Jean de Védas Centre;Saint-Jean le Sec;La Condamine;Victoire 2;Sabines;Villeneuve d'Angoulême;Croix d'Argent;Mas Drevon;Lemasson;Saint-Cléophas;Nouveau Saint-Roch;Rondelet;Gare Saint-Roch;Place Carnot;Voltaire;Rives du Lez;Place de l'Europe;Pompignane;Les Aubes;Gare Saint-Roch;Comédie;Corum;Beaux-Arts;Jeu de Mail des Abbés;Aiguelongue;Saint-Lazare;Charles de Gaulle;Clairval;La Galine;Centurions;Notre-Dame de Sablassou;Aube Rouge;Via Domitia;Georges Pompidou;Jacou
;;;;5:45;5:47;5:48;5:49;5:51;5:53;5:55;5:57;;;;;;;;6:00;6:02;6:06;6:07;6:08;6:11;6:12;6:14;6:15;6:16;6:17;6:19;;;;
6:00;6:03;6:04;6:05;6:10;6:12;6:14;6:15;6:16;6:18;6:20;6:21;;;;;;;;6:24;6:26;6:29;6:30;6:31;6:34;6:35;6:37;6:38;6:39;6:40;6:42;6:45;6:49;6:51;6:53
6:30;6:32;6:33;6:34;6:37;6:39;6:40;6:41;6:42;6:44;6:46;6:47;;;;;;;;6:50;6:52;6:55;6:56;6:57;7:00;7:01;7:03;7:04;7:05;7:06;7:08;7:10;7:14;7:16;7:18
7:00;7:02;7:03;7:04;7:07;7:09;7:10;7:11;7:12;7:14;7:16;7:17;;;;;;;;7:20;7:22;7:25;7:26;7:27;7:30;7:31;7:33;7:34;7:35;7:36;7:38;7:40;7:44;7:46;7:48
7:30;7:32;7:33;7:34;7:37;7:39;7:40;7:41;7:42;7:44;7:46;7:47;;;;;;;;7:50;7:52;7:55;7:56;7:57;8:00;8:01;8:03;8:04;8:05;8:06;8:08;8:10;8:14;8:16;8:18
8:00;8:02;8:03;8:04;8:07;8:09;8:10;8:11;8:12;8:14;8:16;8:17;;;;;;;;8:20;8:22;8:25;8:26;8:27;8:30;8:31;8:33;8:34;8:35;8:36;8:38;8:40;8:44;8:46;8:48
8:30;8:32;8:33;8:34;8:37;8:39;8:40;8:41;8:42;8:44;8:46;8:47;;;;;;;;8:50;8:52;8:55;8:56;8:57;9:00;9:01;9:03;9:04;9:05;9:06;9:08;9:10;9:14;9:16;9:18
9:00;9:02;9:03;9:04;9:07;9:09;9:10;9:11;9:12;9:14;9:16;9:17;;;;;;;;9:20;9:22;9:25;9:26;9:27;9:30;9:31;9:33;9:34;9:35;9:36;9:38;9:40;9:44;9:46;9:48
9:30;9:32;9:33;9:34;9:37;9:39;9:40;9:41;9:42;9:44;9:46;9:47;;;;;;;;9:50;9:52;9:55;9:56;9:57;10:00;10:01;10:03;10:04;10:05;10:06;10:08;10:10;10:14;10:16;10:18
10:00;10:02;10:03;10:04;10:07;10:09;10:10;10:11;10:12;10:14;10:16;10:17;;;;;;;;10:20;10:22;10:25;10:26;10:27;10:30;10:31;10:33;10:34;10:35;10:36;10:38;10:40;10:44;10:46;10:48
