Jacou;Georges Pompidou;Via Domitia;Aube Rouge;Notre-Dame de Sablassou;Centurions;La Galine;Clairval;Charles de Gaulle;Saint-Lazare;Aiguelongue;Jeu de Mail des Abbés;Beaux-Arts;Corum;Les Aubes;Pompignane;Place de l'Europe;Rives du Lez;Voltaire;Place Carnot;Gare Saint-Roch;Comédie;Gare Saint-Roch;Rondelet;Nouveau Saint-Roch;Saint-Cléophas;Lemasson;Mas Drevon;Croix d'Argent;Villeneuve d'Angoulême;Sabines;Victoire 2;La Condamine;Saint-Jean le Sec;Saint-Jean de Védas Centre
;;;;6:30;6:31;6:33;6:34;6:36;6:38;6:40;6:42;6:43;6:45;;;;;;;;6:48;6:50;6:52;6:54;6:56;6:57;6:58;7:00;7:00;7:03;7:07;7:08;7:09;7:12
7:00;7:03;7:05;7:08;7:10;7:11;7:13;7:14;7:16;7:17;7:19;7:21;7:22;7:24;;;;;;;;7:27;7:29;7:31;7:33;7:35;7:36;7:37;7:39;7:39;7:42;7:46;7:47;7:48;7:50
7:30;7:32;7:34;7:37;7:39;7:40;7:41;7:42;7:44;7:45;7:47;7:49;7:50;7:52;;;;;;;;7:55;7:57;7:59;8:01;8:03;8:04;8:05;8:07;8:07;8:10;8:14;8:15;8:16;8:18
8:00;8:02;8:04;8:07;8:09;8:10;8:11;8:12;8:14;8:15;8:17;8:19;8:20;8:22;;;;;;;;8:25;8:27;8:29;8:31;8:33;8:34;8:35;8:37;8:37;8:40;8:44;8:45;8:46;8:48
8:30;8:32;8:34;8:37;8:39;8:40;8:41;8:42;8:44;8:45;8:47;8:49;8:50;8:52;;;;;;;;8:55;8:57;8:59;9:01;9:03;9:04;9:05;9:07;9:07;9:10;9:14;9:15;9:16;9:18
9:00;9:02;9:04;9:07;9:09;9:10;9:11;9:12;9:14;9:15;9:17;9:19;9:20;9:22;;;;;;;;9:25;9:27;9:29;9:31;9:33;9:34;9:35;9:37;9:37;9:40;9:44;9:45;9:46;9:48
9:30;9:32;9:34;9:37;9:39;9:40;9:41;9:42;9:44;9:45;9:47;9:49;9:50;9:52;;;;;;;;9:55;9:57;9:59;10:01;10:03;10:04;10:05;10:07;10:07;10:10;10:14;10:15;10:16;10:18
10:00;10:02;10:04;10:07;10:09;10:10;10:11;10:12;10:14;10:15;10:17;10:19;10:20;10:22;;;;;;;;10:25;10:27;10:29;10:31;10:33;10:34;10:35;10:37;10:37;10:40;10:44;10:45;10:46;10:48
10:30;10:32;10:34;10:37;10:39;10:40;10:41;10:42;10:44;10:45;10:47;10:49;10:50;10:52;;;;;;;;10:55;10:57;10:59;11:01;11:03;11:04;11:05;11:07;11:07;11:10;11:14;11:15;11:16;11:18
11:00;11:02;11:04;11:07;11:09;11:10;11:11;11:12;11:14;11:15;11:17;11:19;11:20;11:22;;;;;;;;11:25;11:27;11:29;11:31;11:33;11:34;11:35;11:37;11:37;11:40;11:44;11:45;11:46;11:48
11:30;11:32;11:34;11:37;11:39;11:40;11:41;11:42;11:44;11:45;11:47;11:49;11:50;11:52;;;;;;;;11:55;11:57;11:59;12:01;12:03;12:04;12:05;12:07;12:07;12:10;12:14;12:15;12:16;12:18
12:00;12:02;12:04;12:07;12:09;12:10;12:11;12:12;12:14;12:15;12:17;12:19;12:20;12:22;;;;;;;;12:25;12:27;12:29;12:31;12:33;12:34;12:35;12:37;12:37;12:40;12:44;12:45;12:46;12:48
12:30;12:32;12:34;12:37;12:39;12:40;12:41;12:42;12:44;12:45;12:47;12:49;12:50;12:52;;;;;;;;12:55;12:57;12:59;13:01;13:03;13:04;13:05;13:07;13:07;13:10;13:14;13:15;13:16;13:18
13:00;13:02;13:04;13:07;13:09;13:10;13:11;13:12;13:14;13:15;13:17;13:19;13:20;13:22;;;;;;;;13:25;13:27;13:29;13:31;13:33;13:34;13:35;13:37;13:37;13:40;13:44;13:45;13:46;13:48
13:30;13:32;13:34;13:37;13:39;13:40;13:41;13:42;13:44;13:45;13:47;13:49;13:50;13:52;;;;;;;;13:55;13:57;13:59;14:01;14:03;14:04;14:05;14:07;14:07;14:10;14:14;14:15;14:16;14:18
