Euromédecine;Appel du 18 Juin;Puech Villa;Apothicaires;Val d'Aurelle;Antennes;Route de Ganges;Occitanie;Saint-Priest;Château d'Ô;Jean Bart;Alco;Sainte-Geneviève;Cévennes;Las Rébès;Louis Ravaz;Pierre Viala;La Gaillarde;Collège Camille Claudel;Sainte-Thérèse;Paladilhe;Peyrou - Arc de Triomphe;Saint-Guilhem - Courreau;Saint-Denis;Anatole France;Gare Saint-Roch;Rondelet;Lycée Georges Clemenceau;Berthelot;Place du 8 Mai;Guillaume Janvier;Georges Brassens;Ronceray;Avenue de Toulouse;Le Grand M;Font Couverte;Véga;Estanove;Pas du Loup
6:30;6:31;6:32;6:34;6:34;6:36;6:37;6:37;6:38;6:39;6:42;6:42;6:43;6:44;6:44;6:45;6:46;6:48;6:48;6:49;6:52;6:52;6:53;6:56;6:56;6:58;7:00;7:02;7:03;7:04;7:05;7:06;7:06;7:07;7:08;7:08;7:09;7:09;7:10
7:30;7:31;7:32;7:34;7:35;7:36;7:38;7:38;7:39;7:40;7:43;7:43;7:44;7:45;7:46;7:47;7:48;7:50;7:50;7:51;7:54;7:54;7:55;7:58;7:59;8:01;8:03;8:05;8:06;8:07;8:08;8:09;8:09;8:10;8:11;8:12;8:13;8:13;8:14
8:20;8:21;8:22;8:24;8:25;8:26;8:28;8:28;8:29;8:30;8:33;8:33;8:34;8:35;8:36;8:37;8:38;8:40;8:40;8:41;8:44;8:44;8:45;8:48;8:49;8:51;8:53;8:55;8:57;8:58;8:59;9:00;9:00;9:01;9:02;9:03;9:04;9:04;9:05
9:00;9:01;9:02;9:04;9:05;9:06;9:08;9:08;9:09;9:10;9:13;9:13;9:15;9:15;9:16;9:17;9:19;9:21;9:21;9:22;9:25;9:25;9:26;9:29;9:30;9:32;9:34;9:36;9:38;9:39;9:40;9:41;9:41;9:42;9:43;9:44;9:45;9:45;9:46
9:40;9:41;9:42;9:44;9:45;9:46;9:48;9:48;9:49;9:50;9:53;9:53;9:55;9:55;9:56;9:57;9:59;10:01;10:01;10:02;10:05;10:05;10:06;10:09;10:10;10:12;10:14;10:16;10:18;10:19;10:21;10:22;10:22;10:23;10:24;10:25;10:26;10:26;10:27
10:20;10:21;10:22;10:24;10:25;10:26;10:28;10:28;10:29;10:30;10:33;10:33;10:35;10:35;10:36;10:37;10:39;10:41;10:41;10:42;10:45;10:45;10:46;10:50;10:51;10:53;10:55;10:57;10:59;11:00;11:02;11:03;11:03;11:04;11:05;11:06;11:07;11:07;11:08
11:00;11:01;11:02;11:04;11:05;11:06;11:08;11:08;11:09;11:10;11:13;11:13;11:15;11:15;11:16;11:17;11:19;11:21;11:21;11:22;11:25;11:25;11:26;11:30;11:31;11:33;11:35;11:37;11:39;11:40;11:42;11:43;11:43;11:44;11:45;11:46;11:47;11:47;11:48
11:40;11:41;11:42;11:44;11:45;11:46;11:48;11:48;11:49;11:50;11:53;11:53;11:54;11:55;11:56;11:57;11:58;12:00;12:00;12:01;12:04;12:04;12:05;12:09;12:10;12:12;12:14;12:16;12:17;12:18;12:20;12:21;12:21;12:22;12:23;12:24;12:25;12:25;12:26
12:20;12:21;12:22;12:24;12:25;12:26;12:28;12:28;12:29;12:30;12:33;12:33;12:34;12:35;12:36;12:37;12:38;12:40;12:40;12:41;12:44;12:44;12:45;12:48;12:49;12:51;12:53;12:55;12:56;12:57;12:59;13:00;13:00;13:01;13:02;13:03;13:04;13:04;13:05
13:00;13:01;13:02;13:04;13:05;13:06;13:08;13:08;13:09;13:10;13:13;13:13;13:14;13:15;13:16;13:17;13:18;13:20;13:20;13:21;13:24;13:24;13:25;13:28;13:29;13:31;13:33;13:35;13:37;13:38;13:39;13:40;13:40;13:41;13:42;13:43;13:44;13:44;13:45
