Hôtel du Département;Lycée Jean Monnet;Jean Bart;Château d'Ô;Pléiade;Font Trouvé;Gardioles;Cervantès;La Source;Cité Roger;Pous de la Sers;Maison des Sports;La Pile;Saint-Roch;Saint-Jaumes;Peyrou - Arc de Triomphe;Saint-Guilhem - Courreau;Saint-Denis;Anatole France;Gare Saint-Roch;Rondelet;Lycée Georges Clemenceau;Berthelot;Myrtes;Lepic;Gouara;Mas de Merle;Étoile;Figairasse;François Dezeuze;Lycée Jules Ferry;Martellière;Sophie Germain;Ormeaux;Les Bouisses;Monsieur Teste;Gustave Eiffel;Croix des Rosiers;Grèzes;La Martelle
6:40;6:40;6:41;6:43;6:44;6:44;6:45;6:46;6:46;6:47;6:47;6:48;6:49;6:50;6:50;6:52;6:53;6:56;6:57;7:00;7:02;7:04;7:05;7:06;7:06;7:07;7:09;7:09;7:10;7:11;7:12;7:12;7:13;7:14;7:15;;;;;
7:30;7:30;7:31;7:33;7:34;7:35;7:35;7:37;7:37;7:38;7:38;7:39;7:41;7:41;7:42;7:44;7:45;7:48;7:49;7:51;7:53;7:55;7:56;7:57;7:57;7:58;8:00;8:00;8:01;8:02;8:03;8:04;;;;8:04;8:04;8:05;8:05;8:06
8:20;8:20;8:21;8:23;8:24;8:25;8:26;8:28;8:28;8:29;8:29;8:30;8:32;8:32;8:33;8:35;8:36;8:39;8:40;8:42;8:44;8:46;8:48;8:49;8:50;8:51;8:53;8:53;8:54;8:55;8:56;8:56;8:57;8:58;8:59;;;;;
9:10;9:11;9:11;9:14;9:15;9:16;9:17;9:19;9:19;9:20;9:20;9:21;9:23;9:23;9:24;9:26;9:27;9:30;9:31;9:33;9:35;9:37;9:39;9:40;9:41;9:42;9:44;9:44;9:45;9:46;9:47;9:48;;;;9:48;9:48;9:49;9:49;9:50
10:00;10:01;10:01;10:04;10:05;10:06;10:07;10:09;10:09;10:10;10:10;10:11;10:13;10:13;10:14;10:16;10:17;10:20;10:21;10:23;10:25;10:27;10:29;10:30;10:31;10:32;10:34;10:34;10:35;10:36;10:38;10:39;10:39;10:41;10:42;;;;;
10:50;10:51;10:51;10:54;10:55;10:56;10:57;10:59;10:59;11:00;11:00;11:01;11:03;11:03;11:04;11:06;11:07;11:11;11:12;11:14;11:16;11:18;11:20;11:21;11:22;11:23;11:25;11:25;11:26;11:27;11:29;11:30;;;;11:30;11:30;11:31;11:31;11:32
11:40;11:41;11:41;11:44;11:45;11:46;11:47;11:49;11:49;11:50;11:50;11:51;11:53;11:53;11:54;11:56;11:57;12:01;12:02;12:04;12:06;12:08;12:09;12:10;12:11;12:12;12:14;12:14;12:15;12:16;12:18;12:19;12:19;12:21;12:22;;;;;
12:30;12:31;12:31;12:34;12:35;12:36;12:37;12:39;12:39;12:40;12:40;12:41;12:42;12:43;12:43;12:45;12:46;12:49;12:50;12:52;12:54;12:56;12:57;12:58;12:59;13:00;13:02;13:02;13:03;13:04;13:06;13:07;;;;13:07;13:07;13:08;13:08;13:09
13:20;13:21;13:21;13:24;13:25;13:26;13:27;13:29;13:29;13:30;13:30;13:31;13:32;13:33;13:33;13:35;13:36;13:39;13:40;13:42;13:44;13:46;13:48;13:49;13:50;13:51;13:53;13:53;13:54;13:55;13:56;13:57;13:57;13:59;14:00;;;;;
14:10;14:11;14:11;14:14;14:15;14:16;14:17;14:19;14:19;14:20;14:20;14:21;14:23;14:23;14:24;14:26;14:27;14:30;14:31;14:33;14:35;14:37;14:39;14:40;14:41;14:42;14:44;14:44;14:45;14:46;14:47;14:48;;;;14:48;14:48;14:49;14:49;14:50
