La Martelle;Grèzes;Croix des Rosiers;Gustave Eiffel;Monsieur Teste;Les Bouisses;Ormeaux;Sophie Germain;Martellière;Lycée Jules Ferry;François Dezeuze;Figairasse;Étoile;Mas de Merle;Gouara;Croix du Capitaine;Berthelot;Lycée Georges Clemenceau;Saint-Denis;Anatole France;Observatoire;Saint-Guilhem - Courreau;Peyrou - Arc de Triomphe;Pitot;Doria;Saint-Roch;La Pile;Maison des Sports;Pous de la Sers;Cité Roger;La Source;Cervantès;Gardioles;Mûriers;Font Trouvé;Pléiade;Château d'Ô;Lycée Jean Monnet;Hôtel du Département
;;;;;;;;;;;;;;;;;;;;7:00;7:03;7:03;7:04;7:04;7:06;7:07;7:08;7:10;7:10;7:10;7:11;7:12;7:12;7:13;7:14;7:14;7:16;7:17
;;;;;7:35;7:36;7:37;7:37;7:38;7:39;7:40;7:42;7:42;7:43;7:45;7:45;7:46;7:47;7:48;7:49;7:52;7:52;7:53;7:53;7:55;7:56;7:57;7:59;7:59;7:59;8:00;8:01;8:02;8:03;8:04;8:04;8:07;8:08
8:25;8:26;8:26;8:27;8:28;;;;8:28;8:29;8:30;8:31;8:33;8:33;8:35;8:37;8:37;8:38;8:39;8:40;8:41;8:44;8:44;8:45;8:45;8:47;8:48;8:49;8:51;8:51;8:51;8:52;8:53;8:54;8:55;8:56;8:56;8:59;9:00
;;;;;9:15;9:16;9:17;9:17;9:19;9:20;9:21;9:23;9:23;9:25;9:27;9:27;9:28;9:30;9:31;9:32;9:36;9:36;9:37;9:37;9:39;9:40;9:41;9:43;9:43;9:43;9:44;9:45;9:46;9:47;9:48;9:48;9:51;9:52
10:05;10:06;10:06;10:07;10:08;;;;10:08;10:09;10:10;10:11;10:13;10:13;10:15;10:17;10:17;10:18;10:20;10:21;10:22;10:26;10:26;10:27;10:27;10:29;10:30;10:31;10:33;10:33;10:33;10:34;10:35;10:36;10:37;10:38;10:38;10:41;10:42
;;;;;10:55;10:56;10:57;10:57;10:59;11:00;11:01;11:03;11:03;11:05;11:07;11:07;11:08;11:10;11:11;11:12;11:16;11:16;11:17;11:17;11:19;11:20;11:21;11:23;11:23;11:23;11:24;11:25;11:26;11:27;11:28;11:28;11:31;11:32
11:45;11:46;11:46;11:47;11:48;;;;11:48;11:49;11:50;11:51;11:53;11:53;11:55;11:57;11:57;11:58;12:00;12:01;12:02;12:06;12:06;12:07;12:07;12:09;12:10;12:11;12:13;12:13;12:13;12:14;12:15;12:16;12:17;12:18;12:18;12:21;12:22
;;;;;12:35;12:36;12:37;12:37;12:39;12:40;12:41;12:43;12:43;12:45;12:47;12:47;12:48;12:50;12:51;12:52;12:56;12:56;12:57;12:57;12:59;13:00;13:01;13:03;13:03;13:03;13:04;13:05;13:06;13:07;13:08;13:08;13:11;13:12
13:25;13:26;13:26;13:27;13:28;;;;13:28;13:29;13:30;13:31;13:33;13:33;13:35;13:37;13:37;13:38;13:40;13:41;13:42;13:46;13:46;13:47;13:47;13:49;13:50;13:51;13:53;13:53;13:53;13:54;13:55;13:56;13:57;13:58;13:58;14:00;14:01
;;;;;14:15;14:16;14:17;14:17;14:19;14:20;14:21;14:23;14:23;14:25;14:27;14:27;14:28;14:30;14:31;14:32;14:36;14:36;14:37;14:37;14:39;14:40;14:41;14:43;14:43;14:43;14:44;14:45;14:46;14:47;14:48;14:48;14:50;14:51
15:05;15:06;15:06;15:07;15:08;;;;15:08;15:09;15:10;15:11;15:13;15:13;15:15;15:17;15:17;15:18;15:20;15:21;15:22;15:26;15:26;15:27;15:27;15:29;15:30;15:31;15:33;15:33;15:33;15:34;15:35;15:36;15:37;15:38;15:38;15:40;15:41
;;;;;15:55;15:56;15:57;15:57;15:59;16:00;16:01;16:03;16:03;16:05;16:07;16:07;16:08;16:10;16:11;16:12;16:16;16:16;16:17;16:17;16:19;16:20;16:21;16:23;16:23;16:23;16:24;16:25;16:26;16:27;16:28;16:28;16:30;16:31
16:45;16:46;16:46;16:47;16:48;;;;16:48;16:49;16:50;16:51;16:53;16:53;16:55;16:57;16:57;16:58;17:00;17:01;17:03;17:07;17:07;17:08;17:08;17:10;17:11;17:12;17:14;17:14;17:14;17:15;17:16;17:17;17:18;17:19;17:19;17:22;17:23
;;;;;17:35;17:36;17:37;17:37;17:39;17:40;17:41;17:43;17:43;17:45;17:47;17:47;17:48;17:50;17:51;17:53;17:57;17:57;17:58;17:58;18:00;18:01;18:02;18:04;18:04;18:04;18:05;18:06;18:07;18:08;18:09;18:09;18:12;18:13
18:25;18:26;18:26;18:27;18:28;;;;18:28;18:29;18:30;18:31;18:33;18:33;18:35;18:37;18:37;18:38;18:40;18:41;18:43;18:47;18:47;18:48;18:48;18:50;18:51;18:52;18:54;18:54;18:54;18:55;18:56;18:57;18:58;18:59;18:59;19:02;19:03
;;;;;19:15;19:16;19:17;19:17;19:19;19:20;19:21;19:23;19:23;19:25;19:27;19:27;19:28;19:30;19:31;19:33;19:37;19:37;19:38;19:38;19:40;19:41;19:42;19:44;19:44;19:44;19:45;19:46;19:47;19:48;19:49;19:49;19:52;19:53
20:15;20:16;20:16;20:17;20:18;;;;20:18;20:19;20:20;20:21;20:23;20:23;20:24;20:26;20:26;20:28;20:31;20:33;20:35;20:38;20:38;20:39;20:39;20:41;20:42;20:43;20:45;20:45;20:45;20:46;20:47;20:48;20:49;20:50;20:50;20:52;20:53
