Gare Saint-Roch (Pont de Sète);Frédéric Bazille;Hélios;Soleiado;Chambéry;Collège des Aiguerelles;Jean Mirailhet;Lucullus;Cité de l'Arme
6:45;6:46;6:48;6:48;6:48;6:49;6:49;6:51;6:52
7:45;7:46;7:48;7:48;7:49;7:50;7:50;7:53;7:54
8:45;8:46;8:48;8:48;8:49;8:50;8:50;8:53;8:54
9:45;9:46;9:48;9:48;9:49;9:50;9:50;9:53;9:54
10:45;10:46;10:48;10:48;10:49;10:50;10:50;10:53;10:54
11:45;11:46;11:48;11:48;11:49;11:50;11:50;11:53;11:54
12:45;12:46;12:48;12:48;12:49;12:50;12:50;12:53;12:54
13:45;13:46;13:48;13:48;13:49;13:50;13:50;13:52;13:53
14:45;14:46;14:48;14:48;14:49;14:50;14:50;14:52;14:53
15:45;15:46;15:48;15:48;15:49;15:50;15:50;15:53;15:54
16:45;16:46;16:48;16:48;16:49;16:50;16:50;16:53;16:54
17:50;17:51;17:53;17:53;17:54;17:55;17:55;17:58;17:59
18:50;18:51;18:53;18:53;18:54;18:55;18:55;18:58;18:59
19:50;19:51;19:53;19:53;19:53;19:54;19:54;19:56;19:57
