Cité de l'Arme;Jean Mirailhet;Collège des Aiguerelles;Chambéry;Soleiado;Cité Mion;Place Carnot;Henri René;Gare Saint-Roch (Pont de Sète);Gare Saint-Roch
6:55;6:57;6:58;6:58;6:59;7:00;7:01;7:01;7:02;7:03
7:55;7:57;7:58;7:58;7:59;8:00;8:01;8:01;8:02;8:03
8:55;8:57;8:58;8:58;8:59;9:00;9:01;9:02;9:03;9:04
9:55;9:57;9:58;9:58;9:59;10:00;10:01;10:02;10:03;10:04
10:55;10:57;10:58;10:58;10:59;11:00;11:01;11:02;11:03;11:04
11:55;11:57;11:58;11:58;11:59;12:00;12:01;12:02;12:03;12:04
12:55;12:57;12:58;12:58;12:59;13:00;13:01;13:02;13:03;13:04
13:55;13:57;13:58;13:58;13:59;14:00;14:01;14:02;14:03;14:04
14:55;14:57;14:58;14:58;14:59;15:00;15:01;15:02;15:03;15:04
15:55;15:57;15:58;15:58;15:59;16:00;16:01;16:02;16:03;16:04
16:55;16:57;16:58;16:58;16:59;17:00;17:01;17:02;17:03;17:04
18:00;18:02;18:03;18:03;18:04;18:05;18:06;18:07;18:08;18:09
19:00;19:02;19:03;19:03;19:04;19:05;19:06;19:07;19:08;19:09
20:00;20:02;20:03;20:03;20:04;20:05;20:06;20:06;20:07;20:08
