Grammont;Cimetière Saint-Étienne;Albert Einstein;Zénith;Georges Méliès;Place de France;Samuel Morse;Évariste Galois;Guglielmo Marconi;Volta Fizeau;Louis Lépine;Eurêka;Alfred Nobel;Pinville;François Couperin;Vieille Poste;Saint-Michel;Place de l'Europe;Paul Painlevé;Colverts;Saint-Jean;Marie Durand;André Malraux;Semard;Pierre Laroque;Apollo
6:30;6:31;6:31;6:33;6:36;6:36;6:37;6:38;6:39;6:40;6:40;6:41;6:41;6:42;6:43;6:43;6:45;6:47;6:49;6:50;6:51;6:52;6:52;6:53;6:53;6:54
6:52;6:53;6:53;6:55;6:58;6:58;6:59;7:00;7:01;7:02;7:02;7:03;7:03;7:04;7:05;7:05;7:07;7:09;7:11;7:12;7:13;7:14;7:14;7:15;7:15;7:16
7:14;7:15;7:15;7:17;7:20;7:20;7:21;7:22;7:23;7:24;7:24;7:25;7:26;7:27;7:27;7:28;7:30;7:32;7:34;7:35;7:36;7:37;7:37;7:38;7:38;7:39
7:36;7:37;7:37;7:39;7:43;7:43;7:44;7:45;7:46;7:47;7:47;7:48;7:49;7:50;7:50;7:51;7:53;7:55;7:58;7:59;7:59;8:01;8:01;8:02;8:02;8:03
7:58;7:59;7:59;8:01;8:05;8:05;8:06;8:07;8:08;8:09;8:09;8:10;8:11;8:12;8:12;8:13;8:15;8:18;8:21;8:22;8:22;8:24;8:24;8:25;8:25;8:26
8:20;8:21;8:21;8:23;8:28;8:28;8:29;8:30;8:32;8:33;8:33;8:34;8:35;8:36;8:36;8:37;8:39;8:42;8:45;8:46;8:46;8:48;8:48;8:49;8:49;8:50
8:42;8:43;8:43;8:45;8:50;8:50;8:51;8:52;8:54;8:55;8:55;8:56;8:57;8:58;8:58;8:59;9:01;9:04;9:07;9:09;9:09;9:11;9:11;9:12;9:12;9:13
9:04;9:05;9:05;9:07;9:12;9:12;9:13;9:14;9:16;9:17;9:17;9:18;9:19;9:20;9:20;9:21;9:23;9:26;9:29;9:31;9:31;9:33;9:33;9:34;9:34;9:35
9:26;9:27;9:27;9:29;9:34;9:34;9:35;9:36;9:38;9:39;9:39;9:40;9:41;9:42;9:42;9:43;9:45;9:48;9:51;9:53;9:53;9:55;9:55;9:56;9:56;9:57
9:48;9:49;9:49;9:51;9:56;9:56;9:57;9:58;10:00;10:01;10:01;10:02;10:03;10:04;10:04;10:05;10:07;10:10;10:13;10:15;10:15;10:17;10:17;10:18;10:18;10:19
