Apollo;Pierre Laroque;Semard;André Malraux;Marie Durand;Saint-Jean;Colverts;Paul Painlevé;Saint-Michel;Place de l'Europe;Vieille Poste;François Couperin;Pinville;Alfred Nobel;Eurêka;Louis Lépine;Volta Fizeau;Guglielmo Marconi;Évariste Galois;Samuel Morse;Place de France;Georges Méliès;Zénith;Albert Einstein;Cimetière Saint-Étienne;Grammont
7:25;7:26;7:27;7:28;7:28;7:29;7:29;7:30;7:32;7:35;7:37;7:37;7:38;7:39;7:39;7:41;7:41;7:42;7:43;7:45;7:45;7:46;7:48;7:49;7:50;7:51
9:00;9:01;9:02;9:03;9:03;9:04;9:05;9:06;9:08;9:10;9:12;9:13;9:14;9:15;9:15;9:17;9:17;9:19;9:20;9:22;9:22;9:23;9:26;9:27;9:28;9:29
10:20;10:21;10:22;10:23;10:23;10:24;10:25;10:26;10:28;10:30;10:32;10:33;10:34;10:35;10:35;10:37;10:37;10:39;10:40;10:42;10:42;10:43;10:46;10:47;10:48;10:49
11:40;11:41;11:42;11:43;11:43;11:44;11:45;11:46;11:48;11:50;11:52;11:53;11:54;11:55;11:55;11:57;11:57;11:59;12:00;12:02;12:02;12:03;12:06;12:07;12:08;12:09
13:00;13:01;13:02;13:03;13:03;13:04;13:05;13:06;13:08;13:10;13:12;13:13;13:14;13:15;13:15;13:17;13:17;13:19;13:20;13:22;13:22;13:23;13:26;13:27;13:28;13:29
14:20;14:21;14:22;14:23;14:23;14:24;14:25;14:26;14:28;14:30;14:32;14:33;14:34;14:35;14:35;14:37;14:37;14:39;14:40;14:42;14:42;14:43;14:46;14:47;14:48;14:49
15:40;15:41;15:42;15:43;15:43;15:44;15:45;15:46;15:48;15:50;15:52;15:53;15:54;15:55;15:55;15:57;15:57;15:59;16:00;16:02;16:02;16:03;16:06;16:07;16:08;16:09
17:00;17:01;17:02;17:03;17:03;17:04;17:05;17:06;17:08;17:10;17:12;17:13;17:14;17:15;17:15;17:17;17:17;17:19;17:20;17:22;17:22;17:23;17:26;17:27;17:28;17:29
18:20;18:21;18:22;18:23;18:23;18:24;18:24;18:25;18:27;18:30;18:32;18:33;18:34;18:35;18:35;18:37;18:37;18:39;18:40;18:42;18:42;18:43;18:46;18:47;18:48;18:49
19:45;19:46;19:47;19:48;19:48;19:49;19:49;19:50;19:52;19:55;19:57;19:58;19:59;20:00;20:00;20:02;20:02;20:03;20:04;20:06;20:06;20:07;20:09;20:10;20:11;20:12
